issue_key,change_date,author,field,from_string,to_string,from_id,to_id
KAFKA-19512,2025-07-15T18:58:57.133+0000,Dmitry Werner,status,Open,In Progress,1,3
KAFKA-19512,2025-07-15T19:09:07.871+0000,Dmitry Werner,status,In Progress,Patch Available,3,10002
KAFKA-19505,2025-07-14T19:15:32.860+0000,Gaurav Narula,status,Open,In Progress,1,3
KAFKA-19505,2025-07-14T19:18:44.396+0000,Gaurav Narula,status,In Progress,Patch Available,3,10002
KAFKA-19504,2025-07-14T18:26:49.924+0000,Bill Bejeck,status,Open,Patch Available,1,10002
KAFKA-19504,2025-07-15T00:41:22.738+0000,Bill Bejeck,status,Patch Available,Resolved,10002,5
KAFKA-19496,2025-07-13T16:35:30.447+0000,Matthias J. Sax,status,Open,Resolved,1,5
KAFKA-19495,2025-07-11T09:00:05.839+0000,Luke Chen,status,Open,Patch Available,1,10002
KAFKA-19495,2025-07-11T16:01:03.821+0000,Mickael Maison,status,Patch Available,Resolved,10002,5
KAFKA-19494,2025-07-11T08:12:15.015+0000,Ismael Juma,status,Open,Resolved,1,5
KAFKA-19488,2025-07-10T02:26:18.625+0000,TengYao Chi,status,Open,Resolved,1,5
KAFKA-19485,2025-07-10T09:29:43.257+0000,Shivsundar R,status,Open,In Progress,1,3
KAFKA-19485,2025-07-10T09:29:56.648+0000,Shivsundar R,status,In Progress,Resolved,3,5
KAFKA-19482,2025-07-10T00:39:08.778+0000,Matthias J. Sax,status,Open,In Progress,1,3
KAFKA-19482,2025-07-10T22:10:51.046+0000,Matthias J. Sax,status,In Progress,Patch Available,3,10002
KAFKA-19482,2025-07-15T00:14:11.731+0000,Matthias J. Sax,status,Patch Available,Resolved,10002,5
KAFKA-19480,2025-07-08T11:34:27.510+0000,Gergely Harmadás,status,Open,In Progress,1,3
KAFKA-19480,2025-07-08T11:37:11.790+0000,Gergely Harmadás,status,In Progress,Patch Available,3,10002
KAFKA-19478,2025-07-07T10:42:18.396+0000,Lucas Brutschy,status,Open,In Progress,1,3
KAFKA-19477,2025-07-07T08:38:21.343+0000,Lucas Brutschy,status,Open,Patch Available,1,10002
KAFKA-19477,2025-07-09T11:58:55.801+0000,Lucas Brutschy,status,Patch Available,Resolved,10002,5
KAFKA-19476,2025-07-08T06:47:57.208+0000,Abhinav Dixit,status,Open,In Progress,1,3
KAFKA-19474,2025-07-04T16:39:19.757+0000,Gaurav Narula,status,Open,In Progress,1,3
KAFKA-19474,2025-07-04T17:03:46.888+0000,Gaurav Narula,status,In Progress,Patch Available,3,10002
KAFKA-19474,2025-07-09T01:55:14.164+0000,Chia-Ping Tsai,status,Patch Available,Resolved,10002,5
KAFKA-19472,2025-07-07T08:29:52.203+0000,dyingjiecai,status,Open,Patch Available,1,10002
KAFKA-19471,2025-07-10T13:35:54.857+0000,Lan Ding,status,Open,In Progress,1,3
KAFKA-19466,2025-07-09T17:01:47.412+0000,Chia-Ping Tsai,status,Open,Resolved,1,5
KAFKA-19463,2025-07-01T12:24:37.746+0000,Abhinav Dixit,status,Open,In Progress,1,3
KAFKA-19463,2025-07-08T13:14:12.784+0000,Andrew Schofield,status,In Progress,Resolved,3,5
KAFKA-19462,2025-07-02T16:00:25.242+0000,Kamal Chandraprakash,status,Open,Patch Available,1,10002
KAFKA-19462,2025-07-03T02:46:49.226+0000,Luke Chen,status,Patch Available,Resolved,10002,5
KAFKA-19461,2025-07-04T02:08:52.500+0000,Lan Ding,status,Open,In Progress,1,3
KAFKA-19460,2025-07-14T04:57:50.681+0000,Luke Chen,status,Open,Resolved,1,5
KAFKA-19459,2025-07-15T03:53:46.809+0000,TengYao Chi,status,Open,Resolved,1,5
KAFKA-19458,2025-06-30T23:47:55.662+0000,Gaurav Narula,status,Open,In Progress,1,3
KAFKA-19458,2025-07-01T22:37:13.715+0000,Gaurav Narula,status,In Progress,Patch Available,3,10002
KAFKA-19457,2025-07-04T08:28:48.798+0000,Sushant Mahajan,status,Open,In Progress,1,3
KAFKA-19457,2025-07-09T08:52:52.130+0000,Andrew Schofield,status,In Progress,Resolved,3,5
KAFKA-19452,2025-07-14T16:48:18.029+0000,Jun Rao,status,Open,Resolved,1,5
KAFKA-19451,2025-07-14T19:02:19.488+0000,Jun Rao,status,Open,Resolved,1,5
