repo,sha,author,date,message,additions,deletions,total_changes
996icu/996.ICU,8a9754db662a40725c8c75753e4d7ece9e98e79e,996icu,2024-10-03T12:29:11Z,Update README.md,0,7,7
996icu/996.ICU,037ca79b8e4f42c955c0d71e53d7fda632028830,996icu,2024-10-03T12:28:41Z,Merge pull request #26135 from camilosm/improve-ptbr  improve ptbr translation,24,21,45
996icu/996.ICU,d8b1c0ecfc0e08dda5446a193c776591f9ce04e0,996icu,2024-10-03T12:25:04Z,Merge pull request #26121 from StoneYao/fix/some-minor-typos  Fix/some minor typos,5,5,10
996icu/996.ICU,7d06588f657a8b132c3ccdd8b84b69328f30ebcc,Camilo Santana Melgaço,2024-07-12T22:02:12Z,improved name explanation section,3,3,6
996icu/996.ICU,84fd37c7ea3da7c82205bfa3c8961ddbbd08b205,Camilo Santana Melgaço,2024-07-12T21:50:45Z,improved compensation section,1,1,2
996icu/996.ICU,4dc0981614d7028eb344e6478796055e3283ea5f,Camilo Santana Melgaço,2024-07-12T21:46:30Z,improved popularity section,6,4,10
996icu/996.ICU,1f4a9c8ee4e4cc8abb81814e0668e4dc6741b7d1,Camilo Santana Melgaço,2024-07-12T21:15:45Z,improved legal section,9,8,17
996icu/996.ICU,2751921d3b34a539c70c7ecdfb0f45cba18653df,Camilo Santana Melgaço,2024-07-12T21:10:37Z,improve 996 description,4,4,8
996icu/996.ICU,b4f9672e9fd475d3d13b9becca5a268a25357b3d,Camilo Santana Melgaço,2024-07-12T21:09:25Z,trim trailing whitespaces,6,6,12
996icu/996.ICU,114090da4cfc98539e3b7d468f315558105c6d14,StoneYao,2024-02-22T13:49:38Z,fix typo,2,2,4
996icu/996.ICU,0f87a12c9bfc7431d0b3d5f858728492cf9bf044,StoneYao,2024-02-22T13:48:53Z,fix typo,2,2,4
996icu/996.ICU,49e92946209c61804d8fe1803e83bfb1cb12084e,StoneYao,2024-02-22T13:48:23Z,fix typo,1,1,2
996icu/996.ICU,c0ad012bc4fc37ab9fdd9e039acfb31b01a21efb,996icu,2024-02-20T13:38:26Z,Merge pull request #26114 from skstanwar/master  fix small 'h' in Github,1,1,2
996icu/996.ICU,0414a3ab48ed5d660ec62ee3c23a65ea7bd0d9e0,skstanwar,2023-12-13T15:31:09Z,fix small 'h' in Github,1,1,2
996icu/996.ICU,908c19b4517fd406bf9d567b64bcd1fe79112a7b,996icu,2023-10-17T06:56:30Z,Merge pull request #26113 from SlightDust/master,2,1,3
996icu/996.ICU,27791c4cf2dce496764a5fad06899a68b74e0cf0,996icu,2023-10-17T06:55:11Z,Merge pull request #26112 from LiamSwayne/patch-1,1,1,2
996icu/996.ICU,3facb72f00cfce50caa37817d9dd32e1813f498f,轻尘,2023-10-15T06:22:50Z,Update README.md,1,1,2
996icu/996.ICU,076b542f909fb643ec88c7450d5764bd91b9b01b,轻尘,2023-10-15T06:18:09Z,Merge branch '996icu:master' into master,8,10,18
996icu/996.ICU,8c2f6bb318256b2330ef9b2af8e4a8eb128f2be2,Liam Swayne,2023-10-02T00:45:22Z,replaced broken link,1,1,2
996icu/996.ICU,7086a222553d4b8216f0170bf54b4a70fd6f19cd,996icu,2023-09-27T04:25:25Z,Update README_CN.md,4,5,9
