repo,sha,author,date,message,additions,deletions,total_changes
AUTOMATIC1111/stable-diffusion-webui,82a973c04367123ae98bd9abdf80d9eda9b910e2,AUTOMATIC1111,2024-07-27T12:49:39Z,changelog,6,0,6
AUTOMATIC1111/stable-diffusion-webui,1d7e9eca098d3ae66bb1db184b88f80781891e51,AUTOMATIC1111,2024-07-27T12:47:49Z,Merge pull request #16275 from AUTOMATIC1111/fix-image-upscale-on-cpu  fix image upscale on cpu,1,1,2
AUTOMATIC1111/stable-diffusion-webui,c19d04436496ab29ddca4758a792831ae41b31de,AUTOMATIC1111,2024-07-27T03:53:05Z,Merge branch 'release_candidate',3480,543,4023
AUTOMATIC1111/stable-diffusion-webui,8b3d98c5a580c3c72e82d03fdab2b643bf9a8edd,AUTOMATIC1111,2024-07-20T08:54:14Z,update CHANGELOG,15,2,17
AUTOMATIC1111/stable-diffusion-webui,5bbbda473fc87c161ec7f5351d78b8c43799d436,AUTOMATIC1111,2024-07-20T08:51:12Z,Merge branch 'dev' into release_candidate,324,107,431
AUTOMATIC1111/stable-diffusion-webui,9f5a98d5766b4ac233d916fe8b02ea16b8b2c259,AUTOMATIC1111,2024-07-20T08:47:50Z,Merge pull request #16166 from richardtallent/dev  Fix noisy DS_Store files for MacOS,1,0,1
AUTOMATIC1111/stable-diffusion-webui,986c31dcfe701cfc84b372c7453511a320d1feb9,AUTOMATIC1111,2024-07-20T08:47:27Z,Merge pull request #16180 from light-and-ray/do_not_send_image_size_on_paste_inpaint  do not send image size on paste inpaint,4,3,7
AUTOMATIC1111/stable-diffusion-webui,5096c163c16b9e6c0c491bc2debc182ca048ebc5,AUTOMATIC1111,2024-07-20T08:46:45Z,Merge pull request #16173 from AUTOMATIC1111/robust-sysinfo  Robust sysinfo,92,37,129
AUTOMATIC1111/stable-diffusion-webui,7b99e14ab1324f93dfa78073d662a28aad949fcf,AUTOMATIC1111,2024-07-20T08:46:24Z,Merge pull request #16194 from light-and-ray/fix_cannot_write_mode_P_as_jpeg  fix OSError: cannot write mode P as JPEG,2,2,4
AUTOMATIC1111/stable-diffusion-webui,7c8a4ccecb59f85a015567f8ab3383145a315417,AUTOMATIC1111,2024-07-20T08:45:57Z,Merge pull request #16202 from light-and-ray/do_not_break_progressbar_on_non-job_actions  [bug] do not break progressbar on non-job actions (add wrap_gradio_call_no_job),30,21,51
AUTOMATIC1111/stable-diffusion-webui,5d26c6ae89e3408c06fa2d8fcc14a3087d219efd,AUTOMATIC1111,2024-07-20T08:44:59Z,Merge pull request #16178 from light-and-ray/update_installation_guide_linux  update installation guide linux,24,2,26
AUTOMATIC1111/stable-diffusion-webui,5a10bb9aa6d4a46f5e14fa43648f4cb08ae1275b,AUTOMATIC1111,2024-07-20T08:43:39Z,Merge pull request #16235 from v0xie/beta-sampling  Feature: Beta scheduler,21,0,21
AUTOMATIC1111/stable-diffusion-webui,fa0ba939a74d1fba68f5049643e69c684de02983,AUTOMATIC1111,2024-07-20T08:43:03Z,Merge pull request #16218 from Haoming02/resize-tabs-id  add ids to the resize tabs in img2img,3,3,6
AUTOMATIC1111/stable-diffusion-webui,fc7b25ac673479ac3a87553ec4d251be10bb63cd,AUTOMATIC1111,2024-07-20T08:42:29Z,Merge pull request #16231 from AUTOMATIC1111/bat-activate-venv  activate venv .bat,1,0,1
AUTOMATIC1111/stable-diffusion-webui,e09104a126ab2620eedb7f2d12f651a4671f9152,AUTOMATIC1111,2024-07-20T08:41:34Z,Merge pull request #16239 from AUTOMATIC1111/fix-upscale-logic  fix upscale logic,2,2,4
AUTOMATIC1111/stable-diffusion-webui,141d4b71b1a906a8ff5f5eec1bdbc9b86f564bc4,AUTOMATIC1111,2024-07-20T08:40:39Z,Merge pull request #16242 from AUTOMATIC1111/option-to-disable-save-button-log.csv-  option to disable save button log.csv,11,7,18
AUTOMATIC1111/stable-diffusion-webui,ea903819cb7e1d9a1b82ff93d5be60c3d7a8c9c6,AUTOMATIC1111,2024-07-20T08:39:53Z,Merge pull request #16212 from AUTOMATIC1111/sd3_lora  SD3 Lora support,106,24,130
AUTOMATIC1111/stable-diffusion-webui,24a23e1225244a5ee92acad8b96077e0af858761,w-e-w,2024-07-20T06:59:28Z,option to disable save button log.csv,11,7,18
AUTOMATIC1111/stable-diffusion-webui,874954060297d847bf30cc5d220effe80ac18968,v0xie,2024-07-19T22:33:07Z,fix lint,1,1,2
