repo,sha,author,date,message,additions,deletions,total_changes
Chalarangelo/30-seconds-of-code,cea2f4938f06f12bc36d81331d563a5042796b87,Angelos Chalaris,2025-06-29T17:33:09Z,Add Cloudflare to the latest version of the website,4,2,6
Chalarangelo/30-seconds-of-code,ee546efff0b62e9196b9cda49c4484991572ad7e,Angelos Chalaris,2025-06-29T17:18:04Z,Fix broken rules,8,14,22
Chalarangelo/30-seconds-of-code,b35d96bcdc1d38529c0308b1a8daab8b61bc59e2,Angelos Chalaris,2025-06-29T17:14:17Z,Move dynamic redirects to the end of the list,51,51,102
Chalarangelo/30-seconds-of-code,158c12ab60b3bf6e8506d3e4e28685b0bdfdd0d9,Angelos Chalaris,2025-06-29T16:22:23Z,Simplify redirects rules,9,9,18
Chalarangelo/30-seconds-of-code,d9d72373e9270cd901df5d150da039454e0cd887,Angelos Chalaris,2025-06-29T16:21:03Z,Simplify redirects rules,14,191,205
Chalarangelo/30-seconds-of-code,203f5b30071453d0a4c2c31ef2baac1687999487,Angelos Chalaris,2025-06-29T15:32:11Z,Change provider in Footer,2,2,4
Chalarangelo/30-seconds-of-code,dcfdcc469804456adc7a43824a74314a2e8cd099,Angelos Chalaris,2025-06-29T15:31:33Z,Remove netlify.toml,0,4,4
Chalarangelo/30-seconds-of-code,37e55682b559e7f57af6ebeefa4b2d6e8b4ad63d,Angelos Chalaris,2025-06-29T15:25:23Z,Switch build hook to Cloudflare,2,2,4
Chalarangelo/30-seconds-of-code,d90c9e4b8cbd1a32c28ce80fe8496a9c3805bb1d,Angelos Chalaris,2025-06-29T15:24:48Z,Update redirects for CloudFlare,1130,1130,2260
Chalarangelo/30-seconds-of-code,8e2d71e726040396fe6f7954c7c95d3a6e7a764e,Angelos Chalaris,2025-06-27T18:23:25Z,Fix language name,3,3,6
Chalarangelo/30-seconds-of-code,b8d6b6c9fbe37620a230739dec3750627b0e577f,Angelos Chalaris,2025-06-27T18:03:02Z,Add the history of the project as an article,658,0,658
Chalarangelo/30-seconds-of-code,d63aa37b26736248fdf6810c3bc44136c4add111,Angelos Chalaris,2025-06-27T18:02:43Z,Change date of an article,1,1,2
Chalarangelo/30-seconds-of-code,7897ccc560369f401da6266ba165ddd92e33052d,Angelos Chalaris,2025-06-27T16:22:30Z,Round corners for figure > img elements,5,0,5
Chalarangelo/30-seconds-of-code,1ca6547389781514fbd4948a68c72f24ec52df86,Angelos Chalaris,2025-06-27T15:27:18Z,"Allow optional subtitles in ToC matching  Add optional whitespace inside the title element (for custom HTML). Add an optional `small` element, that is not part of the title itself.",1,1,2
Chalarangelo/30-seconds-of-code,bb1ae95eb3d67052e938e822f287dcc5fc941f04,Angelos Chalaris,2025-06-15T15:36:51Z,Repackage and re-release digitize number,56,3,59
Chalarangelo/30-seconds-of-code,b1f901d0888646dfa32cda3717d2d03d9da85c46,Angelos Chalaris,2025-06-14T07:35:33Z,Link to new article,2,0,2
Chalarangelo/30-seconds-of-code,ceeb0bfb3d0e789c2462a6ab0cac38cb04f6472f,Angelos Chalaris,2025-06-14T07:35:22Z,Add Sudoku solver wave function collapse,143,0,143
Chalarangelo/30-seconds-of-code,487f4f790aaf3e628058bbdd31fd97af176c80ac,Angelos Chalaris,2025-06-13T10:01:54Z,Fix typo,1,1,2
Chalarangelo/30-seconds-of-code,55f505ed36cd8573d3e1d19f79e4ddf44df59dff,Angelos Chalaris,2025-06-12T16:30:36Z,Fix typo,1,1,2
Chalarangelo/30-seconds-of-code,1d3a1ade2ece305bdb6b96bd4b58c37a6964a3f3,Angelos Chalaris,2025-06-12T16:20:30Z,Update dictionary,2,0,2
Chalarangelo/30-seconds-of-code,e066a313671ee419a1a9d34320d20346ac70123a,Angelos Chalaris,2025-06-12T16:20:25Z,Fix apostrophes,48,48,96
Chalarangelo/30-seconds-of-code,85c45fba7dd6084116820184da4374a43d4b9b28,Angelos Chalaris,2025-06-12T16:19:55Z,Add new article,37,0,37
Chalarangelo/30-seconds-of-code,6a619bfb0b26fd24bc6c7bfdf7e875938ca9f7d1,Angelos Chalaris,2025-06-12T16:19:41Z,Fix apostrophes,1,1,2
Chalarangelo/30-seconds-of-code,904e0098d0b2b23084699660e8b317a4526c34e9,Angelos Chalaris,2025-06-12T16:19:30Z,Fix apostrophes,3,3,6
Chalarangelo/30-seconds-of-code,8c0f9a5eb543361d2c3fe2055d0c589dda0dbd06,Angelos Chalaris,2025-06-12T16:19:12Z,Add some copilot instructions,1,0,1
Chalarangelo/30-seconds-of-code,dff11ff1b2658e5c54783afd5e8459281728c698,Angelos Chalaris,2025-06-11T15:51:37Z,Bump sass to 1.89.2,5,5,10
Chalarangelo/30-seconds-of-code,490fd166e5abc1e388b558f7af18b85a9bc99363,Angelos Chalaris,2025-06-11T15:47:07Z,Bump eslint to 9.28.0,30,23,53
Chalarangelo/30-seconds-of-code,b7a7e3e57dc0fceefa6d18496f52940d0e451e85,Angelos Chalaris,2025-06-11T15:46:16Z,Run npm audit fix,4,3,7
Chalarangelo/30-seconds-of-code,3038b93d15e3e52ac3ca36290b9c7f0ddc00eda7,Angelos Chalaris,2025-06-11T15:43:04Z,Bump sharp to 0.34.2,685,223,908
Chalarangelo/30-seconds-of-code,8f123619c9829e41e0bdfa43d4d5acee6c098934,Angelos Chalaris,2025-06-11T15:41:08Z,Bump astro to 5.9.2,115,41,156
Chalarangelo/30-seconds-of-code,a1d2e0a06731915519bec6d565a8630335d63623,Angelos Chalaris,2025-06-11T15:40:16Z,Bump shiki to 3.6.0,108,32,140
Chalarangelo/30-seconds-of-code,3a520b084a10498c005f0f50870f3e3c7e7f54c2,Angelos Chalaris,2025-06-11T15:35:39Z,Expand sort by new to main listing,1,1,2
