repo,sha,author,date,message,additions,deletions,total_changes
EbookFoundation/free-programming-books,90cf66ae20485924fadbaea04e0cd789da7878c7,Davide Dunne Sanchez,2025-06-28T02:59:36Z,"Add Creative Commons in ""Behavior Analysis with Machine Learning Using R"" (#11886)",1,1,2
EbookFoundation/free-programming-books,4c7cc1c777f5215da62a6dbf19ef72aee2ffbb2f,Davide Dunne Sanchez,2025-06-26T21:06:00Z,"Add programming language book ""Behavior Analysis with Machine Learning Using R"" (#11885)",1,0,1
EbookFoundation/free-programming-books,1d2dc851d135a80dec5046e864cb77c7c4cafaf7,Ramadan Yassin,2025-06-22T12:37:56Z,"Update free-courses-ar.md add  Rust Section Courses (#11883)  * Update free-courses-ar.md   add  Rust Section - Rust للغلابة - Rust and chill بالعربي  * Update free-courses-ar.md add &rlm; to Rust Section",7,0,7
EbookFoundation/free-programming-books,31d6e3482b7e00c387c393bb00f3083cf59485f3,dependabot[bot],2025-06-20T12:58:21Z,chore(deps): bump tj-actions/changed-files from 44 to 46 (#11879)  Bumps [tj-actions/changed-files](https://github.com/tj-actions/changed-files) from 44 to 46. - [Release notes](https://github.com/tj-actions/changed-files/releases) - [Changelog](https://github.com/tj-actions/changed-files/blob/main/HISTORY.md) - [Commits](https://github.com/tj-actions/changed-files/compare/v44...v46)  --- updated-dependencies: - dependency-name: tj-actions/changed-files   dependency-version: '46'   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,2,2,4
EbookFoundation/free-programming-books,d053593b46358a59e43fa33167b8dcaa21a27d5b,Alifa Ara,2025-06-01T19:20:36Z,"Added new free Javascript book in Bengali by Jhankar Mahbub (#11880)  * added new free Javascript book in Bengali by Jhankar Mahbub  * added new free Javascript book in Bengali by Jhankar Mahbub  * added new free Javascript book in Bengali by Jhankar Mahbub, fixed serial  * added new free Javascript book in Bengali by Jhankar Mahbub, fixed serial, added the book type",2,1,3
EbookFoundation/free-programming-books,caa05be694008a30e039a7a83c10de2dbda18462,Gabriele Ciccotelli,2025-05-28T14:46:25Z,"Add RTL/LTR Markdown linter for mixed-direction text consistency and PR annotation (#11877)  * Add RTL/LTR Markdown linter for mixed-direction text consistency and PR annotation  Introduce a Python-based linter (scripts/rtl_ltr_linter.py) to automatically detect and annotate issues related to mixed Right-To-Left (RTL) and Left-To-Right (LTR) text in Markdown files. The linter analyzes list items, book entries, and metadata for potential bidirectional text rendering problems, such as missing Unicode directionality markers (RLM/LRM) and improper handling of LTR keywords or symbols in RTL contexts.  Key features: - Scans all Markdown files in the repository, with full logs saved as workflow artifacts. - Annotates only changed or added lines in pull requests, providing targeted feedback in the GitHub Actions Job Summary. - Detects common RTL/LTR issues, including:   - Missing directionality markers after LTR keywords (e.g., ""HTML"") or symbols (e.g., ""C#"") in RTL text.   - BIDI (bidirectional) mismatches that may affect text display.   - Incorrect ordering of author names and metadata in RTL contexts. - Configurable via rtl_linter_config.yml for keywords, symbols, and severity levels. - Includes a GitHub Actions workflow (rtl-ltr-linter.yml) for automated checks on PRs.  * Add test cases for RTL/LTR linter in English and Arabic book lists  Add sample entries to free-programming-books-en.md and free-programming-books-ar.md to test the RTL/LTR Markdown linter. These test cases include various combinations of RTL and LTR text, keywords, symbols, and metadata to verify that the linter correctly detects directionality issues and outputs the expected logs and annotations.  * Restore original book lists after RTL/LTR linter test cases  Revert test entries in free-programming-books-en.md and free-programming-books-ar.md, restoring the original book lists. This commit removes temporary test data used for validating the RTL/LTR Markdown linter, preparing the repository for merging the PR with a clean state.  No functional changes to the linter or configuration files; only test content has been removed.  * Update RTL/LTR linter workflow and script: run only on RTL file changes or ""RTL"" label, fail only on errors  The GitHub Actions workflow for the RTL/LTR Markdown linter now runs only if: - The PR modifies .md files related to RTL languages (ar, he, fa, ur), or - The PR has the ""RTL"" label. The linter script has been updated to fail the check only if errors are found on changed lines, not for warnings.  * Only upload linter artifact if linter step runs  Prevent warning about missing artifact by uploading the linter output log only if the linter step was executed (success or failure). This avoids unnecessary warnings when the linter is skipped because no RTL files were changed and no RTL label is present.  * Test workflow: modify non-RTL markdown file  Modified free-programming-books-en.md to verify that the RTL/LTR linter workflow does not run when only non-RTL markdown files are changed and the ""RTL"" label is not present.  * Test workflow: modify RTL markdown file to trigger linter  Modified free-programming-books-ar.md to verify that the RTL/LTR linter workflow runs as expected when an RTL markdown file is changed.  * Fix RTL/LTR BIDI issues in some markdown files  Applied directional markers (&lrm;, &rlm;) and other formatting fixes to resolve BIDI (bidirectional text) errors and warnings reported by the linter in several .md files.  * Fix workflow: upload linter log only if linter step has not been skipped  Updated the workflow to upload the linter output artifact only when the linter step was actually executed (not skipped)  * Add debug step to check linter outcome in workflow  Added a debug step after the linter execution in the workflow to print the outcome and conclusion of the run_linter step.  * Set continue-on-error for linter step to allow artifact upload and debug  * Remove workflow debug step and update markdown file  Removed the debug step from the RTL/LTR linter workflow and applied further changes to a markdown file.  * Fix RTL/LTR BIDI issues in some markdown files  Applied directional markers (&lrm;, &rlm;) and other formatting fixes to resolve BIDI (bidirectional text) errors and warnings reported by the linter in several .md files. This commit is a second batch of corrections to improve RTL/LTR rendering and pass the linter checks.  * Fix RTL/LTR BIDI issues in some markdown files  Applied directional markers (&lrm;, &rlm;) and other formatting fixes to resolve BIDI (bidirectional text) errors and warnings reported by the linter in several .md files. This commit is a third batch of corrections to improve RTL/LTR rendering and pass the linter checks.  * Do not produce log file if no issues found  Updated the linter script to avoid creating the log file when no issues, warnings, or notices are found. If no issues are detected, the script now prints a ""::notice ::No issues found""  * Always print annotation with number of errors and warnings found  Updated the linter script to always print an annotation indicating how many errors and warnings were found, even if there are none.  * Fix: always print summary annotation with number of issues found  * Add a missing newline character at end of file free-courses-he.md  * Update linter configuration and revert markdown files to pre-fix state  Updated the organization of keywords and symbols in the linter configuration file. Reverted all markdown files to their original state prior to the fixes.  * Update free-programming-books-he.md with fixes  * Update free-programming-books-he.md with further fixes  * Update free-programming-books-he.md with fixes  * Update free-programming-books-fa_IR.md with fixes  * Update free-programming-books-he.md with further fixes  * Update free-programming-books-ar.md with fixes  * Update free-programming-books-ar.md with further fixes  * Update free-podcasts-screencasts-ar.md with fixes  * Update free-podcasts-screencasts-fa_IR.md with fixes  * Update free-courses-he.md with fixes  * Update free-courses-he.md with further fixes  * Update free-courses-fa_IR.md with fixes  * Update free-courses-fa_IR.md with further fixes  * Update free-courses-ar.md with fixes  * Update free-courses-ar.md with further fixes  * Update free-courses-ar.md with further fixes  * Update free-courses-ur.md with fixes  * Update some markdown files with further improvements  * Fix alignment of nested lists in free-programming-books-fa_IR.md  * Update CONTRIBUTING.md and CONTRIBUTING-it.md with RTL/LTR linter error fixing guidelines  Added a section to CONTRIBUTING.md and CONTRIBUTING-it.md explaining how to fix RTL/LTR Markdown linter errors, including when to use &rlm; and &lrm; with practical examples for contributors working on files with mixed RTL and LTR text",1425,465,1890
EbookFoundation/free-programming-books,1be7c48c60979db2d716be63b2b4850167b94f2e,Dao Hai Nam,2025-05-02T22:47:56Z,Add 2 Vietnamese courses by Nam .NET (#11874)  * Add 2 Vietnamese courses by Nam .NET  * Fix alphabetical order  * Fix alphabetical order  * Fix alphabetical order  * Fix alphabetical order  * Fix alphabetical order  * Fix alphabetical order  * Update courses/free-courses-vi.md  Co-authored-by: Eric Hellman <eric@hellman.net>  * Update courses/free-courses-vi.md  Co-authored-by: Eric Hellman <eric@hellman.net>  * Fix alphabetical order  ---------  Co-authored-by: Eric Hellman <eric@hellman.net>,2,0,2
EbookFoundation/free-programming-books,e2f6750a8b5836330b7524f8406ce28346f2bfa7,M4ximumPizza,2025-04-28T12:57:51Z,Removed Coding With Minecraft by Al Sweigart: Error 404 (#11873),0,1,1
EbookFoundation/free-programming-books,e079b98eb26c044cf5e24987cd9ecf287395ce0e,M4ximumPizza,2025-04-28T12:56:43Z,Removed Zen of Assembly Language: Volume I 1990 by Michael Abrash because the URL no longer works anymore. (#11872),0,1,1
EbookFoundation/free-programming-books,f55523999bc497c8d3e3603d5b4fd8696ea8caac,Enemuo1,2025-04-23T13:00:37Z,Add CC BY license info to Aprende Python (#11870),1,1,2
