repo,sha,author,date,message,additions,deletions,total_changes
Significant-Gravitas/AutoGPT,fbae861379e8f23eb4fe31ca4d854b608b6fd162,Ubbe,2025-07-08T19:50:50Z,"fix(frontend): profile photo form upload (#10331)  ## Changes 🏗️  ### The Issue  - Backend returns: `""https://storage.googleapis.com/...""` (valid JSON string) - Frontend was calling `response.text()` which gave: `""\""https://storage.googleapis.com/...\""""` - This resulted in a URL with extra quotes that couldn't be loaded  ### The Fix I changed both file upload methods to use `response.json()` instead of `response.text()`:  1. **Client-side uploads** (`_makeClientFileUpload`): Changed `return await response.text();` to `return await response.json();` 2. **Server-side uploads** (`makeAuthenticatedFileUpload`): Changed `return await response.text();` to `return await response.json();`  Now when the backend returns a JSON string like `""https://example.com/file.png""`, the frontend will properly parse it as JSON and extract just the URL without the quotes.  ## Checklist 📋  ### For code changes: - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:   - [x] Login   - [x] Upload an image on your profile   - [x] It works     ### For configuration changes:  No configuration changes",2,2,4
Significant-Gravitas/AutoGPT,b7f9dcf4194d5cd3b32c239154039815663de4de,Nicholas Tindle,2025-07-08T16:14:56Z,fix(backend): add back perplexity_llama (#10327)  <!-- Clearly explain the need for these changes: -->  We flew too close to the sun  ### Changes 🏗️ adds back perplexity due to the need to remove it after it has already been migrated not before or the system will automatically migrate it to a different model so that it is one that exists  <!-- Concisely describe all of the changes made in this pull request: -->  ### Checklist 📋  #### For code changes: - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:   <!-- Put your test plan here: -->   - [x] tested locally; no impact since we are simply re-enabling it,7,0,7
Significant-Gravitas/AutoGPT,a4ff8402f1998788e56ff064f117d83951a010d7,Toran Bruce Richards,2025-07-08T14:08:06Z,"feat(backend): add Perplexity Sonar models (#10326)  <!-- Clearly explain the need for these changes: --> Adds the latest Perplexity Sonar models from OpenRouter and removes the decommissioned Sonar Large model.  ### Changes 🏗️ - Added constants for `perplexity/sonar`, `perplexity/sonar-pro`, and `perplexity/sonar-deep-research` in the `LlmModel` enum​ - Included metadata entries for the new models - Mapped the new models in the cost configuration with their respective pricing tiers - Removed the outdated Sonar Large model  ### Checklist 📋 #### For code changes: - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:   - [x] `poetry run format`   - [x] `poetry run test`   #### For configuration changes: - [ ] `.env.example` is updated or already compatible with my changes - [ ] `docker-compose.yml` is updated or already compatible with my changes - [ ] I have included a list of my configuration changes in the PR description (under **Changes**)",12,6,18
Significant-Gravitas/AutoGPT,2183c94c581e99a2e0018f029220e22e40c8f1a6,Abhimanyu Yadav,2025-07-08T13:21:22Z,"feat(frontend): update data fetching strategy and restructure dashboard page (#10265)  This plugin helps users organise library pages and use React Query for data fetching on these pages.  ### Changes  - Restructure the component position. - Divide the component into two parts: one for rendering and the other for hooks. - Change data fetching from the normal fetch to an autogenerated React query. - Everything is shifted to the client side.  ### Important Notes  - I haven’t changed any UI in this. I’ve divided it into sub-parts because my main focus is on data fetching. - Edit is not working, so I need to fix it in the follow-up PR. I haven’t broken it; it broke already. - I need to fix prop drilling in further PRs. - I need to fix loading states.  > I haven’t changed the credit page or integration because I’m getting errors while setting up Stripe for testing. My card is constantly declined, and the integration page is attached to the builder page. I’ll add changes to it when I’m working with the builder.  ### Checklist 📋  - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:    - [x] Tested manually and everything is working perfectly    - [x] Verified agent listing loads correctly    - [x] Confirmed delete functionality works",282,239,521
Significant-Gravitas/AutoGPT,5ff6d2ca56b5226f40c791d02b45fa165a177bb0,Zamil Majdy,2025-07-08T01:49:17Z,fix(backend): Fix stop graph response on already stopped graph,2,5,7
Significant-Gravitas/AutoGPT,02d3b42745f16c88ce2abab2bfd3fb6e33563555,Zamil Majdy,2025-07-08T01:20:13Z,"fix(backend;frontend): Add auto-type convertion support for optional types (#10325)  Auto type conversion doesn't work on optional type.  To reproduce: <img width=""981"" alt=""image"" src=""https://github.com/user-attachments/assets/92198d32-bce9-44fd-a9b0-b7b431aec3ba"" />  Use the AgentNumberInput block and try to pass a string value to the sub-agent that uses it.   ### Changes 🏗️  Added optional type auto conversation support.  ### Checklist 📋  #### For code changes: - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:   <!-- Put your test plan here: -->   - [x] Try to convert string to optional[int]",48,8,56
Significant-Gravitas/AutoGPT,4bf73f63f49dd0080b8e8835754ab8c30bb064fa,Ubbe,2025-07-07T19:03:08Z,fix(frontend): vulnerability dep (#10319)  ## Changes 🏗️  `pbkdf2` should be on `3.1.3` to address [this alert](https://github.com/Significant-Gravitas/AutoGPT/security/dependabot/343).  ## Checklist 📋  ### For code changes: - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:   - [x] pnpm installs work  ### For configuration changes:  None,5,21,26
Significant-Gravitas/AutoGPT,189c353c598053a51b506d8b783e5c5311df1c68,Ubbe,2025-07-07T18:43:55Z,"fix(frontend): make reading `input_schema` way more defensive (#10318)  ## Changes 🏗️  <img width=""800"" alt=""Screenshot 2025-07-07 at 22 24 07"" src=""https://github.com/user-attachments/assets/72551f58-e41d-4a67-839b-98f63c6aad6b"" />  Looking at the generated types, it looks like `input_schema` for the agent can be anything: - [libraryAgent](https://github.com/Significant-Gravitas/AutoGPT/blob/dev/autogpt_platform/frontend/src/app/api/__generated__/models/libraryAgent.ts#L18-L38) - [libraryAgentInputSchema](https://github.com/Significant-Gravitas/AutoGPT/blob/dev/autogpt_platform/frontend/src/app/api/__generated__/models/libraryAgentInputSchema.ts#L9)  But the Front-end is reading it optimistically through the hardcoded types on Backend API:  - [GraphIOSchema](https://github.com/Significant-Gravitas/AutoGPT/blob/443995d79a90486fd287f7e15272fe56a19d36f0/autogpt_platform/frontend/src/lib/autogpt-server-api/types.ts#L324-L329)  ## Checklist 📋  ### For code changes: - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:   - [x] Login   - [x] Open agents in library   - [x] The page does not break    ### For configuration changes:  No configuration changes.",33,34,67
Significant-Gravitas/AutoGPT,07461a88cf9075dc512db03743b0740b2e7e007f,Ubbe,2025-07-07T13:37:51Z,"fix(frontend): better proxy error logging (#10305)  ## Changes 🏗️  If the proxied API call fails with an error that is not JSON-like, expose it still to the client so it can be shown.  ## Checklist 📋  ### For code changes: - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:   - [x] Login   - [x] Try to top up credits - [x] You see a better failure on the error toast when redirected back to the app  ---------  Co-authored-by: Abhimanyu Yadav <122007096+Abhi1992002@users.noreply.github.com>",18,7,25
Significant-Gravitas/AutoGPT,daf05cb7bf6fb09e4224666357fe6c507deb574e,Ubbe,2025-07-07T13:37:32Z,"fix(frontend): fix agent run details view (#10311)  ## Changes 🏗️  Fixes the layout getting very wide if the output of an agent is very long:   https://github.com/user-attachments/assets/e032f425-ed9a-4a13-925f-1bb444f84ef1  It also makes the library agent code a bit more defensive, I get full page errors on certain agents in the library:  <img width=""800"" alt=""Screenshot 2025-07-04 at 17 35 46"" src=""https://github.com/user-attachments/assets/ff8ae461-3792-4e94-941e-9fdd2ead1c87"" />    ## Checklist 📋  ### For code changes: - [x] I have clearly listed my changes in the PR description - [x] I have made a test plan - [x] I have tested my changes according to the test plan:   - [x] Login and go to agent in library   - [x] It loads without errors - [x] When the execution output is long, it doesn't make the page wider",20,16,36
