repo,sha,author,date,message,additions,deletions,total_changes
Snailclimb/JavaGuide,1ccf42faad30cb4488040938833301e502a2674d,Guide,2025-07-07T15:20:51Z,Merge pull request #2691 from x0c/x0c-patch-1  修正 Java 10 中的 Optional 增强描述,3,3,6
Snailclimb/JavaGuide,a11786e0c99db669344f318ec05100840de055b4,x0c,2025-07-03T08:04:11Z,修正 Java 10 中的 Optional 增强,3,3,6
Snailclimb/JavaGuide,31ae380b053f882213fba2689cd1d88a5553bd04,Guide,2025-07-02T14:50:05Z,Merge pull request #2690 from JIANGZEHUI0319/patch-1  修正类加载器详解中一个错误,1,1,2
Snailclimb/JavaGuide,61fa045fec8504bc4d3faa0b2c608615325cdec0,JIANGZEHUI0319,2025-07-02T12:39:51Z,Update classloader.md  判断一个类加载器是不是被BootstrapClassLoader 加载的，应该使用XXXClaissLoader.getClass().getClassLoader()是不是为null来判断，getParent()只是获取类加载器在委派链中的父类加载器，两个是不同概念。我可以自定义一个类加载器，通过new MyClassLoader(null)主动设置parent为null打破双亲委派。但是我的MyClassLoader这个类是被AppClassLoader加载的。,1,1,2
Snailclimb/JavaGuide,93c6cdd981e65e38020d2bfa91d6bcabf909584a,Guide,2025-07-02T11:58:34Z,Merge pull request #2687 from blueair5/zgw-main  MYSQL 索引详解:最左前缀匹配原则增加一个示例,2,1,3
Snailclimb/JavaGuide,98b7e4fc4557814d12eaa89cb5444efbb3b2cdb8,Guide,2025-07-02T11:58:15Z,Merge pull request #2689 from blueair5/fix-main  修改线程池最佳实践示例代码中的错别字,1,1,2
Snailclimb/JavaGuide,bbab5c5a83394f795ade7a36e6c098b89dc617e2,seaflower,2025-07-01T16:17:00Z,修改线程池最佳实践示例代码中的错别字,1,1,2
Snailclimb/JavaGuide,95c6e3df35d720638239f0aa3bf8032cf618d25c,seaflower,2025-06-30T13:58:05Z,MYSQL 索引详解:最左前缀匹配原则增加一个示例,2,1,3
Snailclimb/JavaGuide,9691335ca736476e770c298eb2249534232d797b,Guide,2025-06-30T08:20:57Z,update: 索引优缺点,19,17,36
Snailclimb/JavaGuide,efbd62c90a4340ea191440d6b0e694e06ae31ab1,Guide,2025-06-30T08:12:36Z,Merge pull request #2679 from lb-xx/main  fix: 语法勘误,3,3,6
Snailclimb/JavaGuide,025c4e171e383056e83a414572251f8e2bdd3b3f,Guide,2025-06-30T08:11:58Z,Merge pull request #2681 from HEX9CF/patch-1  docs: 修正路由选择英文术语错误,1,1,2
Snailclimb/JavaGuide,de141fb2e8f2c727bfb474377b85bb444d4bce88,Guide,2025-06-30T08:09:38Z,Merge pull request #2683 from shining-stars-l/patch-1  docs: 推荐高并发实战项目：大麦,1,0,1
Snailclimb/JavaGuide,9153cf255f2006edd424d82b2a717d6cc9bd9882,Guide,2025-06-30T08:08:55Z,Merge pull request #2685 from IMZHEYA/patch-1  fix:垃圾回收器笔误,1,1,2
Snailclimb/JavaGuide,fd2ed51771ae47343aaf4ca3cefa43c8c0d29f38,诨号无敌鸭,2025-06-29T13:16:07Z,fix:垃圾回收器笔误,1,1,2
