repo,sha,author,date,message,additions,deletions,total_changes
TheAlgorithms/Python,d1a9486f09f47a14ea6bfdfcfaf61c0297476d84,pre-commit-ci[bot],2025-07-11T21:06:49Z,[pre-commit.ci] pre-commit autoupdate (#12781)  * [pre-commit.ci] pre-commit autoupdate  updates: - [github.com/astral-sh/ruff-pre-commit: v0.11.11 → v0.12.2](https://github.com/astral-sh/ruff-pre-commit/compare/v0.11.11...v0.12.2) - [github.com/pre-commit/mirrors-mypy: v1.15.0 → v1.16.1](https://github.com/pre-commit/mirrors-mypy/compare/v1.15.0...v1.16.1)  * Update .pre-commit-config.yaml  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> Co-authored-by: Christian Clauss <cclauss@me.com>,1,1,2
TheAlgorithms/Python,5a4a6a5497776c564774fa915792924eee36865d,Asim Hanif,2025-07-11T20:25:53Z,"Update .pre-commit-config.yaml to reflect current linting and formatt… (#12841)  * Update .pre-commit-config.yaml to reflect current linting and formatting setup  - Replaced outdated references to `black` with the actual tools used in the repo: `ruff` and `ruff-format`. - Ensured all configured hooks are up to date and relevant to Python development. - This aligns the linting and formatting setup with the project's actual pre-commit pipeline. - Improves consistency for contributors by preventing confusion between formatting tools.  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * We use httpx, not requests  * response = httpx.get(request_url, timeout=10).raise_for_status()  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> Co-authored-by: Christian Clauss <cclauss@me.com>",18,24,42
TheAlgorithms/Python,ed7c9b51f940307bfbec79e9cc4587e025e657c5,Bertrand Awenze,2025-07-09T12:25:18Z,Fix devcontainer build failure (#12837)  * add post-installation script  * set zsh as default terminal and make post-install execution on postcreate  * rename file  * rename script  * Create devcontainers_ci.yml  * Update devcontainer.json  * Update devcontainers_ci.yml  Never push image built here. It's for build testing purpose only.  * postCreateCommand update to reflect that the shell script has been renamed.  * update devcontainer readme file  * trigger workflow only on devcontainer/** changes  * prettier refactor,97,6,103
TheAlgorithms/Python,5c05335b27c7f072b35fd9028d81433939054628,Christian Clauss,2025-07-07T08:28:59Z,hill_cipher.py: Use `int()` to gracefully deal with float input (#12833)  * https://github.com/TheAlgorithms/Python/pull/12821#discussion_r2186998710,3,1,4
TheAlgorithms/Python,cd3c3c3130f8b067b27993a93fac0e0ffe5e59d2,Christian Clauss,2025-07-05T22:35:29Z,Various ruff fixes (#12821),69,70,139
TheAlgorithms/Python,7665ba5e257a1a42caa36d781925d87968ee1497,Qasim Umar,2025-07-05T10:58:45Z,"Add unit tests for factorial.py (#12815)  * Add unit tests for factorial.py  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * uvx --python=3.12 unittest2pytest --write test_factorial.py  * Update error message in current_stock_price.py  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> Co-authored-by: Christian Clauss <cclauss@me.com>",38,1,39
TheAlgorithms/Python,c3d4b9e54d65c90422a0863c38b1ca72e6037bc9,Mindaugas,2025-06-02T17:32:47Z,"Add doctests for the boyer_moore_search algorithm. (#12769)  * Add doctests for the boyer_moore_search algorithm.  * Update boyer_moore_search.py  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Update boyer_moore_search.py  * Update boyer_moore_search.py  ---------  Co-authored-by: Maxim Smolskiy <mithridatus@mail.ru> Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com>",33,16,49
TheAlgorithms/Python,4b077c06b623ea20a90e9e5678e38101a4636584,JEONGHYUN MIN,2025-05-31T21:11:46Z,feat: create straight_line_depreciation (#12377)  Co-authored-by: Jeonghyun Min <20122791@tafe.wa.edu.au>,103,0,103
TheAlgorithms/Python,d0d7f0b18ab5cca2c573448b757c45bc0eee69c6,Christian Clauss,2025-05-29T06:56:25Z,"maths/radix2_fft.py: Fix calculation for Python 3.14 (#12772)  * maths/radix2_fft.py: Fix calculation for Python 3.14  As suggested at: * https://github.com/TheAlgorithms/Python/issues/12729#issuecomment-2878608477 * https://github.com/TheAlgorithms/Python/pull/12710#discussion_r2080117333  @MaximSmolskiy @KirilBangachev @skirpichev Careful review, please.  I am just implementing the suggestion, but I do not have any expertise in this area.  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Change test results  * GitHub Actions: Rename job from build to directory_writer  It is confusing to have two jobs named `build`.  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com>",6,4,10
TheAlgorithms/Python,e26c388af0668c7b4236442691d36a477e02f400,pre-commit-ci[bot],2025-05-26T20:55:55Z,[pre-commit.ci] pre-commit autoupdate (#12760)  * [pre-commit.ci] pre-commit autoupdate  updates: - [github.com/astral-sh/ruff-pre-commit: v0.11.9 → v0.11.11](https://github.com/astral-sh/ruff-pre-commit/compare/v0.11.9...v0.11.11) - [github.com/tox-dev/pyproject-fmt: v2.5.1 → v2.6.0](https://github.com/tox-dev/pyproject-fmt/compare/v2.5.1...v2.6.0)  * updating DIRECTORY.md  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> Co-authored-by: pre-commit-ci[bot] <pre-commit-ci[bot]@users.noreply.github.com>,3,2,5
TheAlgorithms/Python,a8ad2db2b966fcbd2e6a82b8f1544116838c02b0,Mindaugas,2025-05-22T21:17:48Z,Update matrix_chain_order calculation with more details and test. (#12759),23,10,33
TheAlgorithms/Python,e1115b5f15afa44deb4752483b9b456457f7e683,Mindaugas,2025-05-22T21:07:43Z,"Add tests and cleanup sum_of_subsets algorithm (#12746)  * Add tests and cleanup sum_of_subsets algorithm.  * Update sum_of_subsets.py  * Update sum_of_subsets.py  * Update sum_of_subsets.py  * Update sum_of_subsets.py  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  ---------  Co-authored-by: Maxim Smolskiy <mithridatus@mail.ru> Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com>",30,15,45
TheAlgorithms/Python,c81cc269962b346420b9e551782bd836dedb4528,Isidro,2025-05-22T20:44:25Z,Improve hash map (#12678)  * Mutable _Item  * document falsy item  * resize_down: expected test result  * resize_down: actual result  This is a problem since it causes rapid cycling  * improve comment about falsy item  Co-authored-by: Andrey <Cjkjvfnby@gmail.com>  * fix long line  * Update hash_map.py  * Update hash_map.py  ---------  Co-authored-by: Andrey <Cjkjvfnby@gmail.com> Co-authored-by: Maxim Smolskiy <mithridatus@mail.ru>,26,4,30
TheAlgorithms/Python,ca445f52964f74ef5d398fd8dd6561ee198b353a,Prajwal Choudhari,2025-05-22T15:08:37Z,"Add bidirectional search algorithm implementation (#12649)  * Add bidirectional search algorithm implementation  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Fix style and linting issues in bidirectional search  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Add doctest for main function  * Add doctest for main function  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * fixed deprications  * fixed deprications  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * removed unused import  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Update bidirectional_search.py  * Update bidirectional_search.py  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Update bidirectional_search.py  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> Co-authored-by: Maxim Smolskiy <mithridatus@mail.ru>",201,0,201
TheAlgorithms/Python,26ad6891d8bdadc7dd88a2c91cdb28977a7a9dc0,Isidro,2025-05-21T18:33:29Z,Add median() function using Quickselect (#12676)  * Add median() function using Quickselect  * Update quick_select.py  * Update quick_select.py  * Update quick_select.py  ---------  Co-authored-by: Maxim Smolskiy <mithridatus@mail.ru>,22,0,22
TheAlgorithms/Python,a2fa32c7ad8085c49021b28578440fc167627e8e,Christian Clauss,2025-05-14T01:42:11Z,"Lukazlim: Replace dependency `requests` with `httpx` (#12744)  * Replace dependency `requests` with `httpx`  Fixes #12742 Signed-off-by: Lim, Lukaz Wei Hwang <lukaz.wei.hwang.lim@intel.com>  * updating DIRECTORY.md  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  ---------  Signed-off-by: Lim, Lukaz Wei Hwang <lukaz.wei.hwang.lim@intel.com> Co-authored-by: Lim, Lukaz Wei Hwang <lukaz.wei.hwang.lim@intel.com> Co-authored-by: cclauss <cclauss@users.noreply.github.com> Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com>",971,654,1625
TheAlgorithms/Python,6e4d1b376546cdf347b6513ff5f493510b956309,S Sajeev,2025-05-13T09:14:05Z,"Physics orbital_transfer_work (#12728)  * Added iterative solution for power calculation  * Added iterative solution for power calculation  * Added iterative solution for power calculation  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Added iterative solution for power calculation fixes #12709  * Added iterative solution for power calculation  FIXES NUMBER 12709  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Escape velocity is the minimum speed an object must have to break free from a celestial body's gravitational pull without further propulsion. Takes input as the Mass of the Celestial body (M) and Radius fron the center of mass (M)  * Fix: added header comment to escape_velocity.py  * Trigger re-PR with a minor change  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Fix: resolve Ruff linter errors and add Wikipedia reference  * Add: work done calculation for orbital transfer between orbits  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Update escape_velocity.py  * Delete maths/power_using_iteration.py  * Update and rename workdone.py to orbital_transfer_work.py  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> Co-authored-by: Christian Clauss <cclauss@me.com>",73,0,73
TheAlgorithms/Python,ee3a1732e007d32b5835635ac7c7fbb2b5464f53,pre-commit-ci[bot],2025-05-12T17:59:33Z,[pre-commit.ci] pre-commit autoupdate (#12736)  updates: - [github.com/astral-sh/ruff-pre-commit: v0.11.8 → v0.11.9](https://github.com/astral-sh/ruff-pre-commit/compare/v0.11.8...v0.11.9)  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com>,1,1,2
TheAlgorithms/Python,f721e598e5677ed368b7dbd119092eb409ab2fb0,Christian Clauss,2025-05-12T11:33:33Z,Add a proper shebang line to scripts/validate_filenames.py (#12733),2,1,3
TheAlgorithms/Python,485f688d0683ca026959e1b68f12e5d221724860,Christian Clauss,2025-05-12T10:52:27Z,"Add PEP723 header to scripts/validate_solutions.py (#12731)  Enable `uv run scripts/validate_solutions.py` or `pipx run scripts/validate_solutions.py` * https://peps.python.org/pep-0723 * https://docs.astral.sh/uv/guides/scripts/#declaring-script-dependencies",9,0,9
TheAlgorithms/Python,088c74e84026fcb77b3e3e0c15c83111a6979ae7,Christian Clauss,2025-05-12T10:45:53Z,Delete empty source directory (#12730),0,0,0
TheAlgorithms/Python,1ea05feffec48250a3d6d0ccbd1378242d680cbc,Christian Clauss,2025-05-12T09:59:19Z,Prep for Python 3.14: Rename compression to data_compression (#12725)  * Prep for Python 3.14: Rename compression to data_compression  * updating DIRECTORY.md  ---------  Co-authored-by: cclauss <cclauss@users.noreply.github.com>,15,10,25
TheAlgorithms/Python,95fb181f5a944427fdbc5766cbf4e1cb699d4a6d,S Sajeev,2025-05-10T20:43:39Z,"Add escape velocity calculator using standard physics formula (#12721)  * Added iterative solution for power calculation  * Added iterative solution for power calculation  * Added iterative solution for power calculation  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Added iterative solution for power calculation fixes #12709  * Added iterative solution for power calculation  FIXES NUMBER 12709  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Escape velocity is the minimum speed an object must have to break free from a celestial body's gravitational pull without further propulsion. Takes input as the Mass of the Celestial body (M) and Radius fron the center of mass (M)  * Fix: added header comment to escape_velocity.py  * Trigger re-PR with a minor change  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Fix: resolve Ruff linter errors and add Wikipedia reference  * Delete maths/power_using_iteration.py  * Test doctests  * Update escape_velocity.py  * Update escape_velocity.py  * Update escape_velocity.py  * Update escape_velocity.py  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> Co-authored-by: Maxim Smolskiy <mithridatus@mail.ru>",67,0,67
TheAlgorithms/Python,131765574f5ccfaff4214a6f848412ce2fe4ab20,robohie,2025-05-10T20:18:02Z, Fix error messages for horizontal_projectile_motion.py (#12722)  * Update horizontal_projectile_motion.py  This commit is about logic of this program. Changes made aim to allow a good understanding of what is done.  * Update horizontal_projectile_motion.py  ---------  Co-authored-by: Maxim Smolskiy <mithridatus@mail.ru>,9,9,18
TheAlgorithms/Python,47a44abe23870ca0f7c8062601278645039b1c70,Alfredo Hernandez Baeza,2025-05-10T11:57:43Z,"Improve longest_common_substring.py (#12705)  * Update longest_common_substring.py  - Combined the ans_index and ans_length into a single tuple to track the best match (position + length) more cleanly.  - Early exit for empty strings.  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  * Update longest_common_substring.py  * [pre-commit.ci] auto fixes from pre-commit.com hooks  for more information, see https://pre-commit.ci  ---------  Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> Co-authored-by: Maxim Smolskiy <mithridatus@mail.ru>",9,6,15
