repo,sha,author,date,message,additions,deletions,total_changes
airbnb/javascript,11f986fdc7d6b4c80e396437e9c45c939362bdee,ptmkenny,2024-12-07T04:03:23Z,[eslint config] [deps] update `eslint-plugin-react-hooks`,2,2,4
airbnb/javascript,6499695ac11c4640ed0f77f8865a1adcb32d3239,Matheus Felipe,2023-10-13T07:58:10Z,[readme] update link to es5 and es6 compat table in readme,1,1,2
airbnb/javascript,f45bd1ebc0549d370ccd7cb0ca039b40d3be768b,Anees Iqbal,2024-10-01T21:14:01Z,[eslint config] [*] [fix] fix crash in eslint invocation with TIMING env set,14,2,16
airbnb/javascript,e6080c7beed96700a599e7d86f1517bdc8269366,Richard Klees,2023-05-11T15:30:30Z,[readme] add ILIAS to users,1,0,1
airbnb/javascript,b912288e4bf7fa46d9254d3cdfa190e9b59f36c0,“naandalist”,2024-09-21T22:00:08Z,[readme] Remove dead URLs,0,4,4
airbnb/javascript,39b970f7024006d34d40d5afdf763b32c9a8a074,Kim Minh Thắng,2024-09-24T07:42:47Z,Add Zit Software to `In the Wild`  Signed-off-by: Kim Minh Thắng <thangved02@gmail.com>,1,0,1
airbnb/javascript,d1705c389ed3745f10139b32fca655c306dd56bb,Ngene Arinzechukwu,2024-02-19T15:47:10Z,[guide] [css] Added what BEM stands for (Block Element Modifier),1,1,2
airbnb/javascript,e6f292286b1c03add35c98481337b5f26eebc06e,Jordan Harband,2024-09-21T05:39:53Z,[eslint config] [*] [deps] update deps,14,14,28
airbnb/javascript,7a8f5687699bad856ca7bb7df0a731f0597a772a,Jordan Harband,2024-09-21T05:36:49Z,[eslint config] [patch] add new disabled react rules,8,2,10
airbnb/javascript,c25bce83be4db06e6a221d79686c485cd2ed5d5d,Hadi,2024-04-07T18:18:29Z,[readme] replace dead link with archive.org link,1,1,2
airbnb/javascript,f20eca9f646954f2ebb0375e3a99b85e7b7161ad,Riaz,2024-03-25T09:00:44Z,"[guide] fix compat table URL  https://kangax.github.io/compat-table/es6/ hit a 404 error,  URL: https://compat-table.github.io/compat-table/es6/",2,2,4
airbnb/javascript,932951adc2d503d906c85b01179b4e1256c41896,Jordan Harband,2024-03-25T16:31:09Z,[eslint config] [deps] update `eslint-plugin-react`,9,2,11
airbnb/javascript,5f019b1b11e69e7ee300ab15d5b0123c9c226bbe,Jordan Harband,2024-03-25T16:28:53Z,[eslint config] [*] [dev deps] update `tape`,2,2,4
airbnb/javascript,b23992033ce67ace887044140efb2df70aa1766d,Jordan Harband,2024-01-30T18:59:47Z,[eslint config] [patch] `jsx-a11y/no-redundant-roles`: allow `nav` to have `navigation` role,3,1,4
airbnb/javascript,09adc22031e545ef818a57fee3e8a88de3afb0f0,Jordan Harband,2024-01-30T18:59:23Z,[eslint config] [patch] `jsx-a11y/no-noninteractive-tabindex`: allow expression values,1,0,1
airbnb/javascript,51a37d0fa5f334fdfae9fea39711402fb6eb3b34,Jordan Harband,2024-01-28T05:02:05Z,[eslint config] [*] [robustness] cache static builtins,20,12,32
airbnb/javascript,0681a43e0a0181e8cafd0d3004f967a238411ba2,43081j,2024-01-04T19:14:38Z,[eslint config] [*] [refactor] remove `object.entries` dependency  This removes the `object.entries` package and uses the widely available built-in native `Object.entries`.,6,12,18
airbnb/javascript,55899b57a6de826d8d762693d6d4f999d652ae2d,Jordan Harband,2024-01-28T05:08:54Z,[eslint config] [*] [deps] update deps,14,14,28
airbnb/javascript,e95b1f2754258cf219ecfdfdf712b6de5657dd8a,Jordan Harband,2024-01-28T05:07:02Z,[eslint config] [base] add new disabled rules,5,0,5
airbnb/javascript,11ab37144b7f846f04f64a29b5beb6e00d74e84b,Vahid Mohammadi,2023-08-21T14:43:54Z,[eslint config] [base] [patch] Add a message for `confusing-browser-globals`,4,1,5
airbnb/javascript,46ae3e225673b6bbd52a49f78b9474cd282b8e4f,savalaram-redkar,2023-08-15T14:54:16Z,[readme] Add `Object.hasOwn` to section 3.7,6,2,8
airbnb/javascript,cb191776dbdd2c8674fc81a6850c4c1377af46e6,hamzahuda,2023-08-12T11:19:30Z,"[readme] correct no-use-before-define justification  The recommendation is to declare the variables, classes and functions before. So the contrasting negative example should say after.",1,1,2
airbnb/javascript,cda44dad403979d313a4b02ce55f0bb6cc3a24b2,Joe Mornin,2023-08-01T16:25:54Z,"[guide] Add commas to Truth, Equality, and JavaScript  Co-authored-by: Jordan Harband <ljharb@gmail.com>",1,1,2
airbnb/javascript,2fc5e2d52c48c1dfc76f52f704c41dcfd28a0de7,Joe Mornin,2023-08-02T20:16:48Z,[guide] fix grammar,1,1,2
airbnb/javascript,749f4c2bd0e2e890fed7f421ac39b8689fe00d99,Jordan Harband,2023-08-05T00:06:55Z,[eslint config] [deps] update `eslint-plugin-react`,2,2,4
airbnb/javascript,4aee38f1e794ec846aa2d1120b80a1ac7ad4db12,Jordan Harband,2023-08-05T00:05:40Z,"[eslint config] [*] [deps] update `eslint-plugin-import`, `@babel/runtime`, `tape`",8,8,16
