repo,sha,author,date,message,additions,deletions,total_changes
awesome-selfhosted/awesome-selfhosted,753a0c32c9f719ce23534a151021a22e68de7fd7,awesome-selfhosted-bot,2025-07-07T22:10:43Z,[bot] build markdown from awesome-selfhosted-data aa0bf5c,0,1,1
awesome-selfhosted/awesome-selfhosted,015dfbb9845aa151a38ebb38543c842c4c2357f2,awesome-selfhosted-bot,2025-07-07T09:11:24Z,[bot] build markdown from awesome-selfhosted-data 532e1a0,1,1,2
awesome-selfhosted/awesome-selfhosted,fd1e76dcde6977694c2eb57f7ba38c5ab0ac5ae1,awesome-selfhosted-bot,2025-07-07T09:00:24Z,[bot] build markdown from awesome-selfhosted-data 84c4fd4,1,1,2
awesome-selfhosted/awesome-selfhosted,2214e9a2ca41fe6b8986ace2d4a23c6ac06904d5,awesome-selfhosted-bot,2025-07-05T11:24:02Z,[bot] build markdown from awesome-selfhosted-data 46bd61a,0,1,1
awesome-selfhosted/awesome-selfhosted,bc7be49647ec1fea65ccd42b57bc7738d968a7a7,awesome-selfhosted-bot,2025-07-03T09:15:35Z,[bot] build markdown from awesome-selfhosted-data 2cb4b27,1,0,1
awesome-selfhosted/awesome-selfhosted,cb9aeda464481dbaf490bfaaa4bf5eb5605f86f7,awesome-selfhosted-bot,2025-06-30T20:25:06Z,[bot] build markdown from awesome-selfhosted-data 9d09dd1,0,1,1
awesome-selfhosted/awesome-selfhosted,9d58e6b920430b401df74e6217c3c56e4f1769cd,awesome-selfhosted-bot,2025-06-28T10:39:14Z,[bot] build markdown from awesome-selfhosted-data a4411b2,1,1,2
awesome-selfhosted/awesome-selfhosted,68e4e7a2b19b76821f3d8f9f0d84538ca2583d2e,awesome-selfhosted-bot,2025-06-20T09:02:44Z,[bot] build markdown from awesome-selfhosted-data ee16709,1,1,2
awesome-selfhosted/awesome-selfhosted,f67e73076f23996735f7cf12c2c7f7be1ac26fd8,awesome-selfhosted-bot,2025-06-20T09:01:11Z,[bot] build markdown from awesome-selfhosted-data 88efbe9,0,3,3
awesome-selfhosted/awesome-selfhosted,f26f9c74d5be8c1f9d99d76a57ec3c24a82233b3,awesome-selfhosted-bot,2025-06-18T13:36:06Z,[bot] build markdown from awesome-selfhosted-data b9c423b,1,0,1
awesome-selfhosted/awesome-selfhosted,573dc9a16d307096a94b286d8c1b7c3ed5e0a3fc,awesome-selfhosted-bot,2025-06-18T13:33:57Z,[bot] build markdown from awesome-selfhosted-data 4c88627,1,1,2
awesome-selfhosted/awesome-selfhosted,65e580abb4bf7123c689a01532151eab9efddd33,awesome-selfhosted-bot,2025-06-18T13:32:52Z,[bot] build markdown from awesome-selfhosted-data 42104e7,2,2,4
awesome-selfhosted/awesome-selfhosted,b9447dd585f333d810fc7d4aab71d108a49c56a8,awesome-selfhosted-bot,2025-06-18T12:32:47Z,[bot] build markdown from awesome-selfhosted-data 6d8298d,1,1,2
