repo,sha,author,date,message,additions,deletions,total_changes
codecrafters-io/build-your-own-x,a8bc6fbcf12498a35773e0a73c42b287797e3084,Vencyr Laurence Imbo Amores,2025-07-07T14:14:17Z,update to byox banner,1,1,2
codecrafters-io/build-your-own-x,c56186ac2d02831062072c0f7c093c2a91616008,Vencyr Laurence Imbo Amores,2025-07-07T09:05:02Z,update byox banner,1,1,2
codecrafters-io/build-your-own-x,cf5d7501331ee4fee8a50b1ed68a5236f85b53b8,Paul Kuruvilla,2025-04-11T19:13:28Z,Merge pull request #1414 from maysara-elshewehy/master,1,0,1
codecrafters-io/build-your-own-x,d6ce7605f0d961be9ba77e261e0442dcfca3249c,Maysara,2025-04-11T18:00:24Z,Add a new tutorial link for zig.,1,0,1
codecrafters-io/build-your-own-x,7b7d32b81907004aa3f2b79c8cb266f64bc1f43d,Paul Kuruvilla,2024-09-03T14:39:35Z,Merge pull request #1128 from MichaelHinrichs/patch-1  Enable Markdown detection.,2,0,2
codecrafters-io/build-your-own-x,600322eb68bc886b230d64688403024bf00d412a,NintenHero,2024-08-13T21:13:52Z,Create .gitattributes  Enable Markdown detection.,2,0,2
codecrafters-io/build-your-own-x,d45e4aa435c0939bd2970daab595567b81f5aefb,Paul Kuruvilla,2024-08-06T00:02:50Z,Merge pull request #1124 from gr0wnd-z33r0/patch-2  Update README.md,0,1,1
codecrafters-io/build-your-own-x,b60615d8b50e5c68543564e17e7892783db68a8c,Will Squibb,2024-08-03T14:41:44Z,"Update README.md  removed uncatogorised python project for ""Build your own error-correction fountain code with Luby Transform Codes"" due to dead links and domain not being allocated",0,1,1
codecrafters-io/build-your-own-x,b68e320fb32a43669ad6ca43a8562cc9fc0c6eca,Paul Kuruvilla,2024-07-17T13:30:56Z,Merge pull request #1021 from R055A/fix-dev-license-recognition-ml-in-py  Fix: broken README.md link to Python ML tutorial for license plate detection,1,1,2
codecrafters-io/build-your-own-x,d3015cee7b19c957facfb1a40b18e9161c5bd759,Paul Kuruvilla,2024-07-10T15:58:16Z,Update README.md,1,1,2
codecrafters-io/build-your-own-x,2c211140a9fad0511c6699e8247434915cb77184,Paul Kuruvilla,2024-07-10T15:57:57Z,Update README.md,1,1,2
codecrafters-io/build-your-own-x,981cd2c113d57217c930f705c5af7223bfc0e66c,Paul Kuruvilla,2024-06-12T21:49:31Z,Merge pull request #1060 from davayd/patch-1  fix: fixed broken link from list,1,1,2
codecrafters-io/build-your-own-x,a360c7a8da41c12ca931200f5b3fcd37c35e56e0,Dmitry Dreko,2024-06-06T16:11:10Z,Return the link in list with fixed value,1,0,1
codecrafters-io/build-your-own-x,f1c9c2a7143b3bb8e74888113d89bcb0966ff098,Dmitry Dreko,2024-06-05T20:24:28Z,fix: remove dead link from list,0,1,1
codecrafters-io/build-your-own-x,4ffe877393fd1098cba2739794b29e45cc415a8b,Paul Kuruvilla,2024-05-23T21:07:41Z,Merge pull request #1048 from NicolasMontone/patch-1  fix: remove pawned link from list,0,1,1
codecrafters-io/build-your-own-x,0fc8171669304b178e93da57141e6d2ae2ff53b9,Nicolás Montone,2024-05-23T20:59:20Z,"fix: remove pawned link from list  I don't know if you want to remove it, but I will send this PR to at least notify that this is happening.  closes #1047",0,1,1
codecrafters-io/build-your-own-x,3191380eaa4ae777bbc164ddcc5567e89ddfcb65,Paul Kuruvilla,2024-03-25T11:24:09Z,Merge pull request #1025 from joaorlima/fix/emphasize-missing-tutorials  emphasize for missing tutorials,2,2,4
codecrafters-io/build-your-own-x,05f40aef71ed6260f8eb44ce542124cacb907e69,João Pedro Lima,2024-03-22T18:06:58Z,emphasize for missing tutorials,2,2,4
codecrafters-io/build-your-own-x,8c82e32dce129f60acb6b1a01dc7ad71aa866151,Adam Ross,2024-03-17T07:06:52Z,Update README.md  Fix broken link: Python: Developing a License Plate Recognition System with Machine Learning in Python.,1,1,2
codecrafters-io/build-your-own-x,39534a58d9e9ef58d3a90947b8e6122f3562eb88,Paul Kuruvilla,2024-03-14T09:56:57Z,Merge pull request #1020 from joaorlima/fix/missing-closing-underscore-for-go-db-tutorial  fix missing underscore for Go database tutorial,1,1,2
codecrafters-io/build-your-own-x,eb772fdc956f538506137edcc950112a2591bd42,João Pedro Lima,2024-03-13T22:46:55Z,fix missing underscore for Go database tutorial,1,1,2
codecrafters-io/build-your-own-x,0e4f2a7a74ab598e56ee06f00b7125ae370020a0,Paul Kuruvilla,2024-02-27T17:19:52Z,Merge pull request #1017 from DanyRenaudier/patch-1  Update README.md,1,1,2
codecrafters-io/build-your-own-x,9bd74f0cef602aa5c0f9bbb6504216b47ed25ec9,DanyRenaudier,2024-02-27T16:50:33Z,Update README.md  Build a simple 2D physics engine for JavaScript games link corrected,1,1,2
codecrafters-io/build-your-own-x,6e52d1d6ba7f54c11099f3e9b44afbb936d8c941,Paul Kuruvilla,2024-02-21T19:04:09Z,Merge pull request #1014 from karandeeppotato/issue#1013  Fixed broken link,1,1,2
codecrafters-io/build-your-own-x,30c11bd7743d7612dc9f26c91625e8e37d943a4d,karandeeppotato,2024-02-21T04:18:33Z,"Fixed broken link  The broken link for ""Ruby: Build your own fast, persistent KV store in Ruby"" is replaced with a working link",1,1,2
codecrafters-io/build-your-own-x,276f1c607526631041deb1c5d5fc009851f0263d,Paul Kuruvilla,2024-02-19T11:57:44Z,Merge pull request #1012 from aastik7/patch-1  Update README.md,1,1,2
codecrafters-io/build-your-own-x,fe005dc52d63b8b1cb5111416064baf77b36aab0,Aastik,2024-02-18T00:27:39Z,"Update README.md  Changed the link for telegram bot with python, as the older link had outdated methods and incompatibilites. Replaced it with a more comprehensive and updated tutorial by freecodecamp.",1,1,2
codecrafters-io/build-your-own-x,0f6fd6b8b0387fc157b2ab72961ea69217b9eca4,Paul Kuruvilla,2024-02-09T13:57:09Z,Merge pull request #1007 from erwanvivien/patch-1  fix: using https instead of http for createcommons,1,1,2
codecrafters-io/build-your-own-x,a9278a147e54b1b2cb1e2bdf307c2fa75d75256b,erwanvivien,2024-02-09T11:59:12Z,fix: using https instead of http for createcommons,1,1,2
codecrafters-io/build-your-own-x,3f97f8d90a814b454ff7d7e2b172b51a6c908610,Paul Kuruvilla,2024-01-25T13:41:45Z,Merge pull request #996 from joshburnsxyz/patch-1  Update broken git plugin tutorial link,1,1,2
codecrafters-io/build-your-own-x,aa7d2f57153bf8caab0a1289fb36ca23241fcfa0,Josh Burns,2024-01-24T02:30:18Z,Update broken git plugin tutorial link,1,1,2
codecrafters-io/build-your-own-x,24a385c09aeaad14b8cf52c3f1276af5ff4f5eef,Paul Kuruvilla,2023-12-29T16:48:25Z,Merge pull request #977 from ajaypremshankar/master  Fixed broken link for 'Command line tool in Rust',1,1,2
