repo,sha,author,date,message,additions,deletions,total_changes
donnemartin/system-design-primer,b02784ffeb2846d6b0418003b7529e68dfb69fd9,Kirill Artamonov,2025-05-21T11:13:33Z,Update all lecloud.net links (#1042)  * Update all lecloud.net links  Update all lecloud.net links to the web archive since the lecloud.net website does not exist anymore  * Update all languages,27,27,54
donnemartin/system-design-primer,40d5d2edccd00b4a66fb0e24d887d8b1a0d7ea0e,Satya Vinay,2024-12-02T01:10:39Z,Add Stripe engineering blog (#592),4,0,4
donnemartin/system-design-primer,3df19b2e4f3c020a20962960c92808404b9811a3,bali,2024-06-29T00:09:29Z,Fix links to Debunking the myths of RPC and REST (#855),8,8,16
donnemartin/system-design-primer,c0132a3f4c6043345840c85a25b3cc3829d9f885,Aditya Vishwakarma,2024-06-23T17:36:45Z,Fix DNS routing hyperlinks (#872),2,2,4
donnemartin/system-design-primer,a07e261677c012d37d26255de6e7b128a2643946,dgolant,2023-03-16T09:58:19Z,Fix Scalability Article links (#750)  Linking to Wayback Machine since it seems the domain expired,5,5,10
donnemartin/system-design-primer,2d8231663fd0800720d25b9ac82dec3cda7e5a89,Iheb Haboubi,2022-12-11T20:06:51Z,Fix top k requests link (#717),1,1,2
donnemartin/system-design-primer,e161b2a5164369a8168df422568552fb0643110f,Anand,2022-11-13T21:04:17Z,Update latency vs throughput blog link (#716),1,1,2
donnemartin/system-design-primer,7e8f93e57db6c016906121b9a868d1d767dd5edb,Chetan Nair,2022-07-31T16:44:43Z,Fix typo (#694),1,1,2
donnemartin/system-design-primer,7a094cec63795a3ebbaacebdf9dc4294cd3179b2,Kian-Meng Ang,2022-04-23T13:14:45Z,Fix typos (#661),3,3,6
donnemartin/system-design-primer,79364dbbdcc305cf411719d0ea53345b5048d53c,mleers,2022-04-20T00:37:02Z,Fix # 650: Replace broken weighted round robin link (#651),1,1,2
donnemartin/system-design-primer,578e29cff8f0f6f94572727f3efd4fb4df64d202,Nnachevvv,2022-02-13T02:52:00Z,Fix memcache architecture URL (#631),4,4,8
donnemartin/system-design-primer,e8a867ee286d0848ba32a2709051b6f275214714,Lawrence Chou,2021-11-17T12:26:08Z,Update GitHub Engineering Blog link,4,4,8
donnemartin/system-design-primer,4e70c54a5b7bddeb636ce22f7da041739b188ca3,ayyjohn,2021-05-09T18:20:50Z,Fix capitalization of Dropbox (#511),1,1,2
donnemartin/system-design-primer,6984b4e956169cf967298897f9d8b1f12b28245b,Trần Tiến Đức,2021-02-16T02:14:06Z,Fix LRU cache link (#505),1,1,2
donnemartin/system-design-primer,9107b8a1a7d37d8ddb2ef8521143c1939d596f1a,Donne Martin,2021-02-16T02:10:03Z,Fixing the indieflashblog address with archive.org since website has been discontinued (#500)  @lerignoux thank you!,4,4,8
donnemartin/system-design-primer,ffc8123b4c5047b2dcb2282b187b17ce02d7fa21,Laurent Erignoux,2021-01-24T09:26:08Z,Fixing the indieflashblog address with archive.org since website has been discontinued,4,4,8
donnemartin/system-design-primer,478a7d76fb07eb249f98fd9d998eff15c1d75ebc,Abdalla Mohamed,2020-12-29T02:51:32Z,Fix Celery URL (#486),1,1,2
donnemartin/system-design-primer,f103307ce39b280df3d955426efaff681445d701,Peter Yao,2020-10-30T01:14:45Z,Update broken HBase architecture link (#481),2,2,4
donnemartin/system-design-primer,53c0cf7de874b4aeb3e45cf8674fe07a3370c0cb,Ryo Shibayama,2020-08-02T18:13:17Z,Fix translations link in PR template (#451),1,1,2
donnemartin/system-design-primer,b7f255e469d0274b4e5c21fb6234cb918d5b0bde,Isetty Ravi Teja Kumar,2020-08-02T18:10:22Z,Fix #335: Update OSI image to Open Systems Interconnection (#447),0,0,0
donnemartin/system-design-primer,7d39c44293c08a931a3122125ccb406e43ad43ae,Daniel Julius Lasiman,2020-07-18T01:15:47Z,Remove Imgur dependency by storing images locally (#168),152,152,304
donnemartin/system-design-primer,828014aaac217f66ef2183fc65655440c672cf9c,Donne Martin,2020-07-12T16:02:44Z,Remove extraneous __init__.py (#393),0,0,0
donnemartin/system-design-primer,f471578b79f4568f8764956b53b47a71d04656b7,Donne Martin,2020-07-12T16:00:04Z,"Resolve #281: Add design stock exchange links (#441)  * Additional question, build an exchange  fixes https://github.com/donnemartin/system-design-primer/issues/281  * Update README.md  Co-authored-by: Donne Martin <donne.martin@gmail.com>",1,0,1
donnemartin/system-design-primer,aaa0acc80d9c82d7433f75b536ba450b34186224,Donne Martin,2020-07-12T15:58:35Z,Update README.md,1,1,2
donnemartin/system-design-primer,b5173d60d5a287e66aab97129537ea897e02beb4,Adam Dobrawy,2020-07-11T01:01:12Z,Change disk to HDD for clarity (#295),3,3,6
donnemartin/system-design-primer,cbaae481a54f949b5db4e3b7ea878f19ac0839eb,Noe Brito,2020-07-10T00:49:43Z,Clarify CDN advantages (#310),1,1,2
donnemartin/system-design-primer,ad5435ba0dcaa67773f45de945699788d9a47790,Varsha Muzumdar,2020-07-10T00:48:47Z,Add links for latency based and geolocation based routing (#319),2,2,4
donnemartin/system-design-primer,78e2eb5df83a14c6569815a182c9aa9af682f3fb,Ganessh Kumar,2020-07-09T00:10:16Z,Update dead links (#321),2,3,5
donnemartin/system-design-primer,06b3ed2adc8336ba068b1673c42c6762528efe7a,Joilson Cisne,2020-07-08T00:56:05Z,Fix loop bug in deck of cards exercise (#396),1,1,2
donnemartin/system-design-primer,0beb557e8f2f239e961b0948bbf75504f9bf03c4,Manas Gupta,2020-07-08T00:54:01Z,Add CAP theorem video link (#400),1,0,1
donnemartin/system-design-primer,2fe45a93914b322d07c0815a6e7f10f405519fff,Harry Moreno,2020-07-07T03:53:01Z,"Additional question, build an exchange  fixes https://github.com/donnemartin/system-design-primer/issues/281",1,0,1
donnemartin/system-design-primer,727a2f8bba898010ee72a8d8405b16ef91630489,John Richardson,2020-07-07T01:05:50Z,Remove redundant SQL index in Pastebin exercise (#405),1,1,2
donnemartin/system-design-primer,cc11a9b119799425879a935f5536b95e79f1b122,Vladimir Mikhaylov,2020-07-07T01:00:34Z,Fix Mint exercise bugs and typos (#409),8,8,16
donnemartin/system-design-primer,6d700ab9e1b669d85e0ecdaacb701007b1cd3192,Youngchul Bang,2020-07-05T14:57:57Z,kr: Fix Korean translation link in language index (#340),4,4,8
donnemartin/system-design-primer,d3b3e78966f15ee821697bbd48abd368c9a766c8,Rahil,2020-07-05T14:53:28Z,Add system design template link (#433),1,0,1
donnemartin/system-design-primer,793f47297021bbdc3b0505c3d97454e3a9addd30,Nachiket Acharya,2020-07-05T14:50:31Z,Fix #313: Clarify availability patterns (#439),1,1,2
donnemartin/system-design-primer,2ac6512f6d9f4ef4c925b68eab14ad697e7308ab,Agade09,2020-07-05T14:48:23Z,Fix typos in Twitter and web crawler exercises (#438),3,3,6
donnemartin/system-design-primer,914736a29f2b1164c390b30bd8b53479f9ae8727,Kofi Forson,2020-07-04T14:55:42Z,Update Twitter back-of-the-envelope calculations (#414),1,0,1
donnemartin/system-design-primer,5d4dac6bafe5e60d338e588f74426935c3efd949,Kevin Liu,2020-07-04T14:53:56Z,Fix typo: Change replication to federation (#418),1,1,2
donnemartin/system-design-primer,60202315cc646b587185faa697ce70c8399dcd2f,Sainadh Devireddy,2020-07-04T01:24:24Z,Check dependencies in Ebook gen script (#406),15,1,16
donnemartin/system-design-primer,d57b3d1f956a65fe5cfeeb0d8293ef006e5cff10,Neesara,2020-07-04T01:22:02Z,Resolve #164 - Fix phrasing with availability and partition tolerance (#350),1,1,2
donnemartin/system-design-primer,fca96cafbb3b1e42ca263af3b430ad4b14342ebf,Donne Martin,2020-07-03T01:18:36Z,Highlight translation request (#437),2,0,2
donnemartin/system-design-primer,661c029b574c0b419f0736a30e4e2e44adf4d1fd,Donne Martin,2020-07-03T01:11:07Z,Add status of translations (#436),163,0,163
donnemartin/system-design-primer,b199766f440ce1af6454c7a81c2b830716b71388,Donne Martin,2020-07-02T00:54:05Z,Add pull request template (#435),11,0,11
donnemartin/system-design-primer,b4a7a09db7b308f2d3b79b69fbc54f3f141f7611,Donne Martin,2020-07-02T00:48:43Z,Update contributing guidelines for translations (#434),20,14,34
donnemartin/system-design-primer,42aa63b3c201f41048aa3380549848e77f2a9fc7,shiyujiucsb,2020-07-01T00:56:55Z,Fix layer 7 load balancers typo (#317),1,1,2
donnemartin/system-design-primer,f2d7dd86f0835f5bf27f1a65dec032e013c4dd49,panguncle,2020-07-01T00:42:24Z,Fix single point of failure typo (#398),2,2,4
donnemartin/system-design-primer,9a0248063275daddc51a99e3787760249b6a5d0a,Alexander Teno,2020-07-01T00:37:49Z,Add missing comma in Mint solution (#399),1,1,2
donnemartin/system-design-primer,b2fffe6fd40bd22e5dbf9bd0b398fa76fd11537b,userstartupideas,2020-05-26T01:59:01Z,"Update ""Scaling up to your first 10 million users"" link (#411)",4,4,8
donnemartin/system-design-primer,449dc27f33991fe558a83c6815eb28ae294428dd,根号三,2020-03-30T00:40:50Z,zh-Hans: Translate solutions (#392),2525,10,2535
donnemartin/system-design-primer,ac806e46cb63b1b7955d43bf55291f52b0d3eeae,Donne Martin,2020-03-10T01:46:02Z,"Revert ""zh-cn: Sync with upstream to keep it up-to-date (#374)"" (#391)  This reverts commit 301b9d88e4aed1c34b3275301f18b14957c38c91.  #374 overwrote the English version of the solutions",1466,1458,2924
donnemartin/system-design-primer,301b9d88e4aed1c34b3275301f18b14957c38c91,根号三,2020-03-10T01:34:18Z,zh-cn: Sync with upstream to keep it up-to-date (#374),1458,1466,2924
donnemartin/system-design-primer,8e9c89129bc842df6ed8604bf511d6981d4e7d05,Danny Jung,2020-02-17T02:00:44Z,Fix broken link in CAP theorem section (#348),0,0,0
donnemartin/system-design-primer,fc563ca297a4667e12c17fa3c41c82949928c9ac,vyq,2020-01-21T00:26:09Z,Fix broken CAP theorem link (#355),1,1,2
donnemartin/system-design-primer,3b2264e5e87aa7907b86d521a266fda526a4042c,Dan Choi,2020-01-15T15:04:08Z,Fix broken round robin links (#351),2,2,4
donnemartin/system-design-primer,e50f26960dde9adce5614d8ead8be48ee47053e5,Christian Clauss,2019-12-27T01:11:57Z,Change raise NotImplemented to raise NotImplementedError (#345),1,1,2
