repo,sha,author,date,message,additions,deletions,total_changes
facebook/react-native,8083cb4ab1f41dc7bcf75d4968615285f0b144b3,Pieter De Baets,2025-07-11T22:05:23Z,"Remove LegacyArchitecture deprecation from JSONArguments (#52570)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52570  JSONArguments is a set of utility methods that are not part of the legacy architecture, removing the annotation.  Changelog: [Internal]  Reviewed By: cortinico  Differential Revision: D78168536  fbshipit-source-id: 25fcc41441df6c71f9a96ec0ba82c42e8f6af80c",0,10,10
facebook/react-native,77db9343b1285dc5ffc36e99d1f9eba196b24772,generatedunixname89002005287564,2025-07-11T18:06:18Z,Fix CQS signal modernize-concat-nested-namespaces in xplat/js/react-native-github/packages/react-native/ReactCommon/react/runtime/platform/ios/ReactCommon (#52569)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52569  Reviewed By: dtolnay  Differential Revision: D78146649  fbshipit-source-id: 0878130feeda20c746d7fd53a00b376cde61a502,4,8,12
facebook/react-native,ec5bde62b6b23d9518c6298a92948acfe6fb9f5a,Rob Hogan,2025-07-11T18:03:29Z,"Breaking: Use named exports in `metro-babel-register` (#52564)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52564  Currently, `metro-babel-register` has a function as its default export, to which we've tagged on various properties.  This tidies that up to a more idiomatic object of named exports, with `register` as a new one of them.  This also serves to make it more compatible with automatic TypeScript generation.  This is semver breaking, but `metro-babel-register` has very little usage outside Meta projects so isn't expected to be disruptive.  Changelog: [Internal]  Metro changelog: ```  - **[Breaking]**: Move metro-babel-register's main function to a named export `register` ```  Reviewed By: huntie  Differential Revision: D78157559  fbshipit-source-id: c59c9820e9895007345561fed9ccec2273b925c8",9,1,10
facebook/react-native,bb3ef784e3506881d07595dfbef0e4d4b507ff3a,Rob Hogan,2025-07-11T18:03:29Z,"Remove HTTP keepAliveTimeout workaround not needed since Node.js 12 (#52561)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52561  The removed code comment is pretty clear that this workaround is in place for a specific bug, which was closed in a Node.js 8.x minor: https://github.com/nodejs/node/issues/13391  A related issue descibed a problem that still existed in Node 10: https://github.com/nodejs/node/issues/27363  Subsequent comments reporting problems with newer Node.js versions all seem to relate to mismatched configuration with load balancers, not directly relevant to Metro.  Reproducers for the original bugs no longer repro on new Node.js (tested with 22.14), so I think it's safe to conclude this is fixed.  Changelog: [Internal]  Reviewed By: huntie  Differential Revision: D78158427  fbshipit-source-id: 0be5dbc4334ac7b0bbccde44a840caac43deb4df",1,13,14
facebook/react-native,b8550251d86b588e50171f3debd9d8d4e3eab09a,generatedunixname89002005287564,2025-07-11T17:41:33Z,Fix CQS signal performance-faster-string-find in xplat/js/react-native-github/packages/react-native/ReactCommon/react/runtime (#52568)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52568  Reviewed By: dtolnay  Differential Revision: D78146248  fbshipit-source-id: 8b93b09d46832d6e67c1ded075eb99b9bdd1f0e2,1,1,2
facebook/react-native,5dc3e186719f39c83d1742a38074c589c20c08e6,Christoph Purrer,2025-07-11T16:28:23Z,Fix loop iteration in Transform::Interpolate(... (#52548)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52548  Changelog: [Internal]  While this does not cause real crashes as the code is already gated via ``` bool haveRHS = j < rhs.operations.size(); ``` it still represents a bug in the logic  Reviewed By: rshest  Differential Revision: D78133364  fbshipit-source-id: 80efc97b5174e3d0d7efe33604255a96bc856e87,1,1,2
facebook/react-native,e79808fa4b1dfe784044f43de94f4b0e1b8fc4d5,Riccardo Cipolleschi,2025-07-11T16:14:43Z,"Update caching keys for prebuild-core (#52565)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52565  When we implemented caching in prebuilds for RN core for iOS, we were naïve in choosing the cache key. The current cache key does not consider the source code that is built and this can be problematic. Imagine a contributor that changes a file in a React folder in their PR, but CI reuses a binary created from `main` and so everything will work well in CI even if the change contains an error.  This change globs over the header and implementation files in the React, ReactCommon and Libraries folder to ensure that we rebuild the code when iOS code changes.  ## Changelog: [Internal] -  Reviewed By: cortinico  Differential Revision: D78161427  fbshipit-source-id: e612b76232308835eb88c3776122bebd1316f751",4,4,8
facebook/react-native,9747c955ac1d593f869fe46386433fd92bd8bce9,Rubén Norte,2025-07-11T15:41:01Z,Migrate network profiling to console.timeStamp (#52560)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52560  Changelog: [internal]  This migrates the profiling logic for `XMLHttpRequest` from `performance.measure` to `console.timeStamp` with built-in support for tracks.  Reviewed By: hoxyq  Differential Revision: D78157407  fbshipit-source-id: 0ef060557a00e7973ef7f0478b26b81471d38226,20,5,25
facebook/react-native,6f6945e64f043fc342c71a5739078a9b61922b8b,Rubén Norte,2025-07-11T15:41:01Z,"Propagate console.timeStamp entries to Perfetto (#52542)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52542  Changelog: [internal]  This adds support to propagate performance entries logged to `console.timeStamp` to Perfetto, if enabled. It also modifies the Perfetto integration to support track groups, in addition to track names.  Reviewed By: hoxyq  Differential Revision: D78092596  fbshipit-source-id: 76b0fe2738d856fd75ee941de223d6a6a73d8e1c",67,15,82
facebook/react-native,0021dafc5101c70912433e3da255d99aa7ea97e4,Nicola Corti,2025-07-11T15:15:42Z,Remove deprecated constructors for TextInput *Event classes (#52535)  Summary: Pull Request resolved: https://github.com/facebook/react-native/pull/52535  Those constructors are no longer necessary. They're deprecated + the class is internal so they're not breaking changes. I'm just cleaning them up as they're not needed anymore.  Changelog: [Internal] [Changed] - Remove deprecated constructors for TextInput *Event classes  Reviewed By: javache  Differential Revision: D78095748  fbshipit-source-id: 2dc6c750f8470a88918d8a69b68364f38251d79e,2,50,52
