repo,sha,author,date,message,additions,deletions,total_changes
facebook/react,97cdd5d3c33eda77be4f96a43f72d6916d3badbb,Jordan Brown,2025-07-10T20:51:12Z,"[eslint] Do not allow useEffectEvent fns to be called in arbitrary closures (#33544)  Summary:  useEffectEvent is meant to be used specifically in combination with useEffect, and using the feature in arbitrary closures can lead to surprising reactivity semantics. In order to minimize risk in the experimental rollout, we are going to restrict its usage to being called directly inside an effect or another useEffectEvent, effectively enforcing the function coloring statically. Without an effect system this is the best we can do.",78,70,148
facebook/react,eb7f8b42c92ed804bbf7f700d2bdda276d591007,Sebastian Markbåge,2025-07-10T20:22:44Z,[Flight] Add Separate Outgoing Debug Channel (#33754)  This lets us pass a writable on the server side and readable on the client side to send debug info through a separate channel so that it doesn't interfere with the main payload as much. The main payload refers to chunks defined in the debug info which means it's still blocked on it though. This ensures that the debug data has loaded by the time the value is rendered so that the next step can forward the data.  This will be a bit fragile to race conditions until #33665 lands. Another follow up needed is the ability to skip the debug channel on the receiving side. Right now it'll block forever if you don't provide one since we're blocking on the debug data.,997,240,1237
facebook/react,eed25607629f5e67f13f53e91edec12b3388559f,Sebastian Markbåge,2025-07-10T20:16:57Z,[Flight] Treat empty message as a close signal (#33756)  We typically treat an empty message as closing the debug channel stream but for the Noop renderer we don't use an intermediate stream but just pass the message through.   https://github.com/facebook/react/blob/bbc13fa17be8eebef3e6ee47f48c76c0c44e2f36/packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js#L59-L60  For that simple case we should just treat it as a close without an intermediate stream.,4,0,4
facebook/react,463b808176ad7c9429a4981bb45a1da225fd4b85,Josh Story,2025-07-10T19:12:09Z,[Fizz] Reset the segent id assignment when postponing the root (#33755)  When postponing the root we encode the segment Id into the postponed state but we should really be reseting it to zero so we can restart the counter from the beginning when the resume is actually just a re-render.  This also no longer assigns the root segment id based on the postponed state when resuming the root for the same reason. In the future we may use the embedded replay segment id if we implement resuming the root without re-rendering everything but that is not yet implemented or planned.,12,9,21
facebook/react,96c61b7f1f145b9fe5103051b636959cdeb20cc8,Joseph Savona,2025-07-10T05:24:20Z,"[compiler] Add CompilerError.UnsupportedJS variant (#33750)  We use this variant for syntax we intentionally don't support: with statements, eval, and inline class declarations.  --- [//]: # (BEGIN SAPLING FOOTER) Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/33750). * #33753 * #33752 * #33751 * __->__ #33750 * #33748",22,11,33
facebook/react,0bfa404bacbad78af5b39c080ba67535f2e53044,Joseph Savona,2025-07-10T05:24:07Z,"[compiler] More precise errors for invalid import/export/namespace statements (#33748)  import, export, and TS namespace statements can only be used at the top-level of a module, which is enforced by parsers already. Here we add a backup validation of that. As of this PR, we now have only major statement type (class declarations) listed as a todo.  --- [//]: # (BEGIN SAPLING FOOTER) Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/33748). * #33753 * #33752 * #33751 * #33750 * __->__ #33748",36,21,57
facebook/react,81e1ee7476a68fdf13c63d3002e5ef1b699b6842,Joseph Savona,2025-07-10T05:21:02Z,"[compiler] Support inline enums (flow/ts), type declarations (#33747)  Supports inline enum declarations in both Flow and TS by treating the node as pass-through (enums can't capture values mutably). Related, this PR extends the set of type-related declarations that we ignore. Previously we threw a todo for things like DeclareClass or DeclareVariable, but these are type related and can simply be dropped just like we dropped TypeAlias.  --- [//]: # (BEGIN SAPLING FOOTER) Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/33747). * #33753 * #33752 * #33751 * #33750 * #33748 * __->__ #33747",179,17,196
facebook/react,4a3ff8eed65f96cda7617150f92de3544d5ddf6a,Joseph Savona,2025-07-10T05:18:30Z,"[compiler] Errors for eval(), with statments, class declarations (#33746)  * Error for `eval()` * More specific error message for `with (expr) { ... }` syntax * More specific error message for class declarations  --- [//]: # (BEGIN SAPLING FOOTER) Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/33746). * #33752 * #33751 * #33750 * #33748 * #33747 * __->__ #33746",73,4,77
facebook/react,ec4374c3872b320af60f322289c30cd3d7066bdf,Joseph Savona,2025-07-09T16:22:49Z,"[compiler] Show logged errors in playground (#33740)  In playground it's helpful to show all errors, even those that don't completely abort compilation. For example, to help demonstrate that the compiler catches things like setState in effects. This detects these errors and ensures we show them.",11,1,12
facebook/react,60b5271a9ad0e9eec2489b999ce774d39d09285b,Sebastian Markbåge,2025-07-09T14:43:56Z,[Flight] Call finishHaltedTask on sync aborted tasks in stream abort listeners (#33743)  This is the same as we do for currently rendering tasks. They get effectively sync aborted when the listener is invoked.  We potentially miss out on some debug info in that case but that would only apply to any entries inside the stream which doesn't really have their own debug info anyway.,6,2,8
facebook/react,033edca72199f5b0dac87e4662b6a4d32a9610ce,Sebastian Markbåge,2025-07-09T14:39:08Z,"[Flight] Yolo Retention of Promises (#33737)  Follow up to #33736.  If we need to save on CPU/memory pressure, we can instead just pray and hope that a Promise doesn't get garbage collected before we need to read it.  This can cause fragile access to the Promise value in devtools especially if it's a slow and pressured render.  Basically, you'd have to hope that GC doesn't run after the inner await finishes its microtask callback and before the resolution of the component being rendered is invoked.",1,45,46
facebook/react,e6dc25daea3d949fa5eae3bdffb8b6b79e30fc82,Sebastian Markbåge,2025-07-09T13:08:27Z,"[Flight] Always defer Promise values if they're not already resolved (#33742)  If we have the ability to lazy load Promise values, i.e. if we have a debug channel, then we should always use it for Promises that aren't already resolved and instrumented.  There's little downside to this since they're async anyway.  This also lets us avoid adding `.then()` listeners too early. E.g. if adding the listener would have side-effect. This avoids covering up ""unhandled rejection"" errors. Since if we listen to a promise eagerly, including reject listeners, we'd have marked that Promise's rejection as handled where as maybe it wouldn't have been otherwise.  In this mode we can also indefinitely wait for the Promise to resolve instead of just waiting a microtask for it to resolve.",83,2,85
