repo,sha,author,date,message,additions,deletions,total_changes
flutter/flutter,82e82a9fd9abb257f592563df5b58032c1c43f59,Jason Simmons,2025-07-11T23:55:19Z,Manual roll Dart to b21dca1b89ff (#172038)  Includes a roll of the native package that introduces the native_test_helpers package.  See https://dart.googlesource.com/sdk/+/28c833c669ed9cebda54d8291be147a2a6bd50dd,2,2,4
flutter/flutter,789a4be32aae60444d02320fe947f2f9c634547a,engine-flutter-autoroll,2025-07-11T23:55:19Z,"Roll Skia from 2ea2ba09ef85 to 92354f64e37f (1 revision) (#172039)  https://skia.googlesource.com/skia.git/+log/2ea2ba09ef85..92354f64e37f  2025-07-11 michaelludwig@google.com [graphite] Add more resource/recorder tracking for 407062399  If this roll has caused a breakage, revert this CL and stop the roller using the controls here: https://autoroll.skia.org/r/skia-flutter-autoroll Please CC chinmaygarde@google.com,kjlubick@google.com,thomsmit@google.com on the revert to ensure that a human is aware of the problem.  To file a bug in Skia: https://bugs.chromium.org/p/skia/issues/entry To file a bug in Flutter: https://github.com/flutter/flutter/issues/new/choose  To report a problem with the AutoRoller itself, please file a bug: https://issues.skia.org/issues/new?component=1389291&template=1850622  Documentation for the AutoRoller is here: https://skia.googlesource.com/buildbot/+doc/main/autoroll/README.md",2,2,4
flutter/flutter,7015afcc41cc3322a73964aa7588d25d60a74b1f,zhongliugo,2025-07-11T22:04:23Z,"Fix CheckedPopupMenuItem semantics to use menuItemCheckbox role with checked state (#171749)  Description This PR fixes an accessibility issue where CheckedPopupMenuItem was not properly announcing its checked state to screen readers.  Before  https://github.com/user-attachments/assets/b1785522-eea4-4fc3-9a9a-1872615838c0  After Demo app: https://checked-0707.web.app/  https://github.com/user-attachments/assets/a8083c0b-11c8-4e93-bd71-842dfe5fa344  Issues Fixed This PR fixes https://github.com/flutter/flutter/issues/171463.   Breaking Changes None.  ## Pre-launch Checklist  - [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs. - [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities. - [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement]. - [x] I signed the [CLA]. - [x] I listed at least one issue that this PR fixes in the description above. - [x] I updated/added relevant documentation (doc comments with `///`). - [x] I added new tests to check the change I am making, or this PR is [test-exempt]. - [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported. - [x] All existing and new tests are passing.",84,4,88
flutter/flutter,f351ac4ec0c85d78be48f09aafc49ffa8e7f1bd3,gaaclarke,2025-07-11T21:10:48Z,"adds gemini.md to `engine` and `licenses_cpp` (#172022)  Adds gemini.md files for the engine and the license checker.  I've checked that this unlocks gemini cli development loops for the license checker. We'll see how this will scale across such a huge project.  ## Pre-launch Checklist  - [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs. - [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities. - [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement]. - [x] I signed the [CLA]. - [x] I listed at least one issue that this PR fixes in the description above. - [x] I updated/added relevant documentation (doc comments with `///`). - [x] I added new tests to check the change I am making, or this PR is [test-exempt]. - [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported. - [x] All existing and new tests are passing.  If you need help, consider asking for advice on the #hackers-new channel on [Discord].  <!-- Links --> [Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview [Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md [test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests [Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md [Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement [CLA]: https://cla.developers.google.com/ [flutter/tests]: https://github.com/flutter/tests [breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes [Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md [Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md",61,0,61
flutter/flutter,595bf3fd086fd5530fa1d55f387a56e425e0272c,Loïc Sharma,2025-07-11T20:45:59Z,"[Web] Implement disabling interactive selection (#171935)  This updates Flutter Web to ignore copy/paste/selections if `enableInteractiveSelection` is `false` in a text field.  Part of https://github.com/flutter/flutter/issues/157611  ## Scenarios tested  1. Click/tap on text: cursor should not move. 2. Double click/tap on text: text should not be selected 3. Triple click/tap on text: text should not be selected 4. Move cursor back (`Left arrow`): cursor should move back 5. Move cursor forward (`Right arrow`): cursor should move forward 8. Select previous word (`Shift+Left arrow`): text should not be selected, cursor moves to previous word 9. Select previous word (`Shift+Right arrow`): text should not be selected, cursor moves the next word 7. Select all shortcut (`Ctrl+A` or `Apple+A`): text should not be selected. ⚠️ With this fix, Flutter Web moves the cursor to the end of the text field. 8. Copy shortcut (`Ctrl+C` or `Apple+C`): clipboard should not be updated 9. Paste shortcut (`Ctrl+V` or `Apple+V`): clipboard should not be pasted 10. Right-click > Copy: clipboard should not be updated 11. Right-click > Paste: clipboard should not be pasted  ## Browsers tested  macOS: Chrome, Firefox, Safari  ## Example app  ```dart import 'package:flutter/material.dart';  void main() {   runApp(     MaterialApp(       home: Scaffold(         body: SafeArea(           child: TextField(             enableInteractiveSelection: false,           ),         ),       ),     ),   ); } ```  ## Pre-launch Checklist  - [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs. - [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities. - [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement]. - [x] I signed the [CLA]. - [x] I listed at least one issue that this PR fixes in the description above. - [x] I updated/added relevant documentation (doc comments with `///`). - [x] I added new tests to check the change I am making, or this PR is [test-exempt]. - [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported. - [x] All existing and new tests are passing.  If you need help, consider asking for advice on the #hackers-new channel on [Discord].  <!-- Links --> [Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview [Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md [test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests [Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md [Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement [CLA]: https://cla.developers.google.com/ [flutter/tests]: https://github.com/flutter/tests [breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes [Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md [Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md",144,1,145
flutter/flutter,5154d16d1f9ef6b339894d9b2026ec0595ef80c8,Loïc Sharma,2025-07-11T20:42:08Z,"[tool] Make google3 have to override feature flags (#171933)  _⚠️ Landing this is blocked until: 1) https://critique.corp.google.com/cl/781275353 lands and 2) google3 is updated to add the new feature flag introduced in https://github.com/flutter/flutter/pull/171903._  Currently, google3's `Google3Features` extends `FeatureFlags`. As a result, google3 automatically gets the same feature flag values as in Flutter.  This makes Flutter's feature flag values abstract, thereby requiring that google3's `Google3Features` must explicitly set each feature flag's value.  Discussion that motivated this change: https://github.com/flutter/flutter/pull/171797 Internal CL: https://critique.corp.google.com/cl/781275353 Part of: https://github.com/flutter/flutter/issues/167668  ## Pre-launch Checklist  - [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs. - [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities. - [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement]. - [x] I signed the [CLA]. - [x] I listed at least one issue that this PR fixes in the description above. - [x] I updated/added relevant documentation (doc comments with `///`). - [x] I added new tests to check the change I am making, or this PR is [test-exempt]. - [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported. - [x] All existing and new tests are passing.  If you need help, consider asking for advice on the #hackers-new channel on [Discord].  <!-- Links --> [Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview [Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md [test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests [Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md [Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement [CLA]: https://cla.developers.google.com/ [flutter/tests]: https://github.com/flutter/tests [breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes [Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md [Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md",92,18,110
flutter/flutter,95d5dc37db25f3ddeeaa66c085a045c446e20408,gaaclarke,2025-07-11T20:35:38Z,"License cpp 710 (#171989)  No big code changes, just data updates. We are down to about 100 missing copyrights.  ## Pre-launch Checklist  - [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs. - [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities. - [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement]. - [x] I signed the [CLA]. - [x] I listed at least one issue that this PR fixes in the description above. - [x] I updated/added relevant documentation (doc comments with `///`). - [x] I added new tests to check the change I am making, or this PR is [test-exempt]. - [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported. - [x] All existing and new tests are passing.  If you need help, consider asking for advice on the #hackers-new channel on [Discord].  <!-- Links --> [Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview [Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md [test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests [Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md [Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement [CLA]: https://cla.developers.google.com/ [flutter/tests]: https://github.com/flutter/tests [breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes [Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md [Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md",12348,7659,20007
flutter/flutter,00724d194a4ae61003c279149acff3f1d285e882,ash2moon,2025-07-11T20:30:25Z,"add content description to tooltip-only nodes for android (#171541)  Fixes [171071](https://github.com/flutter/flutter/issues/171071)  This PR conditionally adds the content description to nodes that rely on tooltips to convey meaningful information. Some nodes such as Calendar Date Picker's chevron left and right icons to change months do not announce the text because the only meaningful semantic information is the tooltip. On platforms other than Android, ""Button, Next Month"" is properly announced. On Android, this is not announced on the focus event. This PR adds the content description to replicate the logic used in other platforms only if the developer did not set a special content description ahead of time.  ## Pre-launch Checklist  - [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs. - [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities. - [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement]. - [x] I signed the [CLA]. - [x] I listed at least one issue that this PR fixes in the description above. - [x] I updated/added relevant documentation (doc comments with `///`). - [x] I added new tests to check the change I am making, or this PR is [test-exempt]. - [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported. - [x] All existing and new tests are passing.  If you need help, consider asking for advice on the #hackers-new channel on [Discord].  <!-- Links --> [Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview [Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md [test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests [Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md [Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement [CLA]: https://cla.developers.google.com/ [flutter/tests]: https://github.com/flutter/tests [breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes [Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md [Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md",59,2,61
flutter/flutter,2a3b048a53bd8cda1482d4892340710252feb438,Hannah Jin,2025-07-11T19:46:17Z,"[Web a11y]Update table cell to use LabelRepresentation.sizedSpan  (#172013)  fix: https://github.com/flutter/flutter/issues/171991  for a table cell leaf node LabelRepresentation.ariaLabel will be ignored,  LabelRepresentation.domText can focus on the text but the rect is wrong, LabelRepresentation.sizedSpan works very well,  ## Pre-launch Checklist  - [ ] I read the [Contributor Guide] and followed the process outlined there for submitting PRs. - [ ] I read the [Tree Hygiene] wiki page, which explains my responsibilities. - [ ] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement]. - [ ] I signed the [CLA]. - [ ] I listed at least one issue that this PR fixes in the description above. - [ ] I updated/added relevant documentation (doc comments with `///`). - [ ] I added new tests to check the change I am making, or this PR is [test-exempt]. - [ ] I followed the [breaking change policy] and added [Data Driven Fixes] where supported. - [ ] All existing and new tests are passing.  If you need help, consider asking for advice on the #hackers-new channel on [Discord].  <!-- Links --> [Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview [Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md [test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests [Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md [Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement [CLA]: https://cla.developers.google.com/ [flutter/tests]: https://github.com/flutter/tests [breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes [Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md [Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md",70,1,71
flutter/flutter,1709c884aaeb70f2bcbed2887d2738f30f337b93,Ben Konyi,2025-07-11T19:32:57Z,"[ Tool ] Enable `omit_obvious_*_types` and `specify_nonobvious_*_types` lints (#172018)  Sources under `packages/flutter_tools/` aren't accessible to the average Flutter user by navigating through sources from their projects, so it doesn't need to be as explicitly verbose with types for readability purposes. The `always_specify_types` lint results in extremely verbose code within the tool which adds little value.  This change disables `always_specify_types` in favor of a new set of lints that aim to reduce verbosity by removing obvious types while also maintaining readability in cases where variable types otherwise wouldn't be obvious:    - `omit_obvious_local_variable_types`   - `omit_obvious_property_types`   - `specify_nonobvious_local_variable_types`   - `specify_nonobvious_property_types`",12941,14531,27472
