repo,sha,author,date,message,additions,deletions,total_changes
freeCodeCamp/freeCodeCamp,fda816360ea8fff4e42435ff2384bf403f382eea,PulkitPB,2025-07-11T19:40:59Z,fix(curriculum): replace 'spreadsheet' with 'stylesheet' in a CSS lecture (#61307),3,4,7
freeCodeCamp/freeCodeCamp,0725188094355f6f683b6794dd262a3102678523,dev-kamil,2025-07-11T12:16:12Z,fix(curriculum): Add test and user story to enforce correct RPG Creature API endpoint usage (#61194),32,0,32
freeCodeCamp/freeCodeCamp,d3b8238c293c00110f280a5697d77dfc72ccc294,Oliver Eyton-Williams,2025-07-11T08:29:28Z,test: remove unnecessary testString check (#61206),0,9,9
freeCodeCamp/freeCodeCamp,524af83ad8b2f1506c3a39662a718f108d639ba3,Clarence Bakosi,2025-07-11T03:43:23Z,chore(curriculum): fix typo in learn determiners and advanced use of articles task 48 (#61292),1,1,2
freeCodeCamp/freeCodeCamp,e9befb49311f05dba6627d9dafca77c862a94c10,Jaehoon Kim,2025-07-10T21:01:14Z,"chore: update asserts in step 38-41, 43-44 of magazine-workshop (#61290)",12,12,24
freeCodeCamp/freeCodeCamp,b903270b7546162fcddb1368307b994afa0cde76,Supravisor,2025-07-10T20:47:02Z,fix(curriculum): clarify state variable naming in Toggle Text (#61277)  Co-authored-by: Huyen Nguyen <25715018+huyenltnguyen@users.noreply.github.com> Co-authored-by: Ilenia <26656284+ilenia-magoni@users.noreply.github.com>,2,2,4
freeCodeCamp/freeCodeCamp,4ef79ddd339be402a6a98360c5af9b6761956fbb,Clarence Bakosi,2025-07-10T18:46:24Z,chore(curriculum): fix typo in learn how to use adjectives in conversations task 101 (#61283),1,1,2
freeCodeCamp/freeCodeCamp,76eee4b61913db2fe57b9764214a38b3d61d031f,Giftea ☕,2025-07-10T18:46:10Z,"fix(curriculum): fix typo from ""Yor"" to ""Your"" (#61284)",1,1,2
freeCodeCamp/freeCodeCamp,d47e11e97dd6cdf2e81d58d3a6d58237b133f388,Kannan,2025-07-10T18:24:45Z,fix(curriculum): updated learning habits transcript (#61282),2,5,7
freeCodeCamp/freeCodeCamp,e258d627414a2c9ddd868a7b2f2f4c5a348aff80,Anmol Sah,2025-07-10T17:45:11Z,chore: update assert() to specific assert methods in workshop-magazine steps 45-48 (#61286),11,11,22
freeCodeCamp/freeCodeCamp,1c5c0867f7c6c18e8eadcbf3d0c353fb559510e1,Giftea ☕,2025-07-10T14:04:18Z,chore(curriculum): update third question in react fundamentals quiz (#61279),8,8,16
freeCodeCamp/freeCodeCamp,6bc8a5aaff1c8bec53ff20672de429b0cc368d09,Ilenia,2025-07-10T13:58:40Z,chore: add Dictionaries and Sets section lecture files (#60679)  Co-authored-by: Dario-DC <105294544+Dario-DC@users.noreply.github.com> Co-authored-by: Zaira <33151350+zairahira@users.noreply.github.com>,585,2,587
freeCodeCamp/freeCodeCamp,a06719f0636565092c408d56434cc774b01354eb,Nielda Karla,2025-07-10T13:28:56Z,Fix(Curriculum): A2 Learn Introductions in an Online Team Meeting - Task 99 (#61259),11,21,32
freeCodeCamp/freeCodeCamp,0939315645466e4a303a903afd7e282ec4293aeb,Supravisor,2025-07-10T10:52:37Z,fix(curriculum): typo in Tech Trends and Updates (#61145),1,1,2
freeCodeCamp/freeCodeCamp,e1d00c6fc571b6143c5ad58be591d9ffe2c1e5b7,DanielRosa74,2025-07-09T21:46:53Z,fix(curriculum): reword of -ing explanations in the A2 certification (#61260),3,3,6
freeCodeCamp/freeCodeCamp,d51e4ba7bb14170f5bb5c46a21b6cbac594d6423,Samuel Oommen,2025-07-09T19:11:15Z,chore(curriculum): update asserts steps 24-25 in the magazine workshop (#61251),11,11,22
freeCodeCamp/freeCodeCamp,072903b58629c32e0fb6cd657f37de810ce8e70b,yoko,2025-07-09T17:43:46Z,feat(curriculum): add dictionaries and sets review page (#60527)  Co-authored-by: Zaira <33151350+zairahira@users.noreply.github.com> Co-authored-by: moT01 <20648924+moT01@users.noreply.github.com> Co-authored-by: Ilenia <26656284+ilenia-magoni@users.noreply.github.com> Co-authored-by: Dario-DC <105294544+Dario-DC@users.noreply.github.com>,373,5,378
freeCodeCamp/freeCodeCamp,6bdb4e8170a99729b477fff6396329019a905244,Jessica Wilkins,2025-07-09T13:03:25Z,feat(curriculum): add tailwind css shopping cart lab (#61096)  Co-authored-by: Dario-DC <105294544+Dario-DC@users.noreply.github.com>,668,0,668
freeCodeCamp/freeCodeCamp,2382a2e5c62bfc7cc2020b90f10c533f1a7e9e0d,Jessica Wilkins,2025-07-09T09:07:23Z,chore: adding semantic html redirects (#61162),40,0,40
freeCodeCamp/freeCodeCamp,1a7e169d600c5c61163692d7cae1b39a681f0b2c,c0d1ng_ma5ter,2025-07-09T08:43:09Z,fix(curriculum): Make colored boxes lab pass without semicolons (#61257),4,4,8
freeCodeCamp/freeCodeCamp,20aa972fd601401a33bfad077b64e305ed3d1d22,Oliver Eyton-Williams,2025-07-09T05:48:17Z,chore(deps): update curriculum-helpers to 5.3.0 (#61237),6,6,12
freeCodeCamp/freeCodeCamp,0c6222cd702f5296a023d31fcf4979d03e35cd7d,Tom,2025-07-08T21:27:11Z,fix(challenge-helpers): add template for generic challenge (#61249),18,2,20
freeCodeCamp/freeCodeCamp,76f7d08454c6e1538dc39cc86967270cdb8f0ed6,Baibhav Mandal,2025-07-08T08:16:16Z,chore: updated tests to use specific asserts in magazine workshop steps 31-37 (#61245),10,10,20
freeCodeCamp/freeCodeCamp,0cb90825020467e7940b142752751fbf50334f7b,dev-kamil,2025-07-07T23:51:25Z,fix(curriculum): add missing sentence about email validation in Client-Side Form Validation (#61201)  Co-authored-by: Ilenia <26656284+ilenia-magoni@users.noreply.github.com>,3,1,4
freeCodeCamp/freeCodeCamp,747b0be765365d11577b324a8c1e3c0811aab4ff,Supravisor,2025-07-07T17:14:21Z,fix(curriculum): typo in Troubleshoot on Github (#61234),1,1,2
freeCodeCamp/freeCodeCamp,985c1c8b91fae44e18ba6528aa3331138baf2f2b,Clarence Bakosi,2025-07-07T17:05:23Z,fix(curriculum): typo in learn how to use adjectives in conversations (#61239),1,1,2
freeCodeCamp/freeCodeCamp,050d3c0550f6d09b4424f206a344445a98883f0e,Mohammed Omair Mohiuddin,2025-07-07T14:52:53Z,chore(curriculum): update asserts in magazine workshop steps 26-30 (#61221),13,13,26
freeCodeCamp/freeCodeCamp,0f56d42481ea0707501df6d5f47504a485cade1e,DanielRosa74,2025-07-07T13:51:12Z,feat(curriculum): set isUpcomingChange flag to false to block 24 of the B1 certification of the English Curriculum (#61243),1,1,2
freeCodeCamp/freeCodeCamp,0555dc7737e4e5fc5afaee3d7c9c42c7e810f187,freeCodeCamp's Camper Bot,2025-07-07T13:48:13Z,"chore(i18n,client): processed translations (#61241)",239,49,288
freeCodeCamp/freeCodeCamp,1d70c0de364a4fec9575ec76c604b4db280418aa,DanielRosa74,2025-07-07T13:07:01Z,feat(curriculum): add Block 24 of the B1 stage of the English Curriculum (#60633),15880,23,15903
freeCodeCamp/freeCodeCamp,2a7b220a4f4ddaa485ce2078fd92fb50516e8f2b,Oliver Eyton-Williams,2025-07-07T10:46:09Z,feat: support beforeEach and afterEach (#60921)  Co-authored-by: Shaun Hamilton <shauhami020@gmail.com>,549,165,714
freeCodeCamp/freeCodeCamp,38cd1727e4fcc07522f3314e62ccea542132c380,ManasB1857,2025-07-07T07:45:05Z,fix: capitalize CSS in flexbox quiz question for consistency (#61219),1,1,2
freeCodeCamp/freeCodeCamp,e49341c147c6c430bb3fc3aed169e0a9bbfbd026,DanielRosa74,2025-07-06T20:36:15Z,feat(curriculum): set isUpcomingChange flags to false to block 21-23 of the B1 certification of the English Curriculum (#61233),3,3,6
freeCodeCamp/freeCodeCamp,caf6f27ed2e01150da833c3e4149650611268970,Anastasiia,2025-07-06T19:36:39Z,feat(curriculum): add English Curriculum Block 20 (#60061)  Co-authored-by: Nielda Karla <90112119+nieldakarla@users.noreply.github.com>,16311,23,16334
freeCodeCamp/freeCodeCamp,89273f065a6fdff19948dcc1c7018d28961d7a8c,Anastasiia,2025-07-06T16:59:17Z,feat(curriculum): add English Curriculum Block 23 (#60790)  Co-authored-by: DanielRosa74 <58576743+DanielRosa74@users.noreply.github.com> Co-authored-by: miyaliu666 <miyaliu66666@gmail.com>,14906,22,14928
freeCodeCamp/freeCodeCamp,91f2e6859c5df192fba6d0eb6f3714669513fff2,SujanThapa,2025-07-04T19:46:37Z,fix(curriculum): correct 'ecommerce' to 'e-commerce' for consistency (#61208),1,1,2
freeCodeCamp/freeCodeCamp,573224fe044fa2ed43d58f67fbf7ed26901fca9f,Ajay A,2025-07-04T13:16:01Z,fix(curriculum):strengthen draw condition check test in tic-tac-toelab (#60960)  Co-authored-by: Oliver Eyton-Williams <ojeytonwilliams@gmail.com>,63,47,110
freeCodeCamp/freeCodeCamp,637fb3765c496aafe673267b645ce7ced1e5567b,Dario-DC,2025-07-04T10:12:07Z,chore(deps): update curriculum helpers to v5.0.0 (#61196),86,84,170
freeCodeCamp/freeCodeCamp,ad152a87d53547b881128a79259e818c342cb95d,sskiragu,2025-07-04T03:37:22Z,fix(ui): correct h1 size on review pages (#61073),1,1,2
freeCodeCamp/freeCodeCamp,3bb8f315fd9bfc75e0d3130485fa9d6b7a663577,miyaliu666,2025-07-03T21:07:29Z,feat(curriculum): Add English tasks B1 Block 22 (#61032)  Co-authored-by: DanielRosa74 <58576743+DanielRosa74@users.noreply.github.com> Co-authored-by: Anastasiia <109740924+anastasiiauk@users.noreply.github.com>,15831,61,15892
freeCodeCamp/freeCodeCamp,8945a1a814e742c1496724b5120fac258d478c8f,miyaliu666,2025-07-03T14:02:01Z,feat(curriculum): Add English tasks B1 Block 19 (#60375),16325,62,16387
freeCodeCamp/freeCodeCamp,7ae0c4cc83c5d29815495cb23b78239e5f60be92,Tom,2025-07-03T05:45:12Z,fix(tools): challenge-editor (#60856),32,2,34
freeCodeCamp/freeCodeCamp,7de65597582f4265d29097867e2384c2d33297e0,freeCodeCamp's Camper Bot,2025-07-02T16:53:06Z,"chore(i18n,learn): update i18n-curriculum submodule (#61188)",1,1,2
freeCodeCamp/freeCodeCamp,0d3b23d2ad993cdd8e79016626d03d5795a85e09,Giftea ☕,2025-07-02T16:10:08Z,chore(curriculum): update section markers to correct format (#61185),20,20,40
freeCodeCamp/freeCodeCamp,3e1566d4bdad3cbba72bdb0f974ba544c42f743b,Clarence Bakosi,2025-07-02T16:07:49Z,chore(learn): fix typo Introduction (#61182),2,2,4
freeCodeCamp/freeCodeCamp,20d9bf03504a6109ae451f56ce8077d69931de0d,Alex Goldsmith,2025-07-02T16:07:06Z,fix(curriculum): add .trim() to innerText for workshop-cat-photo-app (#61165),26,26,52
freeCodeCamp/freeCodeCamp,415bf115436121b51bd22ddee77f705a1f0bb943,Ilenia,2025-07-02T15:42:15Z,feat(curriculum): add pin-extractor workshop to FS (#60925)  Co-authored-by: Dario-DC <105294544+Dario-DC@users.noreply.github.com> Co-authored-by: Zaira <33151350+zairahira@users.noreply.github.com>,1379,4,1383
