repo,sha,author,date,message,additions,deletions,total_changes
getify/You-Dont-Know-JS,e3f784bcb18ba47a9e6ced0866bc361393fb299f,Kyle Simpson,2025-05-20T14:22:36Z,adding affiliate link code,2,2,4
getify/You-Dont-Know-JS,cf8aeaecacda7a0eb8536a2bae33c2f634acead3,Kyle Simpson,2025-05-05T04:48:25Z,list reformat,4,4,8
getify/You-Dont-Know-JS,5750e5ffe9c16e69b8914692205a41589bfecb15,Kyle Simpson,2025-05-05T04:47:18Z,adding amazon link for purchase of book 3,1,1,2
getify/You-Dont-Know-JS,762018690a7d4085017cc3f3c7322283b32f18ed,Kyle Simpson,2025-05-01T02:05:28Z,update mistake template,1,15,16
getify/You-Dont-Know-JS,b92d9ed92a79d6a7ab2941b330885f606a7966bb,Kyle Simpson,2025-05-01T02:04:36Z,update typo template,1,15,16
getify/You-Dont-Know-JS,57370f2397dcceb6bb81e935b27bd45beefd3bfa,Kyle Simpson,2025-04-24T20:29:41Z,"README: updating with new status from 'The Unbooks' ebook being published, closes #1899",41,20,61
getify/You-Dont-Know-JS,7e08b2130dfe3eb2e70f400e5aa5551df266f90c,Dilip Valiya,2024-02-20T18:09:48Z,Update ch2.md,2,2,4
getify/You-Dont-Know-JS,50ce656c38db11c33ce75f43e89659f9f77187c7,Kyle Simpson,2024-09-05T04:11:44Z,"updating contribution-guide for clarity on status, Re: #1883",4,6,10
getify/You-Dont-Know-JS,8a3a08be0c4e4f01ee976524fb95748f3f7d0e7f,naveenTheEngineer,2024-08-02T19:25:03Z,Typo Corrected,1,1,2
getify/You-Dont-Know-JS,e96cc1a99190aa75171ddd4580ba656a93c81085,snoppy,2024-06-18T02:09:16Z,chore: fix typos  Signed-off-by: snoppy <michaleli@foxmail.com>,5,5,10
getify/You-Dont-Know-JS,63922c18b276da141f6e07ccebe25eca87fa09f4,Lilith,2023-12-26T20:01:20Z,Update ch4.md  Added consistent scoping syntax for the lessThen method,1,1,2
getify/You-Dont-Know-JS,6806b5972056ee8d42e63bce3e121f069cef2a05,Norris Lau,2023-09-30T02:17:21Z,"Reordering of ""Why Closure?"" and ""An Alternative Perspective"" in the toc",1,1,2
getify/You-Dont-Know-JS,5780d366bac282c13d972bc37505e9ccfa4afaf0,jasonbanboa,2023-11-22T07:10:55Z,added comma to prevent syntax error in code snippet,1,1,2
getify/You-Dont-Know-JS,85b2e6c5fa03b95d044015d6e44b72b8beb6a53b,CheadleCheadle,2023-07-17T21:42:00Z,Fixed spelling errors within documentation,35,35,70
getify/You-Dont-Know-JS,7d3a4b7351515fa41c8e3127376dda1ca98514d8,Kyle Simpson,2023-03-10T15:59:51Z,clean up formatting of thank-you pages,2,1,3
getify/You-Dont-Know-JS,955d539da710a504ec4b30ea9247eb7f64edfdd4,Kyle Simpson,2023-03-10T15:45:26Z,Special thanks to 'William Greenlaw' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,3861ee3241774e804f1144f03f201d9fbdde0335,Kyle Simpson,2023-03-10T15:44:49Z,Special thanks to 'Travis Sauer' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,22663aa36cd9efa2f2094ba6b63e054b7aa1c8d8,Kyle Simpson,2023-03-10T15:44:22Z,Special thanks to 'Syed Ahmad' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,1a6e5ff08f03f7783e4c22d40b707711fa5437c6,Kyle Simpson,2023-03-10T15:43:57Z,Special thanks to 'John Liu' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,0184d9fd31a8099b1c46efe65f7f5724b6e6ba20,Kyle Simpson,2023-03-10T15:43:33Z,Special thanks to 'jmarti705' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,c158b527478898a5922d93f88c9ea9c558cdfa00,Kyle Simpson,2023-03-10T15:42:49Z,Special thanks to 'IonutBihari' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,0557654a53bf5985498a896cd015e0238f14346d,Kyle Simpson,2023-03-10T15:42:21Z,Special thanks to 'Gaspar Radu' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,a27e4cf141419e1bb30ac40866f8061b51621d74,Kyle Simpson,2023-03-10T15:41:23Z,Special thanks to 'Coyotiv School of Software Engineering' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,2aef93d59bb026229ab9b4975629e9f366670144,Kyle Simpson,2023-03-10T15:40:35Z,Special thanks to 'Appgrader' for their generous backer support of this 2nd edition book series,4,0,4
getify/You-Dont-Know-JS,ea40deeb49b22f8d623d0fa76a123599624ddcb3,Kyle Simpson,2023-03-10T15:39:53Z,Special thanks to 'Alexandru' for their generous backer support of this 2nd edition book series,2,0,2
getify/You-Dont-Know-JS,fc160977e17d3524f41920fa40cda242db9e56bc,Kyle Simpson,2023-03-10T15:39:13Z,Special thanks to 'A. Hitchcock' for their generous backer support of this 2nd edition book series,9,0,9
getify/You-Dont-Know-JS,de245dabf490da647833c59a495a7950a8fddb63,Kyle Simpson,2023-03-10T15:33:48Z,"objects-classes, types-grammar: adding thank-yous for 371 kickstarter backers",20,1,21
