repo,sha,author,date,message,additions,deletions,total_changes
huggingface/transformers,5c30f7e390429904ecf0749c2e9fd9a3f29cc714,Parag Ekbote,2025-07-11T18:23:08Z,Update Model Card for Encoder Decoder Model (#39272)  * update model card.  * add back the model contributors for mamba and mamba2.  * update the model card.  * Apply suggestions from code review  Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>  * Apply suggestions from code review  Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>  * update batches with correct alignment.  * update examples and remove quantization example.  * update the examples.  * Apply suggestions from code review  Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>  * update example.  * correct the example.  ---------  Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>,90,84,174
huggingface/transformers,0d7efe3e4b7e057d105d90862cffc4f8cc125d1a,Xiang Chendong,2025-07-11T17:59:41Z,fix gpt2 usage doc (#39351)  fix typo of gpt2 doc usage,1,1,2
huggingface/transformers,a646fd55fdd97427ad33c4ee17d41758b7cafa99,Muhammad Shaheer Malik,2025-07-11T17:59:09Z,"Updated CamemBERT model card to new standardized format (#39227)  * Updated CamemBERT model card to new standardized format  * Applied review suggestions for CamemBERT: restored API refs, added examples, badges, and attribution  * Updated CamemBERT usage examples, quantization, badges, and format  * Updated CamemBERT badges  * Fixed CLI Section",88,33,121
huggingface/transformers,af74ec65a7d5a1fbe220164f0c3ece601c091114,eromomon,2025-07-11T17:58:26Z,Update Readme to Run Multiple Choice Script from Example Directory (#39323)  * Update Readme to run in current place  * Update Readme files to execute PyTorch examples from their respective folders,11,11,22
huggingface/transformers,70e57e4710d8a617a6f0ea73183d9bc4c91063c9,Julien Denize,2025-07-11T16:26:58Z,Add mistral common support (#38906)  * wip: correct docstrings  * Add mistral-common support.  * quality  * wip: add requested methods  * wip: fix tests  * wip: add internally some methods not being supported in mistral-common  * wip  * wip: add opencv dependency and update test list  * wip: add mistral-common to testing dependencies  * wip: revert some test changes  * wip: ci  * wip: ci  * clean  * check  * check  * check  * wip: add hf image format to apply_chat_template and return pixel_values  * wip: make mistral-common non-installed safe  * wip: clean zip  * fix: from_pretrained  * fix: path and base64  * fix: path and import root  * wip: add docs  * clean  * clean  * revert  ---------  Co-authored-by: ydshieh <ydshieh@users.noreply.github.com> Co-authored-by: Yih-Dar <2521628+ydshieh@users.noreply.github.com>,3573,8,3581
huggingface/transformers,665418dacc199d0c0825cdb0442de46b04e40e15,Jay Zhuang,2025-07-11T14:59:51Z,"Remove device check in HQQ quantizer (#39299)  * Remove device check in HQQ quantizer  Fix https://github.com/huggingface/transformers/issues/38439  * Apply style fixes  ---------  Co-authored-by: github-actions[bot] <github-actions[bot]@users.noreply.github.com>",1,4,5
huggingface/transformers,601bea2c4efd58440f9a7399b0dfae164703338b,Manuel de Prada Corral,2025-07-11T14:36:10Z,Verbose error in fix mode for utils/check_docstrings.py (#38915)  * fix ast deprecations for python 3.14: replace node.n by node.value and use `ast.Constant`  More verbose exceptions in `fix_docstring` on docstring formatting issues.,19,4,23
huggingface/transformers,24f771a043871a109d8a969bf92730746e085f3b,Yih-Dar,2025-07-11T14:30:56Z,fix failing `test_sdpa_can_dispatch_on_flash` (#39259)  * fix  * fix  * fix  ---------  Co-authored-by: ydshieh <ydshieh@users.noreply.github.com>,14,7,21
huggingface/transformers,ee74397d207cb6e5e698a558c2952f54935bd942,Arthur,2025-07-11T13:54:25Z,update cb TP (#39361)  * update cb TP  * safety,12,1,13
huggingface/transformers,9bc675b3b6e6faddb90619a0f1fdc43cce943190,Cyril Vallez,2025-07-11T13:34:01Z,Fix link for testpypi (#39360)  fix link,1,1,2
huggingface/transformers,bf607f6d3bd7bf95aaa1094c3a51c3476e4ddc29,Shuming Hu,2025-07-11T09:07:32Z,PerceptionLM (#37878)  * plm template  * A working plm with fixed image features  * hacked processor  * First version that reproduced PLM output using PE from timm.  * Simplify and fix tie_word_embeddings  * Use PIL resize. Simplify converstion.  * First version that works with video input.  * simplifed image preprocessing (not batched)  * Minor fixes after rebasing on main.  * Video processor based on new API.  * Revert to use _preprocess for image processor.  * refactor with modular  * fix tie_word_embedding  * Testing with timm PE  * check in missed converstion from modular to model.py  * First working version of PLM with Eva PE. PLM-1B and 3B outputs are exactly the same as before. PLM-8B output has some differences.  * address review comments  * Fixed batching if video and image examples mixed.  * Simplify PE configuration.  * Enable AutoModel for PerceptionEncoder.  * Update PE config style.  * update all headers  * Minor fixes.  * Move lm_head to PerceptionLMForConditionalGeneration. Fix vit_G model specification.  * Fix for testing_modeling_perception_lm.py  * Image processing refactoring to use more common parts.  * Fix processor test.  * update tests to use model from hub  * More test fixes.  * integration test GT update after rebasing; probably due to video preprocessing  * update test media path to hub  * Stop tracking local scripts  * address some review comments  * refactor image processing.  * small fixes  * update documentation and minor fixes  * remove scripts  * Minor fix for CI  * Fix image processing  * CI and doc fix  * CI formatting fix  * ruff fix  * ruff formatting  * ran utils/sort_auto_mappings.py  * update docstring  * more docstring udpates  * add vision_input_type default fallback for image processing  * more verbose variable naming  * test update  * Remove PE and PEConfig use AutoModel(TimmWrapper) instead  * Minor cleanup.  * Minor Fix: remove any ref to PE. Ruff format and check.  * fix docstring  * Fix modular/model consistency.Improvex docstringfor  .  * Fix PerceptionLMForConditionalGenerationModelTest  * ruff fix  * fix for check_repo  * minor formatting  * dummy size arg to fix for processor test.  * Update docstring for PerceptionLMConfig  * Minor fixes from review feedback.  * Revert some minor changes per reviewer feedback.  * update base_model_prefix  * address reviewer feedback  * fix comment in modeling file  * address reviewer feedback  * ruff format  * Pre-merge test update.  * reapply modular and fix checkpoint name  * processor test path  * use modular a bit more  * remove dead code  * add token decorator  ---------  Co-authored-by: Cyril Vallez <cyril.vallez@huggingface.co> Co-authored-by: Cyril Vallez <cyril.vallez@gmail.com>,3262,1,3263
huggingface/transformers,4b47b2b8ea9252e36669397243b770505f953d69,Giuseppe Coccia,2025-07-10T22:34:10Z,Updated Switch Transformers model card with standardized format (Issue #36979) (#39305)  * Updated Switch Transformers model card with standardized format (Issue #36979)  * Apply reviewer suggestions to the new standardised Switch Transformer's model card  * Update switch_transformers.md  ---------  Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>,73,18,91
huggingface/transformers,fe1a5b73e62c54adafcedb47ac2430e058dc4312,Pavel Iakubovskii,2025-07-10T18:07:59Z,[modular] speedup check_modular_conversion with multiprocessing (#37456)  * Change topological sort to return level-based output (lists of lists)  * Update main for modular converter  * Update test  * update check_modular_conversion  * Update gitignore  * Fix missing conversion for glm4  * Update  * Fix error msg  * Fixup  * fix docstring  * update docs  * Add comment  * delete qwen3_moe,127,47,174
huggingface/transformers,571a8c21313ef734e77cf9874ea0334d25bd7ff5,Cyril Vallez,2025-07-10T16:53:40Z,Add a default value for `position_ids` in masking_utils (#39310)  * set default  * Update masking_utils.py  * add small test,11,6,17
huggingface/transformers,bdc8028cb3efe6e33982eb8d297ffbb695606e84,Kyle Sayers,2025-07-10T16:33:30Z,"[Core] [Offloading] Enable saving offloaded models with multiple shared tensor groups (#39263)  * fix counting meta tensors, fix onloading meta tensors  Signed-off-by: Kyle Sayers <kylesayrs@gmail.com>  * remove unrelated fix  Signed-off-by: Kyle Sayers <kylesayrs@gmail.com>  * add test  Signed-off-by: Kyle Sayers <kylesayrs@gmail.com>  ---------  Signed-off-by: Kyle Sayers <kylesayrs@gmail.com>",39,18,57
