repo,sha,author,date,message,additions,deletions,total_changes
jlevy/the-art-of-command-line,6b50745d2e788add2e8f1ed29010e72659a9a074,Joshua Levy,2023-07-12T21:40:23Z,Merge pull request #847 from BreakingLead/patch-1  Fix typo in README-zh.md,0,0,0
jlevy/the-art-of-command-line,19f6ac0e86616714a415a4b3c4e33cb0aa786905,Joshua Levy,2023-07-12T21:39:46Z,Merge pull request #865 from darksoilder/typo  corected a typo,1,1,2
jlevy/the-art-of-command-line,28dad36efcc63a76f1815fa441cae51ff7d91e51,Joshua Levy,2023-07-12T21:39:14Z,Merge pull request #866 from m2nx/fix-mosh-url  update README.md fix mosh url,17,17,34
jlevy/the-art-of-command-line,98071e0a1874b1333056364c98489c8a31960dac,Joshua Levy,2023-07-12T21:38:30Z,Merge pull request #867 from NX-Official/patch-1  Typo: README_zh.md Github -> GitHub,1,1,2
jlevy/the-art-of-command-line,cbc0ccf226349944cd5f2c264aaec4b22477c769,Nick Xu,2023-07-04T07:00:50Z,Typo: README_zh.md Github -> GitHub,1,1,2
jlevy/the-art-of-command-line,cb3fd6150287828d28e81e4d6da4fcdc067f4bd2,mmx,2023-06-20T07:33:34Z,update README.md fix mosh url,17,17,34
jlevy/the-art-of-command-line,f5502541123cd707a8b29a7152d0ddb4369e1180,darksoilder,2023-05-22T19:28:31Z,corected a typo,1,1,2
jlevy/the-art-of-command-line,80b5f907f6df57fd413d31296320f7bdc5e0f1f8,Joshua Levy,2023-03-07T19:34:50Z,Merge pull request #824 from ericguirbal/fr  fr: Synchronize the translation,3,3,6
jlevy/the-art-of-command-line,1c6439c6945597a118f32e4ffe89c32b9636ae44,BreakingLead,2023-02-15T08:59:57Z,Fix typo in README-zh.md,1,1,2
jlevy/the-art-of-command-line,1e65c45b2adc1264baaf3caed85c0b55a39ffbab,Eric Guirbal,2022-12-30T17:37:42Z,fr: Synchronize the translation,3,3,6
jlevy/the-art-of-command-line,4d9f5b90bc67b4f57c54ff1a1d05339a521dbf00,Joshua Levy,2022-12-29T22:43:54Z,"Merge pull request #810 from LLyaudet/patch-1  correction typo ""intéractive"" -> ""interactive""",4,4,8
jlevy/the-art-of-command-line,883ffc8be0b8076a3861b45fc3dfca8ecd502c59,Joshua Levy,2022-12-29T22:43:24Z,"Merge pull request #811 from LLyaudet/patch-2  correction typo ""aliases"" -> ""alias""",1,1,2
jlevy/the-art-of-command-line,9e22e3a39e39929936ffd89a168fe03f226a35c9,Joshua Levy,2022-12-29T22:42:58Z,"Merge pull request #816 from LLyaudet/patch-7  typos ""q'une"" -> ""qu'une"", ""avec taux"" -> ""avec un taux""",2,2,4
jlevy/the-art-of-command-line,a08637668614898ad458920e7694cbbbae804d28,Joshua Levy,2022-12-29T22:41:26Z,Merge pull request #641 from ericguirbal/fr  fr: Synchronize the translation,14,7,21
jlevy/the-art-of-command-line,15332998d09e0dfeb39a70aa4225109835ea8ee2,Joshua Levy,2022-12-29T22:38:51Z,"Merge pull request #812 from LLyaudet/patch-3  typo ""de multiple fichiers"" -> ""de multiples fichiers""",1,1,2
jlevy/the-art-of-command-line,261898291c6c918f181682ffa00b3ac4ec5e2f99,Joshua Levy,2022-12-29T22:38:03Z,"Merge pull request #815 from LLyaudet/patch-5  typo ""information général"" -> ""information générale""",1,1,2
jlevy/the-art-of-command-line,a1af6ae8615d59099f216c270d10907f58864197,Joshua Levy,2022-12-29T22:37:34Z,"Merge pull request #814 from LLyaudet/patch-6  3x ""debogage"" -> ""débogage""",3,3,6
jlevy/the-art-of-command-line,8dde9839c7d9132c0ba669b9f1d314550c8ecf28,Laurent Lyaudet,2022-12-02T16:21:34Z,"typos ""q'une"" -> ""qu'une"", ""avec taux"" -> ""avec un taux""",2,2,4
jlevy/the-art-of-command-line,b1826a42a92b816a2671793e971e32aa937b205d,Laurent Lyaudet,2022-12-02T16:09:49Z,"typo ""information général"" -> ""information générale""",1,1,2
jlevy/the-art-of-command-line,dda67acb3b5e0e81f31de1f6b507063840acf6cc,Laurent Lyaudet,2022-12-02T16:02:51Z,"3x ""debogage"" -> ""débogage""",3,3,6
jlevy/the-art-of-command-line,3771c127fb56ed65d24ba96152fed149000a8834,Laurent Lyaudet,2022-12-02T15:31:57Z,"typo ""de multiple fichiers"" -> ""de multiples fichiers""",1,1,2
jlevy/the-art-of-command-line,edadec347b1badfd0f8f668035110d41765373db,Laurent Lyaudet,2022-12-02T15:21:03Z,"typos ""intér"" -> ""inter"" (2xactive, 1xagir)",3,3,6
