repo,sha,author,date,message,additions,deletions,total_changes
kamranahmedse/developer-roadmap,76dd708f1f58b3a0cca92f9bda5614cbb6939315,Kamran Ahmed,2025-07-11T15:20:44Z,Add terms and conditions link,32,13,45
kamranahmedse/developer-roadmap,bc71395f647e631d1503d4d46c7b9c5df672fb5e,Arik Chakma,2025-07-11T15:10:55Z,feat: limit roadmap creation (#8889)  * feat: limit roadmap creation  * wip  * Remove new from billing  * Add upgrade message on roadmap  * Update upgrade account modal UI  * Make profile noindex if no roadmaps  ---------  Co-authored-by: Kamran Ahmed <kamranahmed.se@gmail.com>,272,233,505
kamranahmedse/developer-roadmap,9accbd706767e2fd88c7d4503b237ecc6c1a09fe,Kamran Ahmed,2025-07-10T10:58:21Z,Update placeholder,1,2,3
kamranahmedse/developer-roadmap,2b05f72a80a6fd69ebba873e8b8b9ad42db39381,Arik Chakma,2025-07-09T16:34:58Z,fix: ai quizzes skipping (#8895)  * wip  * wip  * wip,41,23,64
kamranahmedse/developer-roadmap,ef48708a94e3b23bd90d4733b2d3e888b63af3fe,Arik Chakma,2025-07-09T11:43:05Z,feat: show limit in account sidebar (#8891)  * feat: show limit in account sidebar  * Add sidebar message  ---------  Co-authored-by: Kamran Ahmed <kamranahmed.se@gmail.com>,119,31,150
kamranahmedse/developer-roadmap,9a39de1fad125f59b52e02f44b3753272bfd604d,Kamran Ahmed,2025-07-09T11:32:23Z,Rename MCQ to multi-choice,6,12,18
kamranahmedse/developer-roadmap,229c5522553ad5f3ea6e60421a268f7d3d00b1d7,Arik Chakma,2025-07-09T10:52:41Z,feat: implement ai quiz (#8874)  * wip  * wip  * wip: questions parser  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * wip  * fix: open ended question  * fix: responsiveness  * wip  * feat: implement ai quizzes listing  * wip  * wip  * Update tutor sidebar  * fix: wait for to finish quiz  * Update MCQs design  * Refactor quiz navigation  * Improve navigation design  * Improve UI for the explanation  * Improve multi-choice questions  * Improve results UI  * Improve results UI  * Improve results UI  * Refactor circular progress  * Let user retry skipped answers  * Improve quiz UI  * Show progress when streaming  * Update quiz UI  * Add ai quiz generator in top navigation  ---------  Co-authored-by: Kamran Ahmed <kamranahmed.se@gmail.com>,2746,34,2780
kamranahmedse/developer-roadmap,de0181681cb840f64cb2ad9a732372a5a1d4b296,Akasaru074,2025-07-08T14:19:39Z,fix: update community version  CLion has free community version now,1,1,2
kamranahmedse/developer-roadmap,91c34ec5ea47fef623e9d66029d2e9bb6347c1f6,github-actions[bot],2025-07-08T14:18:23Z,chore: update roadmap content json (#8888)  Co-authored-by: kamranahmedse <4921183+kamranahmedse@users.noreply.github.com>,1003,0,1003
kamranahmedse/developer-roadmap,b46f01d5902f313c0346f9ed546b4de19418d8ba,Kamran Ahmed,2025-07-07T15:16:56Z,Fix brief content in design system,18,18,36
kamranahmedse/developer-roadmap,882b01a1653061ad94d0d45cdcf70500a46e7fef,Kamran Ahmed,2025-07-07T14:52:41Z,Fix long names of topic ai,3,8,11
kamranahmedse/developer-roadmap,7e4cce86a6face2181ee2522c1daeb21daa6c52e,Kamran Ahmed,2025-07-07T14:45:04Z,Add missing content for design system,66,18,84
kamranahmedse/developer-roadmap,d300e97a048ef516bc5564197870835fff1e5dee,Kamran Ahmed,2025-07-07T14:19:35Z,Add system design,2,0,2
kamranahmedse/developer-roadmap,51b960420b18bc03f7286862b7403679992cad86,Kamran Ahmed,2025-07-07T12:54:21Z,Migrate design system roadmap,7100,8182,15282
kamranahmedse/developer-roadmap,06aa93a46d6b4bb48d57b9b5c16dee01cbbc94b7,Kamran Ahmed,2025-07-04T12:19:06Z,Remove subscribe from best practices,0,10,10
kamranahmedse/developer-roadmap,c45c872de628eb23e72302ae1ac67bdaaff94e1f,Kamran Ahmed,2025-07-04T12:17:06Z,Fix duplicate download buttons,3,3,6
kamranahmedse/developer-roadmap,2142409fb493e835d2ecf2d5db6a3b41ee700041,Kamran Ahmed,2025-07-04T00:33:13Z,Add roadmap chat in top nav,10,4,14
kamranahmedse/developer-roadmap,7c9cd39002afa8c0efa248fa4fbade4f816a5139,Kamran Ahmed,2025-07-03T14:34:04Z,Add chat with roadmap page,178,0,178
kamranahmedse/developer-roadmap,5b1639024532bcefa05366753afdcdef847463b8,github-actions[bot],2025-07-03T08:08:32Z,chore: update roadmap content json (#8877)  Co-authored-by: kamranahmedse <4921183+kamranahmedse@users.noreply.github.com>,1643,212,1855
kamranahmedse/developer-roadmap,73a3b00b0f7bcb6512a38b022dcb3a27c4651212,github-actions[bot],2025-07-02T14:26:59Z,chore: update roadmap content json (#8869)  Co-authored-by: kamranahmedse <4921183+kamranahmedse@users.noreply.github.com>,24,3,27
kamranahmedse/developer-roadmap,8e7abe933a30edf6e451d7f665c96e691cb47d9e,Vedansh,2025-07-02T10:03:51Z,refactor(mongodb): cleanup roadmap content (#8866)  * audit first 58 topics  * audit next 20 topics  * audit next 32 topics,719,106,825
kamranahmedse/developer-roadmap,aabaaec6996a7fe5881bb511a7a72252d0f74499,Kamran Ahmed,2025-07-01T15:57:15Z,Banner should be visible on top,11,8,19
kamranahmedse/developer-roadmap,d02248e0b4d9a4a1b53c73bbe0d811cb9e55f0ff,Kamran Ahmed,2025-07-01T12:55:01Z,Update course landing page banner,4,150,154
kamranahmedse/developer-roadmap,a54e2add534d64b6db67f7ca197da19da703f217,Kamran Ahmed,2025-07-01T12:32:49Z,Add a/b test (#8868),100,79,179
kamranahmedse/developer-roadmap,fec7be3d6da6bb6f249ba259466f30a56c6f6c03,github-actions[bot],2025-07-01T11:08:31Z,chore: update roadmap content json (#8867)  Co-authored-by: kamranahmedse <4921183+kamranahmedse@users.noreply.github.com>,1939,13,1952
kamranahmedse/developer-roadmap,1e880bbba9c396ed44b4a78394693feb0407d545,Jawher Kl,2025-07-01T11:05:57Z,Create advanced-topics@t8SJbGVXsUDECxePLDk_w.md (#8865)  * Create advanced-topics@t8SJbGVXsUDECxePLDk_w.md  * Update advanced-topics@t8SJbGVXsUDECxePLDk_w.md,10,0,10
kamranahmedse/developer-roadmap,19b480402c97cc8bd5f590f018edb3a404aed453,Arik Chakma,2025-07-01T11:05:23Z,feat: course landing page redesign (#8864)  * Add alt course page  * wip  * wi  * wip  * wip  * wip  * wip  * wip  * feat: review carousel  * wip: update meet instructor ui  * wip  * wip  * wip  * wip  * wip  * Improve upper banner from course page  * Improve upper banner from course page  * Fix height issue of image  * Improve testimonial design  * Improve review carousel  * Update  * Improve meet your instructor  * Improve overall page design  * Reuse lessons list  * Improve variant page  * Responsive banner  * Purchase banner  * Add new page  ---------  Co-authored-by: Kamran Ahmed <kamranahmed.se@gmail.com>,1947,207,2154
kamranahmedse/developer-roadmap,50c4d41fde235381ee43ece0a5c82f8cb6f35d17,Kamran Ahmed,2025-06-30T15:31:52Z,Add missing guide file,1,0,1
kamranahmedse/developer-roadmap,9927fd1b3efb223160263730614c35a3ef32376e,Kamran Ahmed,2025-06-30T15:25:25Z,Fix broken build,3,3,6
kamranahmedse/developer-roadmap,5b66040031e03595f41ccfe08867c39aee30d342,Kamran Ahmed,2025-06-30T15:20:59Z,Fix remove dead gradle link,0,1,1
kamranahmedse/developer-roadmap,ab7488092a53df5f9f27ba39f7dae127115d6863,Anish Kumar Neupane,2025-06-30T15:14:08Z,fix: update c# site to resolve missing images (#8827),1,1,2
kamranahmedse/developer-roadmap,14425bb18a60f53d13023182da579ff27cb9c6c3,github-actions[bot],2025-06-30T15:13:48Z,chore: update roadmap content json (#8829)  Co-authored-by: kamranahmedse <4921183+kamranahmedse@users.noreply.github.com>,1524,793,2317
kamranahmedse/developer-roadmap,90ccd44e22ecfd3700aa33a7e8af8b589ff5dced,Vedansh,2025-06-30T15:11:20Z,seo: cleanup and optimize roadmap(s) metadata (#8828)  * audit first 11 roadmaps  * audit next 10 roadmaps  * audit next 15 roadmaps  * audit last 22 roadmaps  * Update src/data/roadmaps/ai-data-scientist/ai-data-scientist.md  * Update src/data/roadmaps/aspnet-core/aspnet-core.md  * apply suggestions from code review  * fix seo title  * Update src/data/roadmaps/frontend/frontend.md  * Update src/data/roadmaps/backend/backend.md  ---------  Co-authored-by: Kamran Ahmed <kamranahmed.se@gmail.com>,388,399,787
kamranahmedse/developer-roadmap,eba754f40a158f57a23643e1c526ffa7a13491df,isaacjones99,2025-06-30T15:07:17Z,"Fix grammatical mistake (#8831)  Remove the word ""to"" in a sentence that was making it not make sense.",1,1,2
kamranahmedse/developer-roadmap,5fc6ac79f7036dc9f6aa7726353e343e72fbaed8,AJ,2025-06-30T15:04:49Z,fix: update qa roadmap article link (#8839),1,1,2
kamranahmedse/developer-roadmap,462ff16ddb540830b3092a5857339217a907afe9,Aman Pal,2025-06-30T15:04:17Z,Remove redundant close button from `LeavingRoadmapWarningModal` (#8858)  * Remove redundant close button from `LeavingRoadmapWarningModal`  * Remove close button from `ScheduleEventModal`,0,13,13
kamranahmedse/developer-roadmap,6878af33c18922994cd273ec5206c0d57f67267d,Harsha Somaraju,2025-06-30T15:03:58Z,Remove dead link from resources (#8859)  Removed link to data machines at it is leading to page not found. Page must have been removed,0,1,1
kamranahmedse/developer-roadmap,44a415bb9f3e57b0d4ccb1552671440fec5a76eb,mountdisk,2025-06-30T15:03:30Z,chore: remove redundant words (#8862)  Signed-off-by: mountdisk <mountdisk@icloud.com>,2,2,4
kamranahmedse/developer-roadmap,2d454348cc08c099dcaa1d0b5eef2ed9d4661787,Kamran Ahmed,2025-06-30T15:00:16Z,Migrate Flutter roadmap,3687,865,4552
kamranahmedse/developer-roadmap,14bd6bb52966d0759f523206932767c724cc95ec,Kamran Ahmed,2025-06-30T14:37:41Z,Add flutter roadmap migration,4940,12956,17896
kamranahmedse/developer-roadmap,f7ad6a167a8c3a12ecb629bbb57a9beeb65da681,Kamran Ahmed,2025-06-29T20:50:09Z,Fix issue in billing,4,1,5
kamranahmedse/developer-roadmap,db287215a843a90ea89e574b57813e36675cc739,Kamran Ahmed,2025-06-27T16:12:24Z,Add new roadmap entry,23,0,23
kamranahmedse/developer-roadmap,e1e7b416c3b212b03eaca8cb4fd9e0561e601c6b,Kamran Ahmed,2025-06-27T15:48:08Z,Add missing content,54,18,72
kamranahmedse/developer-roadmap,9d37525350b7cb81121bc375055fa7947e367717,Kamran Ahmed,2025-06-27T15:27:56Z,Migrate MongoDB roadmap,6281,12783,19064
kamranahmedse/developer-roadmap,a08d4beac06cc076d8d83bd2b5bd97fd18910b0a,Kamran Ahmed,2025-06-26T17:09:35Z,Add sql vs python guide,208,0,208
kamranahmedse/developer-roadmap,4840828024b746e18d4ba1ca9db300fd95946649,Kamran Ahmed,2025-06-26T16:53:37Z,Add guide for sql how to learn,206,0,206
kamranahmedse/developer-roadmap,c4079e0099a8543394467cba3f36893f596216ee,Kamran Ahmed,2025-06-26T16:34:52Z,Add guide is sql hard to learn,295,0,295
kamranahmedse/developer-roadmap,ed412ab0c2e4c7a14d5669d0d92fac287db1efcf,Kamran Ahmed,2025-06-26T12:08:15Z,Mobile navigation,3,19,22
