repo,sha,author,date,message,additions,deletions,total_changes
massgravel/Microsoft-Activation-Scripts,5ad6226f37e7af75807819d669ff5ae0e3421a87,WindowsAddict,2025-06-03T13:07:59Z,Revert export-ignore,3,3,6
massgravel/Microsoft-Activation-Scripts,ae9f4e34ffa18817ce3b7746094520dec5e2cf34,WindowsAddict,2025-06-03T13:01:39Z,export-ignore,3,3,6
massgravel/Microsoft-Activation-Scripts,67abcd0c8925832fcf4365b9cf3706ab6fbf8571,WindowsAddict,2025-06-03T12:55:10Z,3.4,13,13,26
massgravel/Microsoft-Activation-Scripts,faf3bf3a08f875d0f3df2ef8bb089d0ab5c42049,WindowsAddict,2025-06-03T11:53:00Z,Update KMS server list,4,4,8
massgravel/Microsoft-Activation-Scripts,482600c890468cc1f818633ed0787589398a57a7,WindowsAddict,2025-06-03T11:14:13Z,Show info related to expired Office preview products,113,41,154
massgravel/Microsoft-Activation-Scripts,dc90e1ff0fbf3d3a5dc47d3c54afb265a304e689,WindowsAddict,2025-06-03T09:25:20Z,Update info message related to ZCID,28,26,54
massgravel/Microsoft-Activation-Scripts,f969378f6b6a958d9f0913c58315bb17cf54e88b,WindowsAddict,2025-06-03T08:05:40Z,Fix a bug in unattended mode in TSforge,4,0,4
massgravel/Microsoft-Activation-Scripts,c89bebdee8880bb4d288f813cf4f4b32c3b80f79,WindowsAddict,2025-06-01T15:40:50Z,Revert export-ignore,3,3,6
massgravel/Microsoft-Activation-Scripts,be7d101df5bf99d959b1f2d16557b88614ac7920,WindowsAddict,2025-06-01T15:27:31Z,Merge branch 'dev',2525,549,3074
massgravel/Microsoft-Activation-Scripts,55b6fce50aba2229f8a071aa8de439d8d7f763b0,WindowsAddict,2025-06-01T15:16:56Z,Update readme,2,2,4
massgravel/Microsoft-Activation-Scripts,6566bb53c12c9d9c3d892f8eb41340366bdf9d5d,WindowsAddict,2025-06-01T15:01:23Z,export-ignore,3,3,6
massgravel/Microsoft-Activation-Scripts,2e44a4a77bc4564c6ad38fa09ff4e134765c6b31,WindowsAddict,2025-06-01T15:00:48Z,3.3,10,10,20
massgravel/Microsoft-Activation-Scripts,9073a35fe00b7b40b8086a0036e4f13a20e9d4f4,WindowsAddict,2025-06-01T14:57:57Z,Add StaticCID and KMS4k method in TSforge,1887,260,2147
massgravel/Microsoft-Activation-Scripts,9f244ddc179b3fd3479aebec58cbc26c1bebb78a,WindowsAddict,2025-05-27T16:40:02Z,Fix grammar,6,6,12
massgravel/Microsoft-Activation-Scripts,8ed0c6874bf63f3b3c9499a7cd7546611f75be02,WindowsAddict,2025-05-27T16:34:35Z,Suggest TSforge for Office where Windows is not supposed to get feature upgrades,9,0,9
massgravel/Microsoft-Activation-Scripts,a99acbb02557409e553f2e2c9cb906b8682cfb04,WindowsAddict,2025-05-27T15:13:23Z,Update Powershell error detection code,120,40,160
massgravel/Microsoft-Activation-Scripts,be867f6616e7408342c00346bcee49268b966778,WindowsAddict,2025-05-27T14:02:44Z,Update links,45,25,70
massgravel/Microsoft-Activation-Scripts,fc80735dacd135daf6f0f1821ff80773022b76a0,WindowsAddict,2025-05-24T19:08:43Z,Improve fix info in the script,8,32,40
massgravel/Microsoft-Activation-Scripts,69c469a9971379b5c3eb955866896cf230e8a6bc,WindowsAddict,2025-05-23T13:26:14Z,Update old Office version detection with subscription license,4,4,8
massgravel/Microsoft-Activation-Scripts,6e74d497218be8f47ab7e547c5eb60e677612360,WindowsAddict,2025-05-23T12:50:53Z,Minor fix,4,2,6
massgravel/Microsoft-Activation-Scripts,ae93f547f58417191cbdc59f4d2be282cdd8ffe0,WindowsAddict,2025-05-23T12:24:17Z,Add the option to change Office update channel to VL and from VL to retail,354,104,458
massgravel/Microsoft-Activation-Scripts,830755f6b606446225ca4535a6a0d45ba9f8c052,WindowsAddict,2025-05-18T12:41:04Z,Fix an issue in detecting Office preview licenses in TSforge,2,2,4
massgravel/Microsoft-Activation-Scripts,a149fc5f2048b135c649a04da89e1b2f3178b449,WindowsAddict,2025-05-18T07:22:40Z,Change hash,1,1,2
massgravel/Microsoft-Activation-Scripts,b75ba72bc5ff9ccd80a225a1f7410ab051949a6a,WindowsAddict,2025-05-18T07:22:40Z,Change hash,1,1,2
massgravel/Microsoft-Activation-Scripts,206c31ece505276f62f0e1cb9f49f0811d264864,WindowsAddict,2025-05-18T06:39:25Z,Open mirror pages along with massgrave.dev,22,22,44
massgravel/Microsoft-Activation-Scripts,133d3b9720c29d0d566f8e6bb117a802fda0c454,WindowsAddict,2025-05-18T05:16:12Z,Edit the info related to Mondo conversion,10,8,18
massgravel/Microsoft-Activation-Scripts,fc2348bf53a13665bae3f869283798f6dca5373a,WindowsAddict,2025-05-17T22:09:29Z,Add some info related to O365 to Mondo conversion in TSforge,10,0,10
massgravel/Microsoft-Activation-Scripts,966fbd14f6b4f17ee07c9ccc1d97dc499d16fc0f,WindowsAddict,2025-05-17T21:17:41Z,Don't ask to run other fixes if file infector malware is detected,6,6,12
massgravel/Microsoft-Activation-Scripts,691e6088d516f25b61cd3de0362668de3be5199b,WindowsAddict,2025-05-17T21:11:47Z,Use user temp folder or random name in Windows/Temp,15,15,30
massgravel/Microsoft-Activation-Scripts,74b7c74218f8f0f4fd87b2a71b985ed604fb380e,WindowsAddict,2025-05-17T20:10:41Z,Continue to activate in case of errors,4,4,8
massgravel/Microsoft-Activation-Scripts,4c53e6231baeeb9985a7721a54c32e6fed854ce8,WindowsAddict,2025-05-08T00:01:04Z,Fix Microsoft links,40,40,80
massgravel/Microsoft-Activation-Scripts,2d00dfa704c709b78303191c4b66fe9ae533dced,WindowsAddict,2025-05-06T17:40:58Z,Revert export-ignore,3,3,6
massgravel/Microsoft-Activation-Scripts,bf28e4fbddb9d6362ebe17f5fb890ff5a3c92d35,WindowsAddict,2025-05-06T17:07:54Z,export-ignore,3,3,6
massgravel/Microsoft-Activation-Scripts,2a2352428eb2735ceb973f1d3795948dddf71752,WindowsAddict,2025-05-06T17:06:13Z,3.2,13,13,26
massgravel/Microsoft-Activation-Scripts,be9215b7284f2666175d7a55fea45ebdfe446e93,WindowsAddict,2025-05-06T14:31:06Z,Fix goback button in change Office edition script,2,0,2
massgravel/Microsoft-Activation-Scripts,93cf3864f5a73e9b8f61487eafcbac18ea1bf2b9,WindowsAddict,2025-05-06T14:23:15Z,Directly go back when asked to press key to ignore opening support page,10,0,10
massgravel/Microsoft-Activation-Scripts,d47a750badb43077fe13ee87db4464302e14712b,WindowsAddict,2025-05-06T13:59:19Z,Detect Powershell 1.0 on Server 2008 and ask to install Powershell 2.0,24,50,74
massgravel/Microsoft-Activation-Scripts,817bfe84de80b15cc407e423872757ec0a258ec5,WindowsAddict,2025-05-06T12:56:33Z,Don't ask to run SFC scan if malware is found,20,0,20
massgravel/Microsoft-Activation-Scripts,2b40259b335d6ac42f012fc368370c5e2aa032d8,WindowsAddict,2025-05-06T12:39:33Z,Add fixes for CAS,6,6,12
massgravel/Microsoft-Activation-Scripts,a514a99d0e0e3e8337bae572fafb32d8ebddf37c,WindowsAddict,2025-05-06T12:17:27Z,Update an error message in KMS script,2,2,4
massgravel/Microsoft-Activation-Scripts,2a806c2e0cb64cd600476261963b8b7a0f59951c,WindowsAddict,2025-05-06T12:09:26Z,Fix ARM32 Office detection,44,44,88
massgravel/Microsoft-Activation-Scripts,b3aaff5110772927d0c4b6bdcb486d45b730a3aa,WindowsAddict,2025-05-06T11:44:27Z,Update Windows 7 ESU 4-6y info,4,2,6
massgravel/Microsoft-Activation-Scripts,bcc4214e8ab8919d7cb81aad2ba1043b554f2cf0,WindowsAddict,2025-05-05T17:08:51Z,Add O365AppsBasicRetail conversion in KMS script,2,2,4
massgravel/Microsoft-Activation-Scripts,9e80556df50d7273a6fbd4d28104ba635b7746a2,WindowsAddict,2025-05-05T16:55:54Z,Add O365AppsBasicRetail support,2,0,2
massgravel/Microsoft-Activation-Scripts,b24bb9bde121a2fea55ac6c634f1bc510cdf3265,WindowsAddict,2025-05-04T11:34:06Z,Remove () from product name,6,6,12
massgravel/Microsoft-Activation-Scripts,dfebdefebaf1b4ba3052b4ebe165482d7aaa13a4,WindowsAddict,2025-05-03T20:51:50Z,Add Office 2010 Publisher Retail key,2,2,4
massgravel/Microsoft-Activation-Scripts,1bdee1ce6fd3ad64d1ae708daa7df65b54993ac2,WindowsAddict,2025-05-03T19:33:13Z,Improve edition package detection,13,0,13
massgravel/Microsoft-Activation-Scripts,4e702068bea2cd5372904389ac687c75bc13223f,WindowsAddict,2025-04-29T17:36:43Z,Revert export-ignore,3,3,6
massgravel/Microsoft-Activation-Scripts,69452365901e7686bc003cdf135af5fd8afee5ea,WindowsAddict,2025-04-29T17:15:01Z,Merge branch 'dev',9394,4748,14142
massgravel/Microsoft-Activation-Scripts,5872b7df53cb1d0e4316860897a0725695dc4864,WindowsAddict,2025-04-29T17:10:56Z,3.1  Added Ohook support for OSPP based Office on Vista and later,1281,789,2070
massgravel/Microsoft-Activation-Scripts,b8ad749bac256882fd5ec1c3b2924ff86e681c90,WindowsAddict,2025-04-21T14:52:13Z,Fix issue related to URL opening in unattended mode,7,7,14
massgravel/Microsoft-Activation-Scripts,5090cde0a04698521979d48f28f670827a69d74e,WindowsAddict,2025-04-21T12:31:09Z,Use wmic.exe on builds below 9200,23,20,43
massgravel/Microsoft-Activation-Scripts,af18bd773c1b4bb4dd1c4e055ab154cccfa7782f,WindowsAddict,2025-04-20T20:59:22Z,Fix a missing echo,1,1,2
massgravel/Microsoft-Activation-Scripts,52ba9f138f2a256c4f95de464073fd2778595e56,WindowsAddict,2025-04-20T19:23:08Z,Ask to run DISM restore and SFC scan when system files are missing,36,0,36
massgravel/Microsoft-Activation-Scripts,98ef9db3ceffd5fdb49e3a4433be4a76a9a986ca,WindowsAddict,2025-04-20T14:05:53Z,Add TSforge and Online KMS support for Vista/Server2008,1211,281,1492
massgravel/Microsoft-Activation-Scripts,172fd7b1c521e84d721653e4c57bec2e321493ad,WindowsAddict,2025-04-16T21:41:21Z,Fix crash issue when scripts are running under a path with special characters,14,16,30
massgravel/Microsoft-Activation-Scripts,372eb73a02260cf4bc6fd424bcc6216fa8a15be2,WindowsAddict,2025-04-16T20:17:13Z,Add updated TSforge code,5056,3274,8330
massgravel/Microsoft-Activation-Scripts,a1614e128348a8e6953e318cc5f6522a1fa2621d,WindowsAddict,2025-04-16T02:33:58Z,Convert HomeStudentARM IDs to Mondo because phone license isn't available for them,22,0,22
massgravel/Microsoft-Activation-Scripts,e8bf344f745358e140b75dff677bb745e4a8cafa,WindowsAddict,2025-04-16T00:44:40Z,Add support for O365 15.0 in TSforge because phone license exist,10,2,12
massgravel/Microsoft-Activation-Scripts,70162c413026ec938f1049b1e4011ac64945e31e,WindowsAddict,2025-04-16T00:00:31Z,Add support for external LibTSforge.dll if found in BIN folder,38,18,56
massgravel/Microsoft-Activation-Scripts,294837dfe0eed177b177954e7ba8b5841af55264,WindowsAddict,2025-04-15T22:17:15Z,Add the updated CAS by abbodi1406,1497,495,1992
massgravel/Microsoft-Activation-Scripts,f5a0a63165d9e6b57719f48322baac60e29a2e6a,WindowsAddict,2025-04-15T03:09:39Z,Cleanup leftover branding.xml related code,12,120,132
massgravel/Microsoft-Activation-Scripts,0d61475468de80b7f711038384e754331a14c7d8,WindowsAddict,2025-04-15T01:32:19Z,Fix an issue where Office doesn't need activation but TSforge would show phone license missing error,50,0,50
massgravel/Microsoft-Activation-Scripts,c316b42e5cd166aa5c10a54d03ca0c5e5d63f4cd,WindowsAddict,2025-04-13T22:40:58Z,"Simplify the code related to ""disable quickedit and avoid Terminal app""",180,190,370
massgravel/Microsoft-Activation-Scripts,3b739d7e2bac5ac01c0dac87855ca1fb72c6b54b,WindowsAddict,2025-04-12T22:55:10Z,Add malware check in Powershell test,110,10,120
massgravel/Microsoft-Activation-Scripts,8673fbbfdabf9fdf34823c4e276ed3a4ef4095ba,WindowsAddict,2025-04-12T22:15:34Z,Add -nop -c with Powershell,22,22,44
massgravel/Microsoft-Activation-Scripts,60dd549a4982c39f972271b638f3af2ab98c776e,WindowsAddict,2025-04-12T14:37:24Z,Don't add SharedComputerLicensing registry on Server for old Office versions,4,4,8
massgravel/Microsoft-Activation-Scripts,1e3c0aaedfab33362007458996f38ba5de4c7192,WindowsAddict,2025-04-12T13:30:48Z,Fix MSI Office detection for Visio and few other products,614,510,1124
massgravel/Microsoft-Activation-Scripts,fe001e6c39777cce8d059c0da35ea48a109ac929,WindowsAddict,2025-03-15T21:34:40Z,Elaborate help message,186,186,372
massgravel/Microsoft-Activation-Scripts,c4f33e96c472484b89b81d6b29cb995ea8148bf1,WindowsAddict,2025-03-15T21:04:10Z,Update WPA keys check code,18,18,36
massgravel/Microsoft-Activation-Scripts,313f240448953cd5fe3c5631f4e4de502f23fc9a,WindowsAddict,2025-03-14T09:57:57Z,Change file hash,1,1,2
massgravel/Microsoft-Activation-Scripts,69f1a206fb17d2d101954ed221094295d8dc5d59,WindowsAddict,2025-03-14T09:57:57Z,Change file hash,1,1,2
