repo,sha,author,date,message,additions,deletions,total_changes
microsoft/vscode,7b1c3d3dcee38406280f67f9909508680da0898d,Connor Peet,2025-07-11T21:25:14Z,debug:  ignore cancellation errors during subsitution (#255488)  Fixes #254852 alongside https://github.com/microsoft/vscode-js-debug/pull/2247,3,1,4
microsoft/vscode,72c0f44fbeaa04cddeb69d45cb7cf2b4a52c5eac,Connor Peet,2025-07-11T21:24:20Z,chat: fix undoing with a `Try again` action in the history doesn't make it dissapear (#255487)  Fixes #254880,1,1,2
microsoft/vscode,40191dceacfa9f0efe8a30eb711fec4cf6c8c3dc,Matt Bierner,2025-07-11T20:09:05Z,Merge pull request #255442 from mjbvz/sudden-octopus  Move `multibyteAwareBtoa` out of dom,39,36,75
microsoft/vscode,f4aa97320e7ff5eb5b8ba205e17d89aa158570aa,Copilot,2025-07-11T19:46:54Z,"Add ""Open Extension"" buttons to individual extension items in manage model access view (#255187)",13,1,14
microsoft/vscode,092effaaebf07df9d38e11c8609094e592358bb6,Henning Dieterichs,2025-07-11T19:21:55Z,Fixes https://github.com/microsoft/vscode/issues/255127 (#255428)  * Fixes https://github.com/microsoft/vscode/issues/255127  * Fixes tests  * Fixes CI,115,67,182
microsoft/vscode,df8db2972ef8c478fb548d37a65ab925c55fd502,Henning Dieterichs,2025-07-11T19:20:21Z,Fixes Illegal value for lineNumber (#255461)  Fixes https://github.com/microsoft/vscode/issues/249770,1,3,4
microsoft/vscode,9e98cd365e454ab04ec25d77763e9da563304c06,Justin Chen,2025-07-11T17:58:58Z,disable edit when clicking on a link (#255454)  disable click if we are clicking on link,6,0,6
microsoft/vscode,ff3d1466b1c647182d260e1ee148bb7940946708,Anthony Kim,2025-07-11T17:46:27Z,Shell type should be undefined when running unrecognized shell  (#255450)  Allow undefined shell type,7,4,11
microsoft/vscode,2f9c1958320666616aca98630d03ba00ae97449c,Megan Rogge,2025-07-11T17:31:33Z,update distro (#255446),1,1,2
microsoft/vscode,c5c02f98baf515a05801721e86572258e7ad3fdb,Justin Chen,2025-07-11T17:25:23Z,fix implicit context hover (#255451),1,1,2
microsoft/vscode,7b0e2e414cd4630282d377c0369430ff0856625b,Logan Ramos,2025-07-11T17:18:51Z,Fix terminal events squatting on common props (#255444),12,12,24
microsoft/vscode,29aba08e6335028f9d300ece2be76274513e5d0b,Benjamin Christopher Simmonds,2025-07-11T17:15:56Z,display location more dynamic (#255449),44,45,89
microsoft/vscode,0b2676103b1a089c5e506e5c8e9a593e942f123c,Matt Bierner,2025-07-11T16:38:36Z,Move `multibyteAwareBtoa` out of dom,39,36,75
microsoft/vscode,2c794e6453a62567dbaf6a4919b462af869172a8,Henning Dieterichs,2025-07-11T16:37:04Z,Fixes https://github.com/microsoft/vscode/issues/255128 (#255434),24,1,25
microsoft/vscode,b89c6f26255f066c5628d4e4fe4ed5b25505fdc3,Matt Bierner,2025-07-11T16:22:30Z,Merge pull request #255429 from mjbvz/subsequent-jay  Make sure we still allow other attrs in chat markdown,5,3,8
microsoft/vscode,e3ee71e1a67c106e313ddcbe4ada6151b4b111b2,Matt Bierner,2025-07-11T16:09:35Z,Make sure we still allow other attrs in chat markdown  Also fixes a class to correct some styling rules,5,3,8
microsoft/vscode,534977fcc8729bd4060e1657d5397e42e9c513e4,Megan Rogge,2025-07-11T16:10:00Z,revert change (#255425)  fix #255423,76,76,152
microsoft/vscode,2085a8ca1ebe186d07c2cb14b22dec2a1ee6eaf7,Josh Spicer,2025-07-11T15:56:01Z,"fix #253023 (#254509)  * fix https://github.com/microsoft/vscode/issues/253023  * remove previewFeature, add tags  * swap tag to 'Account'  * allTags -> hasAllTags  * no tag for agent mode",49,35,84
microsoft/vscode,ee02bbaa82c012db5e83b1bc9f63e7708a7d1988,Megan Rogge,2025-07-11T15:41:23Z,modify the right arg (#255244),14,7,21
microsoft/vscode,dd3b5a10de55039abaa1fc9ba709ba4ea3026e5d,Martin Aeschlimann,2025-07-11T15:40:45Z,Issue: Prompt file name cannot contain Unicode letters (#255402)  Issue: Prompt file cannot contain unicode letters,2,2,4
microsoft/vscode,37e510f1effd3da275020a3ca1515f8d11be8747,Benjamin Pasero,2025-07-11T14:41:09Z,chore - update CLI state storage message format (#255400),1,2,3
microsoft/vscode,18c19134dacfab0e9741acc814a1147cb2cbe93c,Henning Dieterichs,2025-07-11T14:15:41Z,"Adds ""onExP"" tag to editStats setting",1,1,2
microsoft/vscode,f34628bcfce4fe7f61cc530b00cef8f927183837,Ladislau Szomoru,2025-07-11T13:58:59Z,SCM - fix bug with selection not being initialized correctly (#255392),2,2,4
microsoft/vscode,6c8a25ae47508ad3152de7e6269b64f993e53859,Ladislau Szomoru,2025-07-11T13:35:09Z,"Git - distinguish between repository, submodule, and worktree (#255374)",38,10,48
microsoft/vscode,36448b665d547318625bf3876eba77c8964b210a,Martin Aeschlimann,2025-07-11T13:22:01Z,Chatmode without tools should use global tools (#255378),5,4,9
microsoft/vscode,2072458f50a1d354f309ad99f37eb754eeb652d8,Aiday Marlen Kyzy,2025-07-11T12:29:58Z,standalone color picker: changing the HSL regex to account for decimals and no commas (#255349)  * changing the regex to account for decimals and no commas  * making the group also a non capturing group  * allowing zeroes after the 1.  * removing logs,2,2,4
microsoft/vscode,9e2c4d8298a1804bcfe56f5e7554c426d9cda64d,Benjamin Pasero,2025-07-11T11:37:46Z,chore - remove unused `test.ipynb` file (#255351),0,0,0
