repo,sha,author,date,message,additions,deletions,total_changes
ollama/ollama,4261a3b0b264430489921a1b4a16a6267711d595,先知,2025-07-11T22:15:00Z,"docs: update modelfile.md to reflect current default num_ctx (#11189)  As in the commit 44b466eeb2e42e9ce2852c69d7cddb7ebac5daf8, the default context length has been increased to 4096.",1,1,2
ollama/ollama,acef9b4c1b4bc97dba88ed02cc707635b96074de,Jesse Gross,2025-07-07T20:10:14Z,"ggml: Use assigned layers when reporting loading stats  Reporting params.NumGPULayers can be misleading because it is the requested number of layers, not the actual number that is loaded. While they are often the same, there are cases where they might mismatch, such as if the GPU backend is missing.",11,9,20
ollama/ollama,9a43994c45f8da1b21fd302d5ef000cee36c4e16,Jesse Gross,2025-07-10T23:55:34Z,"ggml: Disable unused pipeline parallelism  We're not currently using it, even in cases where we could. Disabling it improves generation performance by 10-30% with multiple GPUs.",1,1,2
ollama/ollama,f8a6e8881975b2964aa2179e74c4426b4a455d0f,Daniel Hiltgen,2025-07-11T19:21:54Z,Only load supported models on new engine (#11362)  * Only load supported models on new engine  Verify the model is supported before trying to load  * int: testcase for all library models,261,0,261
ollama/ollama,35fda7b4af556e7eeef2b5dcb3638435382b2576,Jesse Gross,2025-06-26T00:13:32Z,"ggml: Report ordinal IDs for AMD GPUs on Windows  We don't get valid UUIDs for AMD GPUs on Windows, so the best option is to use the ordinal IDs. This brings us in line with what we currently do on the Ollama server - the only exception is AMD GPUs on Linux, which falls back to using ordinal IDs. The GGML implementation has no fallback but it doesn't appear to occur for any of the GPUs that we support.  It's also possible that there are collisions between ordinal IDs for different libraries - however the only places where we use them are AMD on Windows and Metal on Mac, which can never occur on the same system.",45,33,78
ollama/ollama,66fb8575ced090a969c9529c88ee57a8df1259c2,Daniel Hiltgen,2025-07-08T22:38:04Z,doc: add MacOS docs (#11334)  also removes stale model dir instructions for windows,56,14,70
ollama/ollama,20c3266e943f62ef7947f00b563de5f6c790ecb7,Daniel Hiltgen,2025-07-08T19:08:37Z,"Reduce default parallelism to 1 (#11330)  The current scheduler algorithm of picking the paralellism based on available VRAM complicates the upcoming dynamic layer memory allocation algorithm.  This changes the default to 1, with the intent going forward that parallelism is explicit and will no longer be dynamically determined.  Removal of the dynamic logic will come in a follow up.",4,6,10
ollama/ollama,34088dbcfb47546fc0f375276173467bc8bbed29,Daniel Hiltgen,2025-07-08T18:59:06Z,API/CLI context enhancements (#11331)  * API: expose context size of loaded models  * CLI: add context UX  This adds a column in the ps output to show the models context size.,14,9,23
ollama/ollama,43107b15b9bcff51ef1c5391c273fd1a747f6d0a,Parth Sareen,2025-07-07T23:53:13Z,add `tool_name` to api.md (#11326),1,0,1
ollama/ollama,1f91cb0c8ccf734f060a7ed065e991233daa0448,Parth Sareen,2025-07-07T22:53:42Z,template: add tool result compatibility (#11294),348,8,356
