repo,sha,author,date,message,additions,deletions,total_changes
public-apis/public-apis,675a4e63bae5cf0f6569254652fce3e2fa53b900,APILayer,2025-05-20T15:56:33Z,Update README.md,11,8,19
public-apis/public-apis,274ecf0e19e8da03197bdda8f2c5be307ad6aa69,APILayer,2024-10-31T19:50:01Z,Update README.md,51,51,102
public-apis/public-apis,fde9b2b246c74f9071d07b3946e4eb7bab9b8891,APILayer,2024-09-25T13:37:56Z,Update README.md,0,1,1
public-apis/public-apis,410778f42e340043b71fc958da77dcb0d4cfc469,APILayer,2024-08-02T13:59:32Z,Update README.md,12,55,67
public-apis/public-apis,b354ba6f4fc596b72db80c5a4051be4d837f6cf6,APILayer,2024-07-09T14:27:51Z,Update README.md,1,1,2
public-apis/public-apis,ca09c937bbf64a5efdebca391cb8222b2cafa0e6,APILayer,2024-04-29T11:29:06Z,"Merge pull request #3805 from stcalica/postman-redesign  added postman logos, removed deadlinks, created popular APIs and Cate…",347,248,595
public-apis/public-apis,f3bb109a1a3743da9eaac50033b4a24b28809b11,Kyle Calica,2024-03-14T00:30:37Z,"added postman logos, removed deadlinks, created popular APIs and Categories section, new copy",347,248,595
public-apis/public-apis,49d267a721b6a8ff9ccaefc9f24c0188367008d9,APILayer,2023-09-20T13:07:26Z,Update README.md  added new api,1,0,1
public-apis/public-apis,82218c7ba6778666285dc084f4ede22655ed2059,APILayer,2023-09-20T12:54:45Z,Update README.md  added new api,1,0,1
public-apis/public-apis,055f7b0580490a89e8f7e6e61690e5c52f0e8181,APILayer,2022-07-19T13:39:16Z,Update README.md,4,0,4
public-apis/public-apis,b269b3e1e2c0322ed36a3859233a57f6cd325ae6,APILayer,2022-05-18T13:48:17Z,Update README.md,1,0,1
public-apis/public-apis,831ff0378fb0ba5a779e6caaa89b73766c59449e,APILayer,2022-03-16T08:41:44Z,Update README.md,5,12,17
public-apis/public-apis,53b16cfd0c322c573998ac416073b0c1a2857b60,APILayer,2022-03-16T08:35:59Z,Add files via upload,0,0,0
public-apis/public-apis,ab16db658dcc5a443292d2ce0325d98ad0538226,APILayer,2022-03-16T08:32:07Z,Update README.md,1,0,1
public-apis/public-apis,81804323e7ab9907226eae256ae56719248c7dce,Matheus Felipe,2022-03-16T06:02:36Z,"Remove MFaaS, it's broken  MFaaS returns http code 404 when accessed",0,1,1
public-apis/public-apis,166eeb5a5112b0ebf8d3cc7d6f3aa2b2518d8131,Matheus Felipe,2022-03-16T05:56:08Z,"Remove Kawal Corona, it's broken",0,1,1
public-apis/public-apis,1dc89b0ddb8a37ef2553fac531bd67a93c843495,Matheus Felipe,2022-03-16T05:53:10Z,"Remove Affirmations, it's broken",0,1,1
public-apis/public-apis,d69c9982c8e24a0675e73df43dd6f97cf006b75a,Matheus Felipe,2022-03-16T04:48:44Z,Add Free Url Shortener to URL Shorteners (#3097)  resolve #3097,1,0,1
public-apis/public-apis,25250c62180676b92dd9686c6a42b8033290e56e,Zaldy Pagaduan Jr,2022-03-16T04:29:32Z,Add PRC Exam Schedule to Government (#3102),1,0,1
public-apis/public-apis,4f3537cf4b3162df83eaebe00ce766b67fe8129e,FayeNichols,2022-03-16T04:16:11Z,Add Hirak OCR to Text Analysis (#3100),1,0,1
public-apis/public-apis,33dff391917e6a9cb45755dd05fda53aa9576f69,FayeNichols,2022-03-16T03:59:38Z,"Add ""Hirak IP to Country"" to Geocoding (#3098)",1,0,1
public-apis/public-apis,4167f2e7fc7052de6dfe6faa4d6935d051523a11,Matheus Felipe,2022-03-13T02:13:26Z,"Remove WeatherReactApi, it's broken  WeatherReactApi returns http code 404 when accessed",0,1,1
public-apis/public-apis,df9eb2ed247ab2d7a985e97787fbc26a3e5e7987,Matheus Felipe,2022-03-13T02:11:08Z,"Remove Utelly, it's broken  Utelly returns http code 404 when accessed",0,1,1
public-apis/public-apis,93bf8cbb06553cc5857b70b0db95ebd44f3e3763,Matheus Felipe,2022-03-13T02:08:16Z,"Remove Sentium, it's broken  Sentium returns http code 503 when accessed",0,1,1
public-apis/public-apis,e40cebde8251ed9ebbc421994af5cc8555997096,Matheus Felipe,2022-03-13T02:07:04Z,"Remove Tennis-data, it's broken  Tennis-data returns http code 404 when accessed",0,1,1
public-apis/public-apis,67245295653a63ac7ed086a8d222de8b4498d9a3,Matheus Felipe,2022-03-13T02:06:06Z,"Remove Daraz Data, it's broken  Daraz Data returns http code 404 when accessed",0,1,1
public-apis/public-apis,8e848b9ff00b0e013e0c5b07cb3677c1c3c1e66c,Matheus Felipe,2022-03-13T02:04:58Z,"Remove Reconmap, it's broken",0,1,1
public-apis/public-apis,1e587cf2eb35d481265a603fad7608865fb3499d,Matheus Felipe,2022-03-13T02:02:19Z,"Remove Quadratic Solver, it's broken  Quadratic Solver  returns http code 404 when accessed",0,1,1
public-apis/public-apis,a1840368b887be7bdbcdfec4ae4e752aa4d1289c,Matheus Felipe,2022-03-13T02:00:14Z,"Remove UK government API catalogue, it's broken  UK government API catalogue returns http code 404 when accessed",0,1,1
public-apis/public-apis,a25ece6dd875a44600b5645c760b52e083c1f756,Matheus Felipe,2022-03-13T01:57:16Z,"Remove ""Open Government, Ukraine"", it's broken",0,1,1
public-apis/public-apis,9b91662991297928b2dba586f246b7420f78f15f,Matheus Felipe,2022-03-13T01:55:56Z,"Remove ""Open Government, Russia"", it's broken",0,1,1
public-apis/public-apis,8d891a5c37a90582fa85930134756cea74820cd2,Matheus Felipe,2022-03-13T01:54:10Z,"Remove ""City, Warsaw Open Data"", it's broken",0,1,1
