repo,sha,author,date,message,additions,deletions,total_changes
sindresorhus/awesome,ae6009066696f7591894536940997849d57598a8,Isabela de Matos,2025-07-05T23:21:42Z,Add WebAssembly (#3398)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,670f82b1a9b986d47359c514b0422e12dba82670,Really Him,2025-06-11T12:48:07Z,Add Claude Code (#3455)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,d1d8343688949e9b3b1fdd48870325deaf540564,Yuri,2025-06-06T11:42:13Z,Improve clarity in badge usage explanation (#3471),1,1,2
sindresorhus/awesome,1350de9bc333dee61d516ab486d055eb48be7931,Sindre Sorhus,2025-05-19T10:22:47Z,Meta tweaks,0,38,38
sindresorhus/awesome,30f105b071b95e540f2923ac3d4393a6d0f13fec,Semyon Moroz,2025-05-15T13:13:42Z,Add Standards (#3351)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,62f88598f2ea9640619739fab0d6ac354cd2944a,Sancarn,2025-05-15T13:01:57Z,Add VBA (#3153)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,aea85d30bba5502d3da9dc713ff522a467aa3828,Dario Castañé,2025-05-15T12:37:25Z,Add ATProto (#3323)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,74a7800ca6ceb30928ac4cf16452a99f05d883c1,Asi Greenholts,2025-05-15T12:13:17Z,Add CI/CD Attacks (#3111),1,0,1
sindresorhus/awesome,629aad89f30881c80415ebd00d3c6e51caea8cab,Michael Brusegard,2025-05-15T11:53:01Z,Add WezTerm (#3234),1,0,1
sindresorhus/awesome,1a3802b354fd8a1bfcb9f085c750f008191cd1e3,Fermin Lozano,2025-05-15T11:49:06Z,Add WebGPU (#3210)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,10739d944f173f1ba1a07bfff14aa54d97edcecf,Will Foran,2025-05-15T11:44:00Z,Add Neuroimaging (#3171)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,565212986aa916ba0f1c3fd4d4b270011a47021d,Xavier Portilla Edo,2025-05-15T11:33:25Z,Add Firebase Genkit (#3205)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,2ed278fc84c140dc48b4d1bfb2dba10b80bd097f,Harshit Sethi,2025-05-15T11:25:39Z,Add J2ME (#3115),1,0,1
sindresorhus/awesome,c1fa742ddbb0259441ba552276bc9d3d8414d94b,Saifeddine Rajhi,2025-05-15T11:04:08Z,Add Cilium (#2930),1,0,1
sindresorhus/awesome,22310294d148ba1cc130d3d85623a04620947f54,Danail,2025-04-08T10:52:39Z,Add Payload (#3350),1,0,1
sindresorhus/awesome,f4a2c36f1fe1b9d5a0784de816b749e2f6e01add,Noor E Mobeen,2025-03-13T11:57:42Z,Minor description improvements (#3375),7,7,14
sindresorhus/awesome,7ac2054d73d003f2a4d7b3235c5d235975238eb0,Ankur Tyagi,2025-03-04T08:42:02Z,Add CodeRabbit (#3335)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,f6d534211855dcfe39708f02377526e3e891a1e5,Isabela de Matos,2025-02-28T04:32:36Z,Add Permacomputing (#3293),1,0,1
sindresorhus/awesome,56d5856a305f45ae25008ee3985ecdcddccde57e,Pranjal Pokharel,2025-02-05T17:54:43Z,Remove dead links (#3349),0,3,3
sindresorhus/awesome,36d8bf5835c35f691f0ecdac9b05118c800d1cd4,Sindre Sorhus,2024-12-12T00:41:42Z,Meta tweaks,2,17,19
sindresorhus/awesome,5d4b5fe199ba39276b36fa4ec06322aa414442da,Lutz Hühnken,2024-11-28T19:02:18Z,Add Event-Driven Architecture (#3152)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,c729cae2aedeabe4d83a8a00a54eed42e5aa33f4,Adarsh Gourab Mahalik,2024-11-23T16:24:13Z,Add Reflex (#3228),1,0,1
sindresorhus/awesome,61974e3bc905074402c514415c4a289788f0e50a,PandaDEV,2024-11-23T14:44:06Z,Add Windows (#3227)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,1,2
sindresorhus/awesome,843bbf9242284d80710ee8fe8e42ae094943d4d1,Jacob Wilson,2024-11-22T09:22:44Z,Add Annual Security Reports (#2850)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,cece334d95d7bccdb1dd9361119c1324e00e7bbe,Sindre Sorhus,2024-11-21T08:53:20Z,Meta tweaks,11,0,11
sindresorhus/awesome,422c90ac7968192a7bbdfbe0fc9a21f34bbddae1,Alex,2024-10-29T11:09:50Z,Add Babylon.js (#2960)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,281714e50ddb6973ceec90ecf8e2946c8f40e50f,Michael Paul Coder,2024-10-29T06:59:03Z,Add Lucid Dreams (#3091)  Co-authored-by: Sindre Sorhus <sindresorhus@gmail.com>,1,0,1
sindresorhus/awesome,9d2c6b5ef36ce5575acbf7be1c8b2e18b1c4fb37,Gökay Aydoğan,2024-10-28T18:19:48Z,Add VLM Architectures (#2996),1,0,1
sindresorhus/awesome,d1448ed9dcdc1193de494d7279f0b8a28df0bb66,Steven Levithan,2024-10-22T18:14:51Z,Add Regex (#3071),1,0,1
sindresorhus/awesome,460f1a944f3ac8b9f51967a244abf47f1edf6ab9,Henrik Lau Eriksson,2024-10-22T17:24:51Z,Add PowerToys Run Plugins (#3075),1,0,1
