repo,sha,author,date,message,additions,deletions,total_changes
tensorflow/tensorflow,c56972459d22e3ddc0c0e0ac04ae85d0b33270f9,Ionel Gog,2025-07-12T00:52:53Z,[IFRT IR] Use the auto-generate pass creation functions rather than custom defined funcs.  PiperOrigin-RevId: 782172174,147,320,467
tensorflow/tensorflow,f1be0a349603f317bc8d019cc3f51dd15f956bf6,Xinxin Mo,2025-07-12T00:00:11Z,[xla] Add back test targets in //xla/tools/hlo_diff on CI because the service outage  errors (https://github.com/openxla/xla/actions/runs/16007180610/job/45156461568)  have been fixed in https://github.com/openxla/xla/pull/28465.  Reverts f590575b0ed93e703ec30b29f815bf5077ce5468  PiperOrigin-RevId: 782158057,39,42,81
tensorflow/tensorflow,6bf187731ee3f19ad358a7b62e251b934657a68d,Shahriar Rouf,2025-07-11T23:57:09Z,Optimize `GlobalDecreasingSizeBestFitHeap::MakeFreeChunks` by 1.2X to 1.4X.  `BM_GlobalDecreasingSizeBestFitHeap` benchmark is optimized by up to 1.17X.  PiperOrigin-RevId: 782157151,69,71,140
tensorflow/tensorflow,8abac72e9a1538f6e2a3e0f58b2ebddb059f6d6f,Sean Talts,2025-07-11T23:55:55Z,[XLA:CPU] Use templated intrinsic helpers for log1p and fix intrinsic name.  PiperOrigin-RevId: 782156735,24,28,52
tensorflow/tensorflow,71b19d1848d1b413479083e2b450554207a2a134,Sandeep Dasgupta,2025-07-11T23:24:40Z,[Phase Compilation] Part-4: Add C++ layers to test and interact with C PJRT API.  PiperOrigin-RevId: 782147317,694,23,717
tensorflow/tensorflow,1b87c38dda842bedb5b01b7592b83292d7252cb3,Siqiao Wu,2025-07-11T22:47:53Z,Fix sink invariant in tf.ifregion.  PiperOrigin-RevId: 782135828,5,1,6
tensorflow/tensorflow,ce11edc4ef3e1e7a9cf75885a867b892d966d7c6,A. Unique TensorFlower,2025-07-11T22:18:11Z,Reverts e4fccd6471306e8b4d4012a423376c170e6a6301  PiperOrigin-RevId: 782126042,37,109,146
tensorflow/tensorflow,c3fe34a8b0e65586eff8ed6719e42da3120e785d,David Dunleavy,2025-07-11T21:16:03Z,Now that we don't steal from `tensorflow/third_party` don't do any post hoc Copybara for TensorFlow builds  (*) Except for `tensorflow/third_party/py`  PiperOrigin-RevId: 782106216,0,62,62
tensorflow/tensorflow,e1c72193da6cc88e11dbee81cf5fe19187ff1312,David Dunleavy,2025-07-11T20:39:51Z,Migrate uses of `XLA_TEST_BACKEND` macros to use utilities in `xla_test_backend_predicates.h`  Reverts c9ca1c456e1032ba1e4d728fdda68bf9a46b4f92  PiperOrigin-RevId: 782094674,50,52,102
tensorflow/tensorflow,976bca01cc803767a0dcba39ab4ca818d98639b5,Kevin Gleason,2025-07-11T20:35:05Z,[SDY] Refactor MHLO dependencies where possible  PiperOrigin-RevId: 782093218,10,9,19
tensorflow/tensorflow,04b16a94c8fbe9b4a5366bfe3ced693b09b4f4c2,Eugene Zhulenev,2025-07-11T20:35:03Z,[xla:codegen] Start migrating Ldexp to Intrinsic declaration  PiperOrigin-RevId: 782093202,53,26,79
tensorflow/tensorflow,e9a2f9de8dc960f6064c2acc518072c170f7e265,A. Unique TensorFlower,2025-07-11T20:16:48Z,[XLA] Refactor HloDCE for improved readability.  A minor modification is also made for dangling computations where `changed` is only set to `true` when a computation is actually removed to account for the possibility that a dangling computation might be filtered by execution_threads.  PiperOrigin-RevId: 782086875,214,106,320
tensorflow/tensorflow,e4fccd6471306e8b4d4012a423376c170e6a6301,Eugene Zhulenev,2025-07-11T19:57:16Z,[xla:cpu] Move memory allocation functions to tf2xla  PiperOrigin-RevId: 782080412,109,37,146
tensorflow/tensorflow,a5e5df512a42756cc9ae7cc7b9144672e922c4b0,A. Unique TensorFlower,2025-07-11T19:52:08Z,Add traceme for IFRT executable launch  PiperOrigin-RevId: 782078942,19,11,30
tensorflow/tensorflow,c386cae688f368970ffb0f22866b2af8f1e8fe62,Sean Talts,2025-07-11T19:48:55Z,[XLA:CPU] Refactor Rsqrt intrinsic with new UnaryIntrinsicBase.  PiperOrigin-RevId: 782077991,125,54,179
tensorflow/tensorflow,2a9a72198a3e411c5eac071c5f5abc29d84efa5c,Zac Mustin,2025-07-11T18:19:38Z,Fix clang-tidy errors in `pjrt_c_api_helpers.cc`.  PiperOrigin-RevId: 782047204,3,2,5
tensorflow/tensorflow,8229468def07caf1c7fcf4634cf79f97ef4c2fa4,Alex Pivovarov,2025-07-11T17:36:34Z,"[Autotuner] Add block level emitter backend for Triton fusion.  This change introduces the Triton block-level fusion emitter backend, which enables autotuning of tile configurations for custom Triton fusions in XLA.  This backend implements the following core interfaces: - GetSupportedConfigs: Enumerates all supported combinations of tile sizes for the output tensors. The generated configs can be used during autotuning to explore different performance candidates. (will be added in the next PR) - GetDefaultConfig: Provides a default tile configuration for a given Triton fusion, used as a fallback when no tuning data is available. - ApplyConfig: Applies a selected block-level fusion configuration to a Triton fusion instruction by updating its GpuBackendConfig. (will be added in the next PR)  PiperOrigin-RevId: 782032163",583,0,583
tensorflow/tensorflow,5615e58396c085e380de493e1c294195b6dedfe1,Mikhail Goncharov,2025-07-11T16:47:19Z,[XLA:GPU] flag to control nested gemm fusion  For more granular control over generic triton emitter.  That replaces the binary `xla_gpu_unsupported_enable_generic_triton_emitter_for_gemms`.  Sample usage `--xla_gpu_unsupported_generic_triton_emitter_features=enable_nested_gemm`  Drive by update of the comment on xla_gpu_enable_llvm_module_compilation_parallelism.  PiperOrigin-RevId: 782014919,423,75,498
