repo,sha,author,date,message,additions,deletions,total_changes
torvalds/linux,379f604cc3dc2c865dc2b13d81faa166b6df59ec,Linus Torvalds,2025-07-12T00:24:36Z,"Merge tag 'pci-v6.16-fixes-3' of git://git.kernel.org/pub/scm/linux/kernel/git/pci/pci  Pull PCI fixes from Bjorn Helgaas:   - Track apple Root Ports explicitly and look up the driver data from    the struct device instead of using dev->driver_data, which is used by    pci_host_common_init() for the generic host bridge pointer (Marc    Zyngier)   - Set dev->driver_data before pci_host_common_init() calls    gen_pci_init() because some drivers need it to set up ECAM mappings;    this fixes a regression on MicroChip MPFS Icicle (Geert Uytterhoeven)   - Revert the now-unnecessary use of ECAM pci_config_window.priv to    store a copy of dev->driver_data (Marc Zyngier)  * tag 'pci-v6.16-fixes-3' of git://git.kernel.org/pub/scm/linux/kernel/git/pci/pci:   Revert ""PCI: ecam: Allow cfg->priv to be pre-populated from the root port device""   PCI: host-generic: Set driver_data before calling gen_pci_init()   PCI: apple: Add tracking of probed root ports",51,8,59
torvalds/linux,3c2fe27971c3c9cc27de6e369385f6428db6c0b5,Linus Torvalds,2025-07-12T00:18:40Z,"Merge tag 'drm-fixes-2025-07-12' of https://gitlab.freedesktop.org/drm/kernel  Pull drm fixes from Simona Vetter:  ""Cross-subsystem Changes:    - agp/amd64 binding dmesg noise regression fix    Core Changes:    - fix race in gem_handle_create_tail    - fixup handle_count fb refcount regression from -rc5, popular with      reports ...    - call rust dtor for drm_device release    Driver Changes:    - nouveau: magic 50ms suspend fix, acpi leak fix    - tegra: dma api error in nvdec    - pvr: fix device reset    - habanalbs maintainer update    - intel display: fix some dsi mipi sequences    - xe fixes: SRIOV fixes, small GuC fixes, disable indirect ring due      to issues, compression fix for fragmented BO, doc update  * tag 'drm-fixes-2025-07-12' of https://gitlab.freedesktop.org/drm/kernel: (22 commits)   drm/xe/guc: Default log level to non-verbose   drm/xe/bmg: Don't use WA 16023588340 and 22019338487 on VF   drm/xe/guc: Recommend GuC v70.46.2 for BMG, LNL, DG2   drm/xe/pm: Correct comment of xe_pm_set_vram_threshold()   drm/xe: Release runtime pm for error path of xe_devcoredump_read()   drm/xe/pm: Restore display pm if there is error after display suspend   drm/i915/bios: Apply vlv_fixup_mipi_sequences() to v2 mipi-sequences too   drm/gem: Fix race in drm_gem_handle_create_tail()   drm/framebuffer: Acquire internal references on GEM handles   agp/amd64: Check AGP Capability before binding to unsupported devices   drm/xe/bmg: fix compressed VRAM handling   Revert ""drm/xe/xe2: Enable Indirect Ring State support for Xe2""   drm/xe: Allocate PF queue size on pow2 boundary   drm/xe/pf: Clear all LMTT pages on alloc   drm/nouveau/gsp: fix potential leak of memory used during acpi init   rust: drm: remove unnecessary imports   MAINTAINERS: Change habanalabs maintainer   drm/imagination: Fix kernel crash when hard resetting the GPU   drm/tegra: nvdec: Fix dma_alloc_coherent error check   rust: drm: device: drop_in_place() the drm::Device in release()   ...",187,89,276
torvalds/linux,5f02b80c21e1511c32a37f642497751041069076,Linus Torvalds,2025-07-12T00:10:32Z,"Revert ""eventpoll: Fix priority inversion problem""  This reverts commit 8c44dac8add7503c345c0f6c7962e4863b88ba42.  I haven't figured out what the actual bug in this commit is, but I did spend a lot of time chasing it down and eventually succeeded in bisecting it down to this.  For some reason, this eventpoll commit ends up causing delays and stuck user space processes, but it only happens on one of my machines, and only during early boot or during the flurry of initial activity when logging in.  I must be triggering some very subtle timing issue, but once I figured out the behavior pattern that made it reasonably reliable to trigger, it did bisect right to this, and reverting the commit fixes the problem.  Of course, that was only after I had failed at bisecting it several times, and had flailed around blaming both the drm people and the netlink people for the odd problems.  The most obvious of which happened at the time of the first graphical login (the most common symptom being that some gnome app aborted due to a 30s timeout, often leading to the whole session then failing if it was some critical component like gnome-shell or similar).  Acked-by: Nam Cao <namcao@linutronix.de> Cc: Frederic Weisbecker <frederic@kernel.org> Cc: Valentin Schneider <vschneid@redhat.com> Cc: Christian Brauner <brauner@kernel.org> Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",324,134,458
torvalds/linux,40f92e79b0aabbf3575e371f9054657a421a3e79,Linus Torvalds,2025-07-11T17:35:54Z,"Merge tag 'block-6.16-20250710' of git://git.kernel.dk/linux  Pull block fixes from Jens Axboe:   - MD changes via Yu:      - fix UAF due to stack memory used for bio mempool (Jinchao)      - fix raid10/raid1 nowait IO error path (Nigel and Qixing)      - fix kernel crash from reading bitmap sysfs entry (Håkon)   - Fix for a UAF in the nbd connect error path   - Fix for blocksize being bigger than pagesize, if THP isn't enabled  * tag 'block-6.16-20250710' of git://git.kernel.dk/linux:   block: reject bs > ps block devices when THP is disabled   nbd: fix uaf in nbd_genl_connect() error path   md/md-bitmap: fix GPF in bitmap_get_stats()   md/raid1,raid10: strip REQ_NOWAIT from member bios   raid10: cleanup memleak at raid10_make_request   md/raid1: Fix stack memory use after return in raid1_reshape",22,8,30
torvalds/linux,cb3002e0e977a6342c19ba957b971f7ce17ef958,Linus Torvalds,2025-07-11T17:29:30Z,"Merge tag 'io_uring-6.16-20250710' of git://git.kernel.dk/linux  Pull io_uring fixes from Jens Axboe:   - Remove a pointless warning in the zcrx code   - Fix for MSG_RING commands, where the allocated io_kiocb    needs to be freed under RCU as well   - Revert the work-around we had in place for the anon inodes    pretending to be regular files. Since that got reworked    upstream, the work-around is no longer needed  * tag 'io_uring-6.16-20250710' of git://git.kernel.dk/linux:   Revert ""io_uring: gate REQ_F_ISREG on !S_ANON_INODE as well""   io_uring/msg_ring: ensure io_kiocb freeing is deferred for RCU   io_uring/zcrx: fix pp destruction warnings",5,7,12
torvalds/linux,c7979c3917fa1326dae3607e1c6a04c12057b194,Linus Torvalds,2025-07-11T17:18:51Z,"Merge tag 'net-6.16-rc6-2' of git://git.kernel.org/pub/scm/linux/kernel/git/netdev/net  Pull more networking fixes from Jakub Kicinski  ""Big chunk of fixes for WiFi, Johannes says probably the last for the   release.    The Netlink fixes (on top of the tree) restore operation of iw (WiFi   CLI) which uses sillily small recv buffer, and is the reason for this   'emergency PR'.    The GRE multicast fix also stands out among the user-visible   regressions.    Current release - fix to a fix:     - netlink: make sure we always allow at least one skb to be queued,      even if the recvbuf is (mis)configured to be tiny    Previous releases - regressions:     - gre: fix IPv6 multicast route creation    Previous releases - always broken:     - wifi: prevent A-MSDU attacks in mesh networks     - wifi: cfg80211: fix S1G beacon head validation and detection     - wifi: mac80211:        - always clear frame buffer to prevent stack leak in cases which          hit a WARN()        - fix monitor interface in device restart     - wifi: mwifiex: discard erroneous disassoc frames on STA interface     - wifi: mt76:        - prevent null-deref in mt7925_sta_set_decap_offload()        - add missing RCU annotations, and fix sleep in atomic        - fix decapsulation offload        - fixes for scanning     - phy: microchip: improve link establishment and reset handling     - eth: mlx5e: fix race between DIM disable and net_dim()     - bnxt_en: correct DMA unmap len for XDP_REDIRECT""  * tag 'net-6.16-rc6-2' of git://git.kernel.org/pub/scm/linux/kernel/git/netdev/net: (44 commits)   netlink: make sure we allow at least one dump skb   netlink: Fix rmem check in netlink_broadcast_deliver().   bnxt_en: Set DMA unmap len correctly for XDP_REDIRECT   bnxt_en: Flush FW trace before copying to the coredump   bnxt_en: Fix DCB ETS validation   net: ll_temac: Fix missing tx_pending check in ethtools_set_ringparam()   net/mlx5e: Add new prio for promiscuous mode   net/mlx5e: Fix race between DIM disable and net_dim()   net/mlx5: Reset bw_share field when changing a node's parent   can: m_can: m_can_handle_lost_msg(): downgrade msg lost in rx message to debug level   selftests: net: lib: fix shift count out of range   selftests: Add IPv6 multicast route generation tests for GRE devices.   gre: Fix IPv6 multicast route creation.   net: phy: microchip: limit 100M workaround to link-down events on LAN88xx   net: phy: microchip: Use genphy_soft_reset() to purge stale LPA bits   ibmvnic: Fix hardcoded NUM_RX_STATS/NUM_TX_STATS with dynamic sizeof   net: appletalk: Fix device refcount leak in atrtr_create()   netfilter: flowtable: account for Ethernet header in nf_flow_pppoe_proto()   wifi: mac80211: add the virtual monitor after reconfig complete   wifi: mac80211: always initialize sdata::key_list   ...",500,277,777
torvalds/linux,5265593a28d91aed5529c31e720be8d3e78e0695,Linus Torvalds,2025-07-11T17:15:50Z,Merge tag 'gpio-fixes-for-v6.16-rc6' of git://git.kernel.org/pub/scm/linux/kernel/git/brgl/linux  Pull gpio fixes from Bartosz Golaszewski:   - fix performance regression when setting values of multiple GPIO lines    at once   - make sure the GPIO OF xlate code doesn't end up passing an    uninitialized local variable to GPIO core   - update MAINTAINERS  * tag 'gpio-fixes-for-v6.16-rc6' of git://git.kernel.org/pub/scm/linux/kernel/git/brgl/linux:   MAINTAINERS: remove bouncing address for Nandor Han   gpio: of: initialize local variable passed to the .of_xlate() callback   gpiolib: fix performance regression when using gpio_chip_get_multiple(),4,10,14
torvalds/linux,87cf461cd30bc3e0ae48936a96590de8db747f54,Linus Torvalds,2025-07-11T16:19:33Z,"Merge tag 'pm-6.16-rc6' of git://git.kernel.org/pub/scm/linux/kernel/git/rafael/linux-pm  Pull power management fix from Rafael Wysocki:  ""Fix a coding mistake in a previous fix related to system suspend and   hibernation merged recently""  * tag 'pm-6.16-rc6' of git://git.kernel.org/pub/scm/linux/kernel/git/rafael/linux-pm:   PM: sleep: Call pm_restore_gfp_mask() after dpm_resume()",1,1,2
torvalds/linux,a0f8361c3ce4cf706608edb81c4334783cb093cf,Linus Torvalds,2025-07-11T15:49:25Z,Merge tag 'dma-mapping-6.16-2025-07-11' of git://git.kernel.org/pub/scm/linux/kernel/git/mszyprowski/linux  Pull dma-mapping fix from Marek Szyprowski:   - small fix relevant to arm64 server and custom CMA configuration (Feng    Tang)  * tag 'dma-mapping-6.16-2025-07-11' of git://git.kernel.org/pub/scm/linux/kernel/git/mszyprowski/linux:   dma-contiguous: hornor the cma address limit setup by user,4,1,5
torvalds/linux,a215b5723922f8099078478122f02100e489cb80,Jakub Kicinski,2025-07-11T00:11:21Z,"netlink: make sure we allow at least one dump skb  Commit under Fixes tightened up the memory accounting for Netlink sockets. Looks like the accounting is too strict for some existing use cases, Marek reported issues with nl80211 / WiFi iw CLI.  To reduce number of iterations Netlink dumps try to allocate messages based on the size of the buffer passed to previous recvmsg() calls. If user space uses a larger buffer in recvmsg() than sk_rcvbuf we will allocate an skb we won't be able to queue.  Make sure we always allow at least one skb to be queued. Same workaround is already present in netlink_attachskb(). Alternative would be to cap the allocation size to   rcvbuf - rmem_alloc but as I said, the workaround is already present in other places.  Reported-by: Marek Szyprowski <m.szyprowski@samsung.com> Link: https://lore.kernel.org/9794af18-4905-46c6-b12c-365ea2f05858@samsung.com Fixes: ae8f160e7eb2 (""netlink: Fix wraparounds of sk->sk_rmem_alloc."") Tested-by: Marek Szyprowski <m.szyprowski@samsung.com> Reviewed-by: Kuniyuki Iwashima <kuniyu@google.com> Link: https://patch.msgid.link/20250711001121.3649033-1-kuba@kernel.org Signed-off-by: Jakub Kicinski <kuba@kernel.org>",3,2,5
