repo,sha,author,date,message,additions,deletions,total_changes
trimstray/the-book-of-secret-knowledge,7d37069a361d3fd9f214480755f7969744e866fa,trimstray,2024-11-19T14:00:34Z,uncommited changes - signed-off-by: trimstray <trimstray@gmail.com>,0,12,12
trimstray/the-book-of-secret-knowledge,9280d0e7ea00fad1679b33c5da4ea89faead78b5,trimstray,2024-01-16T18:51:08Z,minor fixes - signed-off-by: trimstray <trimstray@gmail.com>,6,6,12
trimstray/the-book-of-secret-knowledge,129802e0b5b0ed8cafe14aebb0e011ec22e15709,trimstray,2024-01-16T18:23:53Z,remove small_orange_diamond - signed-off-by: trimstray <trimstray@gmail.com>,908,908,1816
trimstray/the-book-of-secret-knowledge,945e21b6a41f3a162e18a100775ff4f922f5ea31,Michał Ży,2022-02-28T20:34:27Z,Merge pull request #353 from caverav/master  added shell cleaning trick,18,4,22
trimstray/the-book-of-secret-knowledge,db823f6b702da48986f6c87b82f7720d33280be8,Michał Ży,2022-02-28T20:33:52Z,Update README.md,18,15,33
trimstray/the-book-of-secret-knowledge,1ea2c2f84a3b1216ed27e69cef64c67e7a5eff45,Camilo,2022-02-28T17:21:58Z,added shell cleaning trick,11,0,11
trimstray/the-book-of-secret-knowledge,12da91205abfe8c7a088241bc05418df0f9e0fc2,Michał Ży,2022-02-23T19:05:45Z,Merge pull request #294 from pratik-devkota/master  Update README.md,1,1,2
trimstray/the-book-of-secret-knowledge,e22f036a6126fee5765d887ccec8edec94855482,Michał Ży,2022-02-23T19:04:53Z,Merge pull request #286 from jcamiel/master  Add Hurl to CLI tools,1,0,1
trimstray/the-book-of-secret-knowledge,78df09a91df3c4ff70643a38bbab8b7e13e9e6b6,Michał Ży,2022-02-23T19:01:08Z,Merge pull request #250 from crypt0rr/tlscan  Added TLScan,1,0,1
trimstray/the-book-of-secret-knowledge,18fe986635a10a5038b7f9a4b792dbdb97c39317,Michał Ży,2022-02-23T19:00:54Z,Update README.md,1,1,2
trimstray/the-book-of-secret-knowledge,3ebe4cdde380e95ec4a3fa7823975c9a8377e0e6,Michał Ży,2022-02-23T19:00:04Z,Merge pull request #249 from crypt0rr/vaultwarden  Added vaultwarden,1,0,1
trimstray/the-book-of-secret-knowledge,983ce7ec1ef49c6465b096d9568ac395ce3081f5,Michał Ży,2022-02-23T18:59:52Z,Update README.md,1,1,2
trimstray/the-book-of-secret-knowledge,080fe9dd36d43ea2a6d8f80bfbf40000e7250472,Michał Ży,2022-02-23T18:59:15Z,Merge pull request #248 from crypt0rr/ssl-cert-checker  Added ssl-cert-check,1,0,1
trimstray/the-book-of-secret-knowledge,b66730d3b8d26cd8108b5b0a0fde5485690eb5d3,Michał Ży,2022-02-23T18:55:26Z,Merge pull request #237 from groosg/master  Add Haskell Dockerfile Linter,1,0,1
trimstray/the-book-of-secret-knowledge,026cebcdec96ca383352694b3cdea06b92721baa,Michał Ży,2022-02-23T18:54:25Z,"Merge pull request #234 from oSumAtrIX/master  Add Web Skills to sc. All-in-one, ch. Manuals/Howtos/Tutorials",1,0,1
trimstray/the-book-of-secret-knowledge,1c247e1bb9c6ad9106ba936a9144444cab460f43,Michał Ży,2022-02-23T18:51:40Z,Merge pull request #231 from JosiahRaySmith/master  Update README.md,1,0,1
trimstray/the-book-of-secret-knowledge,5ee4527837724c7e11d0f831fb6a0e60b89a103b,Michał Ży,2022-02-23T18:50:24Z,Merge pull request #229 from Snickasaurus/master  Added dnstwist,1,0,1
trimstray/the-book-of-secret-knowledge,64dc7e88284cdc5247286b89e45165b75273e8d7,Michał Ży,2022-02-23T18:47:54Z,Merge pull request #225 from P403n1x87/patch-1  Add Austin,1,0,1
trimstray/the-book-of-secret-knowledge,e84a9ae4e2ee44a6f3cd95219e4836b304c2579b,Michał Ży,2022-02-23T18:46:33Z,Merge pull request #217 from PabloLec/patch-1  Add PEASS,1,0,1
trimstray/the-book-of-secret-knowledge,59e3d644d72b028a22fb0c2bf9518931a6ee36a2,Michał Ży,2022-02-23T18:45:58Z,Merge pull request #218 from sualeh/schemacrawler  Add a link to SchemaCrawler,1,0,1
trimstray/the-book-of-secret-knowledge,508b1e99b1ec9dd9d194a01b3bf2032d8e27c045,Michał Ży,2022-02-23T18:45:10Z,Merge pull request #214 from tomstoneham/master  Remove Triple DES from OpenSSL section,2,2,4
trimstray/the-book-of-secret-knowledge,ead5324c2e66661721a96cb6e5343ba70dcc471b,Michał Ży,2022-02-23T18:44:36Z,"Merge pull request #211 from villu164/master  Update README.md, dead link",1,1,2
trimstray/the-book-of-secret-knowledge,c2062bafe9ea317aaffcfc684358b05e4be98df8,Michał Ży,2022-02-23T18:43:52Z,Merge pull request #213 from fuzzfree/patch-1  Add mRemoteNG in CLI,1,0,1
trimstray/the-book-of-secret-knowledge,610442d02c21bc164fd7c6cf3bcf51c107f5f24f,Michał Ży,2022-02-23T18:43:13Z,Update README.md,1,1,2
trimstray/the-book-of-secret-knowledge,7caf2bd84bf0000bcf22758ab1902a048d77f4a4,Michał Ży,2022-02-23T18:41:34Z,Merge pull request #207 from fl0ppy-d1sk/patch-1  Add bunkerized-nginx,1,0,1
trimstray/the-book-of-secret-knowledge,fe33d1db281371da32b8e86e676c13e6ebc60fb4,Michał Ży,2022-02-23T18:41:13Z,Update README.md,1,1,2
trimstray/the-book-of-secret-knowledge,b64b18fcf526d5ee722aed8fd7226f0345647469,trimstray,2022-02-13T17:07:29Z,add 'Houdini' - signed-off-by: trimstray <trimstray@gmail.com>,1,0,1
