repo,sha,author,date,message,additions,deletions,total_changes
twbs/bootstrap,6ee8cfd964689a39a7f250510e631be52e2e23bb,Julien Déramond,2025-07-11T17:26:25Z,Build(deps-dev): Bump zod from 4.0.2 to 4.0.5,11,11,22
twbs/bootstrap,fc44fd852e2ead583d0df5832383363bfc73ac04,Julien Déramond,2025-07-10T16:39:01Z,Build(deps-dev): Bump zod from 4.0.0 to 4.0.2,8,8,16
twbs/bootstrap,b934bb4850ef9a9d8a6861609c5cce7ad34dcecb,Julien Déramond,2025-07-09T20:45:10Z,Build(deps-dev): Bump zod from 3.25.76 to 4.0.0,74,54,128
twbs/bootstrap,c4cb9ce2edd597af5e80161fa242a830f4f64b7c,Julien Déramond,2025-07-08T20:23:44Z,Build(deps-dev): Bump zod from 3.25.75 to 3.25.76,226,208,434
twbs/bootstrap,7c23d46ef6bc186f613d8de5754aeea5e7c75d3a,Julien Déramond,2025-07-07T16:42:25Z,Build(deps-dev): Bump zod from 3.25.74 to 3.25.75,18,18,36
twbs/bootstrap,1ead2c96c5a9d19b4a940a333bc6d6c6c6deff8b,Julien Déramond,2025-07-05T10:56:45Z,Build(deps-dev): Bump the development-dependencies group with 2 updates   - rollup   ^4.44.1  →   ^4.44.2  - zod     ^3.25.72  →  ^3.25.74,93,93,186
twbs/bootstrap,3bee7c15d4f301b03098f6ac534ae54f48b59240,Julien Déramond,2025-07-04T04:21:00Z,Build(deps-dev): Bump zod from 3.25.71 to 3.25.72,5,5,10
twbs/bootstrap,99cd78e8ff02c17eb99c3fcaeec52c3abac0ec8a,Julien Déramond,2025-07-03T19:20:57Z,Build(deps-dev): Bump the development-dependencies group with 2 updates  - astro       ^5.10.2  →   ^5.11.0 - stylelint  ^16.21.0  →  ^16.21.1,16,15,31
twbs/bootstrap,b9e39c649c69b1b61bd2975a2ebaae3410056452,Julien Déramond,2025-07-03T04:33:08Z,Build(deps-dev): Bump zod from 3.25.69 to 3.25.71,14,14,28
twbs/bootstrap,f96aa4cbc0aba4b5e7dcc1e3dae2f7dd1ede0f29,Julien Déramond,2025-07-02T20:32:14Z,Build(deps-dev): Bump zod from 3.25.67 to 3.25.69,5,5,10
