repo,sha,author,date,message,additions,deletions,total_changes
vercel/next.js,be7b3a64fab12ddb5bb233d384e062125c343306,nextjs-bot,2025-07-11T23:24:47Z,v15.4.0-canary.127,34,34,68
vercel/next.js,145d7613b621369afa7ddc0a05ed3ebecda4b624,Rob Pruzan,2025-07-11T21:08:22Z,"fix: update useEffect closure when menu is truly mounted (#81531)  Previously we mounted event handlers on the the menu's [`ownerDocument`](https://developer.mozilla.org/en-US/docs/Web/API/Node/ownerDocument) to listen for clicks outside the menu. This causes a bug where the ref the useEffect captures is not set yet, and when it is set the effect does not try to run again. The fix is to derive active state from the true state tracking if the menu is mounted, not if the menu __will be open__  ### Before  https://github.com/user-attachments/assets/d88f9b46-2203-45f3-a184-46db39584679  ### After   https://github.com/user-attachments/assets/57a0f68f-8d46-41ea-b761-222c82e4b6bc",4,4,8
vercel/next.js,3be29d88298c12ec313d771a5e7ccbdad55b9b60,nextjs-bot,2025-07-11T21:00:51Z,Upgrade React from `96c61b7f-20250709` to `97cdd5d3-20250710` (#81551),7022,4365,11387
vercel/next.js,4dd01eea2f852dfc41a955dacae8cbc4510df758,"Sebastian ""Sebbie"" Silbermann",2025-07-11T19:45:49Z,[sourcemaps] Properly devirtualize `rsc:` URLs (#81554),125,199,324
vercel/next.js,fcadb6846ebbf21ce861abcdd2e00850c0fe5cba,Nazar,2025-07-11T19:40:04Z,"docs: update Page example to use Promise-based params in 05-server-and-client-components.mdx (#81557)  What? This PR updates the Page component example in 05-server-and-client-components.mdx to use Promise-based params as recommended in the Next.js 15 documentation.  Why? Next.js 15 introduced support for async props, allowing the params prop to be a Promise in Server Components. Updating the documentation ensures that users follow the latest recommended practices and avoid confusion when working with dynamic routes in Next.js 15.  How? - Changed the Page component example to accept params as a Promise and use await params to destructure the id. - Updated the type annotation accordingly.",14,4,18
vercel/next.js,d7fa64ea3babbcdebabeaae48bbc3da3bb347828,Hendrik Liebau,2025-07-11T19:17:40Z,"Update eslint and restore `.eslintrc.cli.json` being used for CLI/CI-based linting (#81553)  This will allow us (again) to selectively use type-checked rules internally, as stipulated in #67689. In a follow-up, we'll likely add https://typescript-eslint.io/rules/switch-exhaustiveness-check/ as a first type-checked rule.",167,155,322
vercel/next.js,f1b95e04e9ae9fcd85cba20f9291e1519e03acac,JJ Kasper,2025-07-11T18:33:50Z,Update rust-cache action to v1.0.9 (#81555)  Adds a 60s timeout for fetching the cache to avoid this blocking continuing  x-ref: https://github.com/ijjk/rust-cache/commit/a34594c450817c9860143c79797a8770c4e587f5,3,3,6
vercel/next.js,d6bc6b055d05bf0861a0b8a216405bec1a2db93e,Niklas Mischkulnig,2025-07-11T14:01:59Z,Turbopack: only emit `*.single.css` chunks in dev (#81490)  They are only ever used in dev.  Closes PACK-4767,91,1041,1132
vercel/next.js,4bfa2986054db7c58a94b268565960cef8673b7d,"Sebastian ""Sebbie"" Silbermann",2025-07-11T13:55:50Z,[test] Use same pnpm in temporary repo directory (#81540),6,1,7
vercel/next.js,27250721aa125ec27d03b3111a3e15569ba57983,Jiachi Liu,2025-07-11T13:42:57Z,[segment explorer] redesign file pills and boundary trigger (#81302),640,219,859
vercel/next.js,f024178135f1e4f468644715e138f05b064fe120,Niklas Mischkulnig,2025-07-11T13:07:28Z,"Turbopack: fix `@opentelemetry/api` resolve fallback (#81541)  Previously, it tried `[project]/node_modules/@opentelemetry/api` and then fell back to `node_modules/next/dist/compiled/@opentelemetry/api`.  But that doesn't work if the dependency is installed in a monorepo subpackage and should have been resolved from `packages/my-app/node_modules/@opentelemetry/api`.  We already have `fallback_import_map` which is exactly what's needed here.  Closes PACK-5054",41,21,62
vercel/next.js,48b2976ed268a78249679a82da43750e190943a1,Tobias Koppers,2025-07-11T12:34:38Z,Turbopack: add module cost benchmark (#81530)  ### What?  Add a benchmark that requires/imports nearly 10k of empty modules.  Measures load and execution time for these modules.  Might also be useful to measure the compile overhead of modules.,414,12,426
vercel/next.js,7560398745ed989253920d6f08fba56e11496ca0,Joseph,2025-07-11T11:27:55Z,"docs: root layout + opengraph-image + cna-eslit vs next lint bootstrap (#81542)  Fixes: https://github.com/vercel/next.js/issues/81529, https://github.com/vercel/next.js/issues/81352 and https://github.com/vercel/next.js/issues/78630",11,6,17
vercel/next.js,8389b9f7f5f9a4c568725e2dceedfbdc5949c675,Niklas Mischkulnig,2025-07-11T09:43:54Z,"Turbopack: remove `clone_value` again (#81539)  ``` ast-grep run --pattern '$$$X.await?.clone_value()' --rewrite '$$$X.owned().await?' --lang rust -U ```  This was originally removed in #75852, but added again in #80634 for no apparent reason.",297,413,710
vercel/next.js,e3a1aba8ed55afe04b0cad6de79e855efc4b1262,Niklas Mischkulnig,2025-07-11T09:10:44Z,Turbopack: refactor ReadRef deref + clone to the intended pattern (#81537)  ``` ast-grep run --pattern '(*$$$X.await?).clone()' --rewrite '$$$X.owned().await?' --lang rust -U ```,49,32,81
vercel/next.js,e53f84b3fbbb4b2ec420eb8d01c30fe49e7e4674,nextjs-bot,2025-07-11T08:22:15Z,Upgrade React from `60b5271a-20250709` to `96c61b7f-20250709` (#81505),392,392,784
vercel/next.js,72c963503ce8b6804807f1d42f5f726654ca35f8,"Sebastian ""Sebbie"" Silbermann",2025-07-11T07:53:30Z,Pass `filterStackFrame` everywhere (#81516),44,61,105
vercel/next.js,2f97e3c04ef73466223e863ae4a1473de77a71ed,nextjs-bot,2025-07-11T00:44:06Z,v15.4.0-canary.126,34,34,68
vercel/next.js,a4a754d01cd1dd1f1d1498a2135c382328537dd0,Benjamin Woodruff,2025-07-11T00:38:49Z,"fix(CI): On musl/alpine builds, pin llvm to llvm20, add llvm bin directory to path (#81519)  Alpine Edge recently removed `llvm-config` from the PATH:  - 3.22: https://pkgs.alpinelinux.org/contents?file=llvm-config&path=&name=&branch=v3.22&repo=&arch=x86_64 - Edge: https://pkgs.alpinelinux.org/contents?file=llvm-config&path=&name=&branch=edge&repo=&arch=x86_64  CI job: https://github.com/vercel/next.js/actions/runs/16208743604  Also, fix a bunch of escaping problems with how we invoke bash inside of docker...  Co-authored-by: Will Binns-Smith <wbinnssmith@gmail.com>",51,45,96
vercel/next.js,5157472d841b06cf58f5e63b38167256fb01f012,nextjs-bot,2025-07-10T23:24:47Z,v15.4.0-canary.125,34,34,68
vercel/next.js,16c53236a7cafb2dae74656dfdb4127ca4a84241,"Sebastian ""Sebbie"" Silbermann",2025-07-10T22:05:27Z,Configure `url` for responses from patched fetch like the original `response.url` (#81507)  The main config that was missing is enumerability which is relevant for showing properties in the Chrome performance track and inferring shorthands.,15,3,18
vercel/next.js,e98773491894e386c7dab016599331a2152221b3,nextjs-bot,2025-07-10T21:34:52Z,v15.4.0-canary.124,34,34,68
vercel/next.js,df2c2a8cf0b7287bed517153db5758d365b95c6c,"Sebastian ""Sebbie"" Silbermann",2025-07-10T21:29:58Z,[sourcemaps] Stop sending stackframes in third-party chunks (#81344),247,46,293
vercel/next.js,b0641f12e9fefb7e75049c6ab9477ce2d211e471,"Sebastian ""Sebbie"" Silbermann",2025-07-10T21:21:30Z,[turbopack] Improve internal error message when source map retrieval fails (#81508)  Mostly so that I know which source URL slipped through.,22,10,32
vercel/next.js,535ba0676ab5f46a1e6dcc88306914091515f468,Hendrik Liebau,2025-07-10T19:45:30Z,Remove unused `syncDynamicExpression` (#81187)  The `syncDynamicExpression` property of `DynamicTrackingState` is not used anymore.,0,4,4
vercel/next.js,bdcb114ddbb7207108d21f142727465d134a2f9e,Niklas Mischkulnig,2025-07-10T19:31:06Z,"Turbopack: fix export-all-as with name collision (#81510)  `EcmascriptModulePartReference` is a pretty counterintuitive reference. The `part` declares which module should be synthesised on the other side. That doesn't have anything to do with which exports are actually being imported by reference.  This only triggered a bug when these exports here had the same name by coincidence ```js // reexport.js export * as Sub from './sub.js' // <-- // sub.js export const Sub = 123 // <--  ```",18,13,31
vercel/next.js,17a1fd8f4caa56e31ed4541068f19ea4963f3036,Tobias Koppers,2025-07-10T18:53:23Z,Turbopack: improve debugging features (#81415)  ### What?  * add no_fast_stale feature * nicer hanging messages * print details on strongly consistent hanging (prints which tasks are not completing and the chain to them),140,17,157
vercel/next.js,f219487dcdde38b9263e797d452c65f48ee65d39,Wyatt Johnson,2025-07-10T17:48:57Z,"feat(test): introduce cache components testing infrastructure (#81394)  ### What?  Introduces a testing infrastructure to validate Next.js behavior with the experimental Cache Components feature (`dynamicIO`) enabled. This PR adds dedicated CI jobs and configuration to run a subset of existing tests with Cache Components activated.  This has 271 more disabled test suites than the Legacy PPR test suite manifest. The expectation is that we will be resolving the test failures in followup PRs.  ### Why?  Cache Components (dynamicIO) represents a significant architectural change in how Next.js handles component caching and rendering. To ensure a smooth transition when this becomes the default behavior, we need to:  1. **Validate compatibility** - Ensure existing applications continue to work correctly when Cache Components is enabled 2. **Identify edge cases** - Catch potential issues early by running tests in this new mode 3. **Build confidence** - Provide a safety net for the eventual migration to Cache Components as the default  The manifest-based approach allows us to incrementally expand test coverage as we fix compatibility issues, rather than attempting to run all tests at once which would be overwhelming and block progress.  ### How?  - **Test manifest** (`test/cache-components-tests-manifest.json`): Defines which tests to run and tracks known failures that need addressing - **CI workflow changes**: Adds three new job groups that mirror existing test jobs but with Cache Components enabled:   - `test-cache-components-integration`   - `test-cache-components-dev` (parallelized across 6 groups)   - `test-cache-components-prod` (parallelized across 7 groups) - **Conditional feature activation**: When `__NEXT_EXPERIMENTAL_CACHE_COMPONENTS=true` is set during testing, `dynamicIO` is automatically enabled unless explicitly disabled - **Test adjustments**: Updates error message expectations in tests to handle the different environment label (""Prerender"" vs ""Server"") when Cache Components is active  The infrastructure is designed to be temporary and will be removed once Cache Components becomes the default behavior.  NAR-172",444,1,445
vercel/next.js,7c6ac5fd191fc602de348846fbe12798c860bcea,Vercel Release Bot,2025-07-10T15:45:23Z,Update Rspack development test manifest (#81484)  This auto-generated PR updates the development integration test manifest used when testing Rspack.  Co-authored-by: nextjs-bot <it+nextjs-bot@vercel.com>,40,54,94
vercel/next.js,efe425070a1749c1c689793733e4995478133748,Vercel Release Bot,2025-07-10T15:44:58Z,Update Rspack production test manifest (#81485)  This auto-generated PR updates the production integration test manifest used when testing Rspack.  Co-authored-by: nextjs-bot <it+nextjs-bot@vercel.com>,54,68,122
vercel/next.js,8886e01d1ae51f8f4572713e3e9d143c40e076b1,Niklas Mischkulnig,2025-07-10T14:15:51Z,Turbopack: remove duplicate newlines in CSS chunks (#81488)  ![Bildschirmfoto 2025-07-10 um 09 50 56](https://github.com/user-attachments/assets/440d8d6e-c612-426d-bf30-46b20a50866e),69,175,244
vercel/next.js,b5ced37273d49cefa447c3e87895fda338f1afe3,Hendrik Liebau,2025-07-10T13:48:42Z,"Name patched `fetch` function `fetch` (#81499)  This ensures that `fetch` is shown in stack traces (in collapsed ignore-listed frames), instead of `patched`.",9,10,19
vercel/next.js,094253c14c136164212eca856b52b1b218b91a94,Joseph,2025-07-10T09:18:22Z,docs: add missing switcher (#81489)  Fixing a couple of code snippets annoyances,6,6,12
vercel/next.js,fceb19f9b470980ac7384fde07b8f3cdd0201a73,Niklas Mischkulnig,2025-07-10T08:48:36Z,Turbopack: remove CssOptionsContext.minify (#81487)  Use `chunking_context.minify_type().await?` just as JS does,748,293,1041
vercel/next.js,c278c8792f78daf2fe6c18d985f1e82ffdce93a8,Tobias Koppers,2025-07-10T06:47:41Z,Turbopack: make invalidation from chunking context more granular (#81457)  ### What?  More granular invalidation to improve incremental builds with Skew Protections (modifies chunking context as it includes `chunk_suffix_path`).,75,95,170
vercel/next.js,04f77423296506747f94eab8b62c8e93c667c6f5,Joseph,2025-07-10T06:26:37Z,docs: PPR requires canary (#81294)  Fixes: https://github.com/vercel/next.js/issues/81292,1,1,2
vercel/next.js,45c48f2944a049770659f47e4abdaef04d36b797,Tobias Koppers,2025-07-10T06:15:40Z,Turbopack: improve fuzz testing to handle more cases (#81204)  ### What?  * Improve fuzz testing to test tasks becoming active and inactive. * Improve the verify_aggregation_graph feature to panic to allow running it during fuzz testing,147,44,191
vercel/next.js,c6e23a6bb3947486e0df44fb661cb9ea2dc243cd,Benjamin Woodruff,2025-07-10T05:22:06Z,"Turbopack: Use a factory factory (yes, really) to make hanging detection construction lazier (#81434)  This is an alternate attempt at solving #81424 without macros.  The extra laziness desired can be accomplished with an outer wrapping `FnOnce`. It's a bit confusing, but I think it causes less problems than a macro does?  Checked compilation and lints with:  ``` cargo clippy --all-targets cargo clippy --all-targets --features turbo-tasks/hanging_detection ```  // TODO: Find somewhere else to insert a closure so that we can have a factory factory factory!",195,125,320
vercel/next.js,2f43b359dfc0f3afb6fbab03867d3f8a2fa4ea66,Benjamin Woodruff,2025-07-10T05:05:52Z,"fix(turbopack-tests): Ignore or clean up empty snapshot test directories, fix non-nextest execution testing (#81479)  This PR fixes two bugs I ran into while trying to add a test case.  ## Empty Snapshot Tests With No Input  Git tracks files, not directories, so it doesn't track or delete empty directories. This can lead to broken behavior in our test cases:  1. Somebody deletes a test case, git no longer has any files in that directory to track. They push this to canary. 2. Somebody else runs `git pull` and git deletes the files, but leaves behind a directory structure. 3. Later, they run the snapshot tests with `UPDATE=1`. The snapshot test script sees the directory and tries running the test. 4. There's no input files, so it just tries to do a compilation with no files, which of course fails, but generates some output of the failure. 5. We accumulate these broken tests with an output directory but no input directory.  ## Tracing Subscriber Init in Execution Tests  - You can only call tracing-subscriber's `init()` once per-process as it sets global state. - We need each tracing-subscriber to be configured with a different output directory. - `cargo test` runs multiple tests in parallel inside the same process.  Therefore, our use of `tracing-subscriber` is unfortunately incompatible with `cargo test`.  In contrast, `cargo nextest` runs every test case in an isolated process.  The use of `tracing-subscriber` here is just as a debugging tool (we don't commit these traces), so only enable it when we're running under `cargo nextest`.  I tested running the execution tests with both `cargo test` and `cargo nextest` and observed the trace file was written out only when using `nextest`.",71,101,172
vercel/next.js,1781abd7d4a7e48e1fbd1b121d79ae26f8935645,Shantanu Goyal,2025-07-10T04:37:39Z,"fix(packages/next-bundle-analyzer): file extension of webpack bundle analyzer report (#81372)  ### Issue  When `analyzerMode` is selected as `json`, the bundle analyzer still emits a `.html` file.  ### Fix  Added a check for `analyzerMode` === `json` to determine file extension.  ---------  Co-authored-by: graphite-app[bot] <96075541+graphite-app[bot]@users.noreply.github.com>",4,2,6
vercel/next.js,b49ed9087df94b7b8f3b4bd6fd80731feb3db9bd,Vercel Release Bot,2025-07-10T04:36:22Z,Update Rspack development test manifest (#81440)  This auto-generated PR updates the development integration test manifest used when testing Rspack.,87,16,103
vercel/next.js,0827a6e02194d163ba8584df2def58667785c7a9,Vercel Release Bot,2025-07-10T04:35:59Z,Update Rspack production test manifest (#81441)  This auto-generated PR updates the production integration test manifest used when testing Rspack.,22,5,27
vercel/next.js,5e65f807f637728f97ad44088717071ffe5084b6,nextjs-bot,2025-07-09T23:24:48Z,v15.4.0-canary.123,34,34,68
vercel/next.js,a8fbbf0245407ebf9b9f75f51e02537124561f47,Jiachi Liu,2025-07-09T22:12:55Z,[devtool] patch base-ui and migrate segment explorer inline styles (#81474),266,242,508
vercel/next.js,c10d258482a7d56560ee0391fc42ef12840b708f,gsmt,2025-07-09T21:27:20Z,Add @sparticuz/chromium-min to default server externals (#81309)  This package needs to be externalized to have it's wasm dependencies traced properly for node runtime so this adds it to the default list.,3,0,3
vercel/next.js,60ee0dd54a8b3f8be59cf1d457c66219f06e9ea0,Tobias Koppers,2025-07-09T21:24:14Z,Turbopack: reduce temp allocation during compute_blocks (#81459)  ### What?  Reduce allocation size a little bit.,10,9,19
vercel/next.js,aa9c6d274e4c3b641d6b222d3061e47641115b3e,nextjs-bot,2025-07-09T20:53:45Z,v15.4.0-canary.122,34,34,68
vercel/next.js,322e2d9044e5707c525846f46828666a5689a13d,Jiachi Liu,2025-07-09T20:44:02Z,[devtool] dynamically import segment explorer when enabled (#81473),14,2,16
vercel/next.js,639c731600746c9be4543c9662b540e7d5ef0fb0,Rachna Chavan,2025-07-09T18:41:14Z,Update image.mdx (#81454)  fix: Input image name and output image name is different and causes confusion.  ---------  Co-authored-by: Joseph <joseph.chamochumbi@vercel.com>,5,5,10
vercel/next.js,4e51eb2140119bf29d953f30aadec578abf72076,Hendrik Liebau,2025-07-09T18:32:43Z,"Support `Uint8Array` bodies when generating cache keys for POST requests (#81465)  When opting into caching a POST request with the `revalidate` option, or when the Server Components HMR Cache implicitly caches a POST request, the body of the request is now correctly handled if it is a `Uint8Array`. Previously, we logged `Failed to generate cache key for ...` and the cache was bypassed.  closes NAR-180",27,29,56
vercel/next.js,8f014afff307d22e1d2b2c844b3ed940e645c6db,Hendrik Liebau,2025-07-09T18:09:38Z,"Consolidate dynamic IO errors test suites into a single fixture (#81451)  Previously, we had separate fixtures for each test case because it's complicated to assert on build errors when multiple pages have errors. This meant that running those tests, and especially updating their snapshots, took forever because each test case needed to be installed and built separately.  We can consolidate the cases into a single fixture (and test suite) by leveraging the internal `NEXT_PRIVATE_APP_PATHS` environment variable to prerender individual pages, along with `--experimental-build-mode generate`. The compilation is done upfront for all tests using `--experimental-build-mode compile`. Dev mode also profits, by sharing a single dev server instance across all tests.  For convenient updating of the snapshots for all modes and bundlers, we're also adding a small script at `test/e2e/app-dir/dynamic-io-errors/update-snapshots.sh`.  closes NAR-183",2076,2273,4349
vercel/next.js,747ef2babe269885621d552fe980f7f6838aea6b,"Sebastian ""Sebbie"" Silbermann",2025-07-09T17:13:20Z,Fail task if one of the parallel ones fails (#81464),25,4,29
vercel/next.js,84873e00874e096e6c4951dcf070e8219ed414e5,nextjs-bot,2025-07-09T16:29:30Z,v15.4.0-canary.121,34,34,68
vercel/next.js,80ad3b8dc4c5722cc2de89d4d3a7895295be80d4,nextjs-bot,2025-07-09T15:58:25Z,Upgrade React from `a7a11657-20250708` to `60b5271a-20250709` (#81463)    Co-authored-by: Sebastian Sebbie Silbermann <sebastian.silbermann@vercel.com>,2957,1761,4718
