repo,sha,author,date,message,additions,deletions,total_changes
vinta/awesome-python,0d5468cf112132e8d1fab3ecf1aa714444d604cf,Vinta Chen,2025-07-05T18:42:51Z,Merge pull request #2614 from MatteoGuadrini/MatteoGuadrini-patch-1  Add ruff linter,1,0,1
vinta/awesome-python,f387123f5bdc89f6ee1fe6b018a3c96632524c5e,Matteo Guadrini aka GU,2024-09-18T09:34:11Z,Change repo of ruff,1,1,2
vinta/awesome-python,4f887d5e1edb741d8d28c9cfb33ce2f9cf1d9cc1,Matteo Guadrini aka GU,2024-09-17T09:49:28Z,Add ruff linter,1,0,1
vinta/awesome-python,2252650cfdff3782d5a85458507fe9ec6edde7a4,Vinta Chen,2024-07-17T21:16:44Z,Merge pull request #2575 from R055A/stable-baselines-3  Add stable-baselines3,1,0,1
vinta/awesome-python,8bfda028291ba5dc88d79ab211d70f81ce89a214,Vinta Chen,2024-06-16T17:45:05Z,Update FUNDING.yml,0,1,1
vinta/awesome-python,cf5dc7154c80357a11147b23ac520cab5d733c4a,Vinta Chen,2024-06-16T17:21:52Z,Merge pull request #1694 from howiezhao/patch-1  Add pdfminer.six,1,1,2
vinta/awesome-python,b5bd4d0ad0947c9fcdfb6f189dac1882c1c49a39,Vinta Chen,2024-04-15T11:17:22Z,Merge pull request #2578 from r-a-j-a-n/master  Add streamlit,1,0,1
vinta/awesome-python,4248513e5d067ec86cebba1a8e04e3e981f07c73,Rajan Poudel,2024-04-13T10:06:16Z,Added streamlit,1,0,1
vinta/awesome-python,1b70a45ba020de0e8b1d8d9cf0bbe5dbaaafbf1d,Adam Ross,2024-04-08T06:21:48Z,Update README.md,1,1,2
vinta/awesome-python,0b8a5d1d9355c1706e2d6c7f3c570e21e1fb1293,Adam Ross,2024-04-08T05:52:24Z,Update README.md,1,0,1
vinta/awesome-python,3d9af26937d19e7eed1a5d0d1902a4e9cb2a194c,Vinta Chen,2024-02-22T16:33:07Z,update README,1,1,2
vinta/awesome-python,433e90d13b16f95298b987441453c3b625692ef3,Vinta Chen,2024-02-22T16:31:03Z,clean up,17,49,66
vinta/awesome-python,8524f28e77fe169bd248c0a18ea7635ee43d9434,Vinta Chen,2024-02-22T16:13:04Z,clean up,66,162,228
