repo,sha,author,date,message,additions,deletions,total_changes
vuejs/vue,9e88707940088cb1f4cd7dd210c9168a50dc347c,Toddneal Stallworth,2024-10-10T07:24:14Z,chore: fix spelling mistakes (#13216)  [skip ci],7,7,14
vuejs/vue,73486cb5f5862a443b42c2aff68b82320218cbcd,Snoppy,2024-06-14T12:52:12Z,"chore: fix link broken (#13192)  * chore: fix link broken  Signed-off-by: snoppy <michaleli@foxmail.com>  * Update packages/template-compiler/README.md [skip ci]  ---------  Signed-off-by: snoppy <michaleli@foxmail.com> Co-authored-by: Eduardo San Martin Morote <posva@users.noreply.github.com>",1,1,2
vuejs/vue,e428d891456eeb6d34cfac070c423694dcda8806,Artfaith,2024-05-21T07:51:55Z,chore: browser compatibility table link (#13187)  Updated Browser Compatibility reference. The previous currently returns HTTP 404.,1,1,2
vuejs/vue,bed04a77e575d6c4c1d903f60087dca874f7213e,Evan You,2023-12-31T13:22:32Z,chore: update issue form [ci skip],6,9,15
vuejs/vue,0191d50c31404afb730cd2a60f4500c20771f32f,Evan You,2023-12-31T09:32:08Z,chore: eol readme (#13142),8,4,12
vuejs/vue,cdcc4f0c667ca4166f87034c6105514ba7b004cc,Evan You,2023-12-24T15:13:43Z,chore: release name for 2.7.16 [ci skip],1,1,2
vuejs/vue,13f4e7dc03e2caed900ac70ff8b8fe58dda45663,Evan You,2023-12-24T15:02:07Z,release: v2.7.16,13,4,17
vuejs/vue,56ce7f8c573116ed6683149206cf35c987249d42,Evan You,2023-12-24T14:40:05Z,fix(lifecycle): esnure component effect scopes are disconnected  close #13134,3,0,3
vuejs/vue,305e4ae9dce0a05a422b675ff555f17878e86063,Evan You,2023-12-14T01:28:08Z,release: v2.7.16-beta.2,14,4,18
vuejs/vue,3e1037e4a0317fe78ae022e789afbbc9453b15eb,Evan You,2023-12-14T01:21:26Z,chore: bump vitest to 1.0.4,26,26,52
vuejs/vue,db9c566032da0ec5cd758a3e8525e9733874c1e5,Evan You,2023-12-14T01:21:11Z,fix: account for nested render calls  close #13131,5,6,11
vuejs/vue,895669ffa01f8075a326308caa8ad6a5f69a1919,Evan You,2023-12-14T00:33:45Z,fix(types): export more types for v3 alignment (jsx / component options)  close #13078 close #13128,7,1,8
vuejs/vue,73bdf14ef5c9979dcba18ede3410515cecbe2f2f,Evan You,2023-12-08T01:42:01Z,release: v2.7.16-beta.1,29,5,34
vuejs/vue,e0747f40a879b4000a1959d21377b51d1f1ed988,Evan You,2023-12-07T09:07:15Z,fix(keep-alive): fix memory leak without breaking transition tests,8,4,12
vuejs/vue,2632249925e632e56f6dfc8fdbcf682c82e4081b,Evan You,2023-12-07T08:12:36Z,fix(keep-alive): fix keep-alive memory leak  close #12827,2,0,2
vuejs/vue,3650c12f7d3a20f3155bc1fd2b068e84289e0d33,Evan You,2023-12-07T06:41:10Z,fix(types): provide types for built-in components  close #13002,65,0,65
vuejs/vue,83d95351a9f809311d624fc3398e7f6829b72447,lsdsjy,2023-12-07T06:14:27Z,"fix(compiler-sfc): check template `ref` usage,  (#12985)  close #12984",29,0,29
vuejs/vue,24fcf69624a633d43dfc0aa5fa6b93d11de7fad5,xonx,2023-12-07T05:59:43Z,fix(types): type VNodeChildren should allow type number  (#13067)  close #12973,2,0,2
vuejs/vue,6d857f5bee275dc98106e3b2cbc7722f5ec0cfc0,Evan You,2023-12-06T16:13:31Z,fix(watch): new property addition should trigger deep watcher with getter  close #12967 close #12972,37,2,39
vuejs/vue,a174c29dab2cf655b06f7870e0ac5a78ef35ec8a,Simon Lévesque,2023-12-06T15:51:56Z,fix(types): fix shallowRef's return type  (#12979)  close #12978,30,8,38
vuejs/vue,f5ef882a781b8a62c9ca00e95006d07636567c8e,Evan You,2023-12-06T15:17:02Z,fix(style): always set new styles  close #12901 close #12946,17,4,21
vuejs/vue,d6468c4c383184acd66f3c9091005e83836a43f3,Evan You,2023-12-06T09:29:47Z,chore(deps): bump esbuild,6,234,240
vuejs/vue,25f97a5033187372e7b8c591c79336197ee5c833,Evan You,2023-12-06T09:25:12Z,fix(compiler-sfc): fix rewriteDefault edge cases  close #13060 close #12892 close #12906,79,7,86
vuejs/vue,10c2a87c7038f2f80df23044c48a130bea253bf8,Evan You,2023-12-06T08:48:30Z,chore(deps): bump @babel/parser,673,701,1374
vuejs/vue,ae3e4b1c706b8d61a4a312ca5d23441df021b4b4,Evan You,2023-12-06T08:38:16Z,fix(utils): unwrap refs when stringifying values in template  close #12884 close #12888,20,1,21
vuejs/vue,de0b97b3eadae120eda505b45df2de2115dcb6f0,Adam Hines,2023-12-06T07:52:18Z,fix(types): fix type augmentation and compiler-sfc types w/moduleResolution: bundler (#13107)  close #13106,4,3,7
vuejs/vue,45d6ad6645e960a3ee52ad9667520a1625f10dfd,Grigorii K. Shartsev,2023-12-06T07:49:41Z,chore(compiler-sfc): specify prettier version (#13053)  close: #13052,7,1,8
vuejs/vue,0ad8e8d94f3a3bf4429f25850c85a6bbb2b81364,Evan You,2023-12-06T07:45:15Z,fix(shallowReactive): should track value if already reactive when set in shallowReactive,6,5,11
vuejs/vue,d30f6fd25f90973a84fadb43eef75a54c4b42ea2,Evan You,2023-12-06T07:21:00Z,test: fix tests,39,39,78
vuejs/vue,08382f008016c3b3b93f84594266f2e191fee91d,Evan You,2023-12-06T07:10:49Z,fix(props): should not unwrap props that are raw refs  close #12930,36,12,48
vuejs/vue,947993f7e8e445b9032dd59d7f484593c3174452,Evan You,2023-12-06T07:08:23Z,chore: bump vitest to 1.0,323,154,477
