repo,sha,author,date,message,additions,deletions,total_changes
ytdl-org/youtube-dl,a084c80f7bac9ae343075a97cc0fb2c1c96ade89,dirkf,2025-05-04T11:51:54Z,"[YouTube] Fix 680069a, excess `min_ver`  Resolves #33125.",1,2,3
ytdl-org/youtube-dl,e102b9993af6defb4e03699840b01c63e5623276,dirkf,2025-05-03T17:33:39Z,[workflows/ci.yml] Move pinned Ubuntu runner images from withdrawn 20.4 to 22.04  * fix consequent missing `python-is-python2` package,8,5,13
ytdl-org/youtube-dl,680069a14958187cf576ed91c96d2f273aea711f,dirkf,2025-05-02T12:49:05Z,[YouTube] Improve n-sig function extraction for player `aa3fc80b`  Resolves #33123,26,12,38
ytdl-org/youtube-dl,4a31290ae14705100814b88f158e7876f83a5b67,dirkf,2025-05-02T12:38:32Z,[YouTube] Delete cached problem nsig cache data on descrambling error  * inspired by yt-dlp/yt-dlp#12750,9,1,10
ytdl-org/youtube-dl,3a42f6ad372935733150159b0447e790c037c1af,dirkf,2025-05-02T12:31:45Z,"[YouTube] Cache signature timestamp from player JS  * if the YT webpage can't be loaded, getting the `sts` requires loading the player JS: this caches it * based on yt-dlp/yt-dlp#13047, thx bashonly",104,38,142
ytdl-org/youtube-dl,ec75141bf03b66ffc183992ec6bb50c4ff392dd8,dirkf,2025-05-02T12:17:18Z,[Cache] Add `clear` function,43,11,54
ytdl-org/youtube-dl,c052a16f72af7dd7671d4dd62826de71cd99dfb6,dirkf,2025-04-04T11:53:28Z,"[JSInterp] Add tests and relevant functionality from yt-dlp * thx seproDev, bashonly: yt-dlp/yt-dlp#12760, yt-dlp/yt-dlp#12761:   - Improve nested attribute support   - Pass global stack when extracting objects   - interpret_statement: Match attribute before indexing   - Fix assignment to array elements with nested brackets   - Add new signature tests   - Invalidate JS function cache   - Avoid testdata dupes now that we cache by URL  * rework nsig function name search * fully fixes #33102 * update cache required versions * update program version",129,22,151
ytdl-org/youtube-dl,bd2ded59f218bed637514f3aaf11787fa7b87ccf,dirkf,2025-04-04T11:29:28Z,[JSInterp] Improve unary operators; add `!`,13,3,16
ytdl-org/youtube-dl,16b7e97afad2ed73c2d01a55987cb323407ca1c4,dirkf,2025-04-04T11:25:17Z,[JSInterp] Add `_separate_at_op()`,75,51,126
ytdl-org/youtube-dl,d21717978cff5321ca279593340051d4bc73c129,dirkf,2025-04-04T11:20:15Z,"[JSInterp] Improve JS classes, etc",71,15,86
ytdl-org/youtube-dl,75134137947d1cd58b73f4186b3693d032c5bb66,dirkf,2025-04-04T11:15:38Z,[JSInterp] Reorganise some declarations to align better with yt-dlp,31,30,61
ytdl-org/youtube-dl,67dbfa65f220e358de713977bed8d818059f7f27,dirkf,2025-04-04T10:43:32Z,[InfoExtractor] Fix merging subtitles to empty target,5,1,6
ytdl-org/youtube-dl,6eb6d6dff5add8b17babebb3a1a3da7948e5ee18,dirkf,2025-04-04T10:36:35Z,[InfoExtractor] Use local variants for remaining parent method calls * ... where defined,38,38,76
ytdl-org/youtube-dl,6c40d9f8472b5e98ca3a3880cfce01a8403f3a9f,dirkf,2025-04-04T10:10:29Z,[YouTube] Remove remaining hard-coded API keys * no longer required for these cases,6,9,15
ytdl-org/youtube-dl,1b08d3281d3343a62007aacdc5b669c263bcebeb,dirkf,2025-04-04T09:58:01Z,"[YouTube] Fix playlist continuation extraction * thx coletdjnz, bashonly: yt-dlp/yt-dlp#12777",12,16,28
ytdl-org/youtube-dl,32b8d317805b7f947b62af812e64789d1c5728a0,dirkf,2025-04-04T09:55:32Z,[YouTube] Support shorts playlist * only 1..100: yt-dlp/yt-dlp#11130,33,6,39
ytdl-org/youtube-dl,570b8680780eba23d9e991eff99983af499f7ff0,dirkf,2025-04-07T15:02:10Z,[cache] Use `esc_rfc3986` to encode cache key,2,3,5
ytdl-org/youtube-dl,2190e892603d238e1a1fc40477bf30d131c22acc,dirkf,2025-04-07T15:00:11Z,[utils] Support optional `safe` argument for `escape_rfc3986()`,6,2,8
ytdl-org/youtube-dl,7e136639dba8a6d0e966ccc41b3dd8231587c67b,dirkf,2025-04-07T14:51:03Z,[compat] Improve Py2 compatibility for URL Quoting,58,11,69
ytdl-org/youtube-dl,cedeeed56f6ed61646a33e06397f9a059dbc9d90,dirkf,2025-04-04T03:42:14Z,[cache] Align further with yt-dlp * use compat_os_makedirs * support non-ASCII characters in cache key * improve logging,41,31,72
ytdl-org/youtube-dl,add46228701d78444e20afdde4beafa3268344f2,dirkf,2025-04-04T03:09:56Z,[compat] Add compat_os_makedirs * support exists_ok parameter in Py < 3.2,16,0,16
ytdl-org/youtube-dl,9a6ddece4dca4d5b7a8374a82f72d778750d6b88,dirkf,2025-04-04T03:04:01Z,"[core] Refactor message routines to align better with yt-dlp * in particular, support `only_once` in the same methods",24,27,51
ytdl-org/youtube-dl,3eb8d22ddb8982ca4fb56bb7a8d6517538bf14c6,dirkf,2025-03-31T03:21:09Z,[JSInterp] Temporary fix for #33102,2,0,2
ytdl-org/youtube-dl,4e714f9df1ed2cccd51df60d45ff5504abe827b7,dirkf,2025-03-26T12:47:19Z,"[Misc] Correct [_]IE_DESC/NAME in a few IEs * thx seproDev, yt-dlp/yt-dlp/pull/12694/commits/ae69e3c * also add documenting comment in `InfoExtractor`",5,3,8
ytdl-org/youtube-dl,c1ea7f5a242dbaad3a4646d73bb1cae22439a788,dirkf,2025-03-26T12:17:49Z,[ITV] Mark ITVX not working * update old shim * correct [_]IE_DESC,5,12,17
ytdl-org/youtube-dl,2b4fbfce25902d557b86b003cf48f738129efce4,dirkf,2025-03-26T02:27:25Z,"[YouTube] Support player `4fcd6e4a` thx seproDev, bashonly: yt-dlp/yt-dlp#12748",20,2,22
ytdl-org/youtube-dl,1bc45b8b6c0c853e0f3d74346551fec0708c733d,dirkf,2025-03-25T22:30:08Z,"[JSInterp] Use `,` for join() with null/undefined argument Eg: [1,2,3].join(null) -> '1,2,3'",4,3,7
ytdl-org/youtube-dl,b982d77d0b7bd21ead6d8b3210fd656881197453,dirkf,2025-03-25T22:18:47Z,"[YouTube] Align signature tests with yt-dlp thx bashonly, yt-dlp/yt-dlp#12725",22,6,28
ytdl-org/youtube-dl,c55dbf48384f9721ae8eb07fd914ccf2d3c823b0,dirkf,2025-03-25T22:16:19Z,"[YouTube] Update signature extraction for players `643afba4`, `363db69b`",25,13,38
ytdl-org/youtube-dl,087d8652302270764bf9679c7621db0d20ad5572,dirkf,2025-03-25T22:14:08Z,[YouTube] Support new player URL patterns,11,7,18
ytdl-org/youtube-dl,a4fc1151f125a2dfb89b2d1505838bcbb71aacc9,dirkf,2025-03-25T21:56:32Z,"[JSInterp] Improve indexing * catch invalid list index with `ValueError` (eg [1, 2]['ab'] -> undefined) * allow assignment outside existing list (eg var l = [1,2]; l[9] = 0;)",5,1,6
ytdl-org/youtube-dl,a464c159e61ab5c2c3babc8a4eb1d3e7923f1fe0,dirkf,2025-03-25T21:49:21Z,[YouTube] Make `_extract_player_info()` use `_search_regex()`,9,10,19
ytdl-org/youtube-dl,7dca08eff01c0e8a25be38ec76c63170f26ac118,dirkf,2025-03-25T21:41:15Z,[YouTube] Also get original of translated automatic captions,2,0,2
ytdl-org/youtube-dl,2239ee796584ece265edef2df20782618a615056,dirkf,2025-03-25T21:39:31Z,[YouTube] Get subtitles/automatic captions from both web and API responses,8,8,16
ytdl-org/youtube-dl,da7223d4aa42ff9fc680b0951d043dd03cec2d30,dirkf,2025-03-21T16:26:25Z,"[YouTube] Improve support for tce-style player JS * improve extraction of global ""useful data"" Array from player JS * also handle tv-player and add tests: thx seproDev (yt-dlp/yt-dlp#12684)  Co-Authored-By: sepro <sepro@sepr0.com>",28,4,32
ytdl-org/youtube-dl,37c2440d6a9a2a7226f6548ebc2b59160408e79a,dirkf,2025-03-21T16:13:24Z,[YouTube] Update player client data thx seproDev (yt-dlp/yt-dlp#12603)  Co-authored-by: sepro <sepro@sepr0.com>,6,6,12
ytdl-org/youtube-dl,420d53387cff54ea1fccca061438d59bdb50a39c,dirkf,2025-03-10T11:44:06Z,[JSInterp] Improve tests * from yt-dlp/yt-dlp#12313 * also fix d7c2708,20,4,24
ytdl-org/youtube-dl,32f89de92b652bf246aa458a552c9bb397abef77,dirkf,2025-03-07T21:03:54Z,[YouTube] Update TVHTML5 client parameters * resolves #33078,2,1,3
ytdl-org/youtube-dl,283dca56feb9f23978733810ab155472d6473c38,dirkf,2025-03-07T21:02:28Z,[YouTube] Initially support tce-style player JS * resolves #33079,30,14,44
ytdl-org/youtube-dl,422b1b31cf398d60b4606fa57be8e39c1181932f,dirkf,2025-03-07T20:00:58Z,[YouTube] Temporarily redirect from tce-style player JS,8,1,9
ytdl-org/youtube-dl,1dc27e1c3bda9cb8f44b805c89918aa7d11ffcdc,dirkf,2025-03-07T19:40:53Z,"[JSInterp] Make indexing error handling more conformant * by default TypeError -> undefined, else raise * set allow_undefined=True/False to override",4,3,7
ytdl-org/youtube-dl,af049e309bfa47141a9788cd1730dd50dad6176d,dirkf,2025-03-07T19:37:56Z,"[JSInterp] Handle undefined, etc, passed to JS_RegExp and Exception",2,0,2
ytdl-org/youtube-dl,94849bc997d232b344b0f3666198feec7b004b43,dirkf,2025-03-07T19:32:56Z,[JSInterp] Improve Date processing * add JS_Date class implementing JS Date * support constructor args other than date string * support static methods of Date * Date objects are still automatically coerced to timestamp before using in JS.,97,1,98
ytdl-org/youtube-dl,974c7d7f349831cf32026ec57e75bc821843a07b,dirkf,2025-03-07T19:17:18Z,[compat] Fix inheriting from compat_collections_chain_map * see ytdl-org/youtube-dl#33079#issuecomment-2704038049,3,2,5
ytdl-org/youtube-dl,8738407d77f6da843f8f5ded1ccad73172b4abac,dirkf,2025-03-02T13:36:05Z,[compat] Support zstd Content-Encoding * see RFC 8878 7.2,8,0,8
ytdl-org/youtube-dl,cecaa18b80e33323193915ef9fbd2f68d94d7bce,dirkf,2025-03-07T23:03:17Z,[compat] Clean-up * make workaround_optparse_bug9161 private * add comments * avoid leaving test objects behind,129,47,176
ytdl-org/youtube-dl,673277e510ebd996b62a2fcc76169bf3cce29910,dirkf,2025-02-28T01:02:20Z,[YouTube] Fix 91b1569,1,1,2
ytdl-org/youtube-dl,91b1569f68471d685382b738806b2e07d8f52707,dirkf,2025-02-28T00:02:10Z,"[YouTube] Fix channel playlist extraction (#33074)  * [YouTube] Extract playlist items from LOCKUP_VIEW_MODEL_... * resolves #33073 * thx seproDev (yt-dlp/yt-dlp#11615)  Co-authored-by: sepro <sepro@sepr0.com>",47,2,49
ytdl-org/youtube-dl,711e72c292327674c4a0593fdbb83d6347738ec9,dirkf,2025-02-06T21:09:00Z,[JSInterp] Fix bit-shift coercion for player 9c6dfc4a,34,6,40
ytdl-org/youtube-dl,26b6f15d14e30dc3349abe2933edb051b46be4b8,dirkf,2025-02-03T18:10:15Z,"[compat] Make casefold private * if required, not supported: `from youtube_dl.casefold import _casefold as casefold`",5,9,14
ytdl-org/youtube-dl,5975d7bb96095fae7c35e7cfcd819255a5b57087,dirkf,2025-01-22T06:52:40Z,[YouTube] Use X-Goog-Visitor-Id * required with tv player client * resolves #33030,14,9,23
ytdl-org/youtube-dl,63fb0fc4159397618b12fa115f957b9ba70f3f88,dirkf,2025-01-20T13:23:54Z,[YouTube] Retain .videoDetails members from all player responses,4,0,4
ytdl-org/youtube-dl,b09442a2f4a8d255569abf0bb6b4867c53d0c2e9,dirkf,2025-01-19T01:18:34Z,[YouTube] Also use ios client when is_live,81,37,118
ytdl-org/youtube-dl,55ad8a24cacee03a91fe70d8d48aa9a02cc0ab11,dirkf,2025-01-15T03:22:56Z,[YouTube] Support `... /feeds/videos.xml?playlist_id={pl_id}`,16,3,19
ytdl-org/youtube-dl,21fff051217d1c14a7d50fa752052eadbcafee4e,dirkf,2025-01-15T03:19:15Z,[YouTube] Switch to TV API client * thx yt-dlp/yt-dlp#12059,83,19,102
ytdl-org/youtube-dl,1036478d130c5f2001eca2d7d12558abe601d933,dirkf,2025-01-06T01:39:04Z,"[YouTube] Endure subtitle URLs are complete * WEB URLs are, MWEB not * resolves #33017",1,0,1
ytdl-org/youtube-dl,00ad2b8ca12d4f9b830ed83876d0d1ab3d698675,dirkf,2025-01-06T01:24:30Z,[YouTube] Refactor subtitle processing * move to internal function * use `traverse-obj()`,24,22,46
ytdl-org/youtube-dl,ab7c61ca29ed1d1216d463d01794eb112a9144d5,dirkf,2025-01-06T01:22:16Z,"[YouTube] Apply code style changes, trailing commas, etc",31,29,60
ytdl-org/youtube-dl,176fc2cb003b7a74f5781a64a4e1ce32e740c149,dirkf,2024-12-31T14:51:29Z,[YouTube] Avoid early crash if webpage can't be read * see issue #33013,1,1,2
ytdl-org/youtube-dl,d55d1f423d6473ae6a9e13462d94bad1d71d28e0,dirkf,2024-12-14T11:18:34Z,[YouTube] Always extract using MWEB API client * temporary fix-up for 403 on download * MWEB parameters from yt-dlp 2024-12-06,77,7,84
ytdl-org/youtube-dl,eeafbbc3e59bcd6513053f5c942a55e2ff309488,dirkf,2024-12-13T12:16:31Z,[YouTube] Fix signature function extraction for `2f1832d2` * `_` was omitted from patterns * thx yt-dlp/yt-dlp#11801  Co-authored-by: bashonly,21,12,33
ytdl-org/youtube-dl,cd7c7b5edbf020730f106aabaa15ca1a7de22e44,dirkf,2024-12-13T03:09:29Z,[YouTube] Simplify pattern for nsig function name extraction,23,27,50
ytdl-org/youtube-dl,eed784e15f6066b152a3cce8db6fe3f059290b22,dirkf,2024-12-12T04:38:23Z,"[YouTube] Pass nsig value as return hook, fixes player `3bb1f723`",4,2,6
ytdl-org/youtube-dl,b4469a0f652c450a81901795a8f522ae5457a1cf,dirkf,2024-12-07T03:39:44Z,[YouTube] Handle player `3bb1f723` * fix signature code extraction * raise if n function returns input value * add new tests from yt-dlp  Co-authored-by: bashonly,54,21,75
ytdl-org/youtube-dl,ce1e556b8fde56eb84bec1580e9f07f45e721c4f,dirkf,2024-12-12T04:29:13Z,"[jsinterp] Add return hook for player `3bb1f723` * set var `_ytdl_do_not_return` to a specific value in the scope of a function * if an expression to be returned has that value, `return` becomes `void`",21,12,33
ytdl-org/youtube-dl,f487b4a02a74bb143a7b8f7cb26819b5b661a40b,dirkf,2024-12-12T04:21:53Z,[jsinterp] Strip /* comments */ when parsing * NB: _separate() is looking creaky,27,3,30
ytdl-org/youtube-dl,60835ca16c052eb00bb9bccd44f8843edac66a2e,dirkf,2024-12-12T04:16:07Z,"[jsinterp] Fix and improve ""methods"" * push, unshift return new length * impove edge cases for push/pop, shift/unshift, forEach, indexOf, charCodeAt * increase test coverage",49,21,70
ytdl-org/youtube-dl,94fd7746084d87a43e34b094c5db1325f91ce053,dirkf,2024-12-12T04:13:06Z,[jsinterp] Fix and improve split/join * improve split/join edge cases * correctly implement regex split (not like re.split),62,5,67
